Rank,Name,Length,Elevation gain,Rocky,Scramble,No shade,Slippery,Stairs,Muddy,Roots,Easy,Moderate,Hard,Strenuous
1,Mount Yonah Trail,4.3,1489,1,1,0,0,0,0,0,11,219,285,38
2,East Palisades Trail and Bamboo Forest,4.2,495,0,0,0,1,0,0,1,55,202,10,0
3,Cloudland Canyon West Rim Loop,4.7,705,1,0,0,0,1,0,0,44,273,27,1
4,Tallulah Gorge and North and South Rim Loop Trail,1.8,534,1,0,0,0,1,0,0,47,169,41,18
5,Indian Seats Loop,3.5,508,1,0,0,0,0,0,0,87,198,2,0
6,Amicalola Falls via East Ridge Loop Trail,2.1,793,1,0,0,0,1,0,0,25,237,42,25
7,Blood Mountain via Byron Reece Trail,4,1446,1,1,0,0,0,0,0,7,93,103,14
8,Preachers Rock from Woody Gap Recreational Area,1.9,439,1,0,0,0,0,0,1,45,190,5,0
9,Vickery Creek Trail,3.5,380,0,0,0,1,0,0,1,71,124,3,1
10,Raven Cliff Falls Trail,4.9,623,1,1,0,0,0,0,0,54,170,14,0
11,Cherokee Falls and Hemlock Falls Trail,1.2,452,1,1,0,0,1,0,1,9,164,45,15
12,Blood Mountain and Freeman Loop Trail,5.7,1558,1,1,0,0,0,1,0,11,56,61,6
13,Stone Mountain Cherokee Loop,5.1,400,1,0,1,1,0,0,0,36,117,12,1
14,East Palisades North Loop and Bamboo Forest,5.7,751,0,0,0,1,0,0,0,22,164,12,0
15,Kennesaw Mountain Overlook via Little Kennesaw and Brumby Camp,5.1,1007,1,0,0,1,0,0,0,3,87,19,1
16,Stone Mountain Walk-Up Trail,2.2,675,1,0,1,0,0,0,0,29,155,22,7
17,Dukes Creek Trail,2.3,334,0,0,0,0,1,0,0,148,106,0,0
18,Canyon Loop Trail,2.2,232,0,0,0,1,0,0,0,67,70,4,0
19,Tallulah Gorge Overlooks Trail,2.5,708,1,0,0,0,1,0,0,9,99,15,7
20,Sweetwater Creek Red and White Trail Loop,4.7,442,1,1,0,0,0,0,0,12,107,10,1
21,Iron Hill Loop,3.8,164,0,0,0,0,0,0,0,177,39,0,0
22,Pigeon Hill to East and West Loop Trail,6.1,1181,1,0,0,0,0,0,0,8,82,14,0
23,Indian Seats Trail,1.5,282,1,0,0,0,0,1,0,77,49,0,0
24,Sitton's Gulch Trail,4.9,1020,0,0,0,0,1,0,0,11,103,21,6
25,Amicalola Falls to Len Foote Hike Inn,4.8,1217,0,0,0,0,0,0,0,9,94,12,6
26,High Shoals Falls Trail,2.5,551,0,0,0,0,0,0,0,25,110,7,1
27,Pine Mountain Summit via West Loop,2.2,626,1,0,0,1,0,0,0,23,92,15,2
28,Kennesaw Mountain Peak Trail,2.2,662,0,0,0,0,0,0,0,10,60,8,0
29,Island Ford Trail,5.9,636,0,0,0,0,0,0,0,57,91,0,0
30,Laurel Ridge Trail,3.3,446,0,0,0,0,0,0,0,51,100,1,0
31,Upper Falls Via Panther Creek Trail,6.9,711,1,0,0,1,0,0,0,5,100,46,3
32,Homestead Trail,5.3,518,1,0,0,0,0,0,1,26,99,5,0
33,Vickery Creek Trail Short Loop,2.3,298,1,0,0,0,0,0,0,31,68,0,1
34,Vickery Creek From Oxbo Road,2.8,229,1,0,0,1,0,0,1,39,103,3,0
35,Sweetwater Creek White Trail Loop,4.9,472,1,0,0,0,0,0,0,10,61,11,3
36,Brasstown Bald Trail,1.3,426,0,0,0,0,0,0,0,20,62,7,2
37,Providence Canyon Backcountry Trail Loop,6.6,600,0,0,0,0,0,1,0,14,85,12,4
38,West Rim Loop Trail,2.5,262,1,0,0,0,0,1,1,37,72,1,0
39,Fort Yargo Lake Loop,6,360,0,0,0,0,0,1,0,48,86,1,0
40,Tennessee Rock Trail,2.2,561,0,0,0,1,0,0,1,15,137,7,0
41,Cartecay River Loop Trail,3.6,479,1,0,0,1,0,0,0,22,129,3,0
42,Anna Ruby Falls Trail,0.9,219,0,0,0,0,0,0,0,56,32,3,0
43,Jones Bridge Trail,4.2,262,0,0,0,0,0,1,0,63,67,0,0
44,Amicalola Falls,0.3,242,0,0,0,1,1,0,0,3,17,7,10
45,East Palisades North Loop,3.3,515,0,0,0,0,0,1,0,14,51,6,0
46,Providence Canyons Trail,1.8,272,0,0,0,0,0,1,0,29,33,2,0
47,Sweetwater Creek Red Trail,2,111,1,0,0,1,0,0,1,35,37,2,0
48,Len Foote and Appalachian Approach Loop,9.9,2240,1,0,0,0,0,0,0,4,37,34,2
49,Arabia Mountain Klondike and Forest Trails Loop,3.9,318,1,0,0,0,0,1,0,42,45,0,0
50,DeSoto Falls Trail,2,190,1,0,0,0,0,0,1,73,22,0,0
51,Bear Hair Gap Trail,4.3,951,1,0,0,1,0,0,0,7,107,14,1
52,Gold Branch Trail,3.4,314,1,0,0,0,0,0,1,17,84,1,1
