Rank,Name,Length,Elevation gain,Rocky,Stairs,Muddy,Roots,Avg_grade,Difficulty
1,Mount Yonah Trail,4.3,1489,1,0,0,0,0.06558315715292459,2.632911392405063
2,East Palisades Trail and Bamboo Forest,4.2,495,0,0,0,1,0.022321428571428572,1.8314606741573034
3,Cloudland Canyon West Rim Loop,4.7,705,1,1,0,0,0.028409090909090908,1.9565217391304348
4,Tallulah Gorge and North and South Rim Loop Trail,1.8,534,1,1,0,0,0.05618686868686869,2.109090909090909
5,Indian Seats Loop,3.5,508,1,0,0,0,0.02748917748917749,1.7038327526132404
6,Amicalola Falls via East Ridge Loop Trail,2.1,793,1,1,0,0,0.07151875901875902,2.2036474164133737
7,Blood Mountain via Byron Reece Trail,4.0,1446,1,0,0,0,0.06846590909090909,2.5714285714285716
8,Preachers Rock from Woody Gap Recreational Area,1.9,439,1,0,0,1,0.04375996810207337,1.8333333333333333
9,Vickery Creek Trail,3.5,380,0,0,0,1,0.020562770562770564,1.6683417085427135
10,Raven Cliff Falls Trail,4.9,623,1,0,0,0,0.024080086580086577,1.8319327731092436
11,Cherokee Falls and Hemlock Falls Trail,1.2,452,1,1,0,1,0.07133838383838384,2.2832618025751072
12,Blood Mountain and Freeman Loop Trail,5.7,1558,1,0,1,0,0.05176767676767677,2.462686567164179
13,Stone Mountain Cherokee Loop,5.1,400,1,0,0,0,0.014854426619132503,1.8674698795180722
14,East Palisades North Loop and Bamboo Forest,5.7,751,0,0,0,0,0.024953482190324297,1.9494949494949494
15,Kennesaw Mountain Overlook via Little Kennesaw and Brumby Camp,5.1,1007,1,0,0,0,0.03739601901366608,2.1636363636363636
16,Stone Mountain Walk-Up Trail,2.2,675,1,0,0,0,0.0581095041322314,2.032863849765258
17,Dukes Creek Trail,2.3,334,0,1,0,0,0.02750329380764164,1.4173228346456692
18,Canyon Loop Trail,2.2,232,0,0,0,0,0.019972451790633606,1.553191489361702
19,Tallulah Gorge Overlooks Trail,2.5,708,1,1,0,0,0.053636363636363635,2.1538461538461537
20,Sweetwater Creek Red and White Trail Loop,4.7,442,1,0,0,0,0.01781108961960026,2.0
21,Iron Hill Loop,3.8,164,0,0,0,0,0.00817384370015949,1.1805555555555556
22,Pigeon Hill to East and West Loop Trail,6.1,1181,1,0,0,0,0.036667908594138106,2.0576923076923075
23,Indian Seats Trail,1.5,282,1,0,1,0,0.035606060606060606,1.3888888888888888
24,Sitton's Gulch Trail,4.9,1020,0,1,0,0,0.039424860853432275,2.1560283687943262
25,Amicalola Falls to Len Foote Hike Inn,4.8,1217,0,0,0,0,0.04801925505050505,2.12396694214876
26,High Shoals Falls Trail,2.5,551,0,0,0,0,0.04174242424242424,1.8881118881118881
27,Pine Mountain Summit via West Loop,2.2,626,1,0,0,0,0.053891184573002744,1.9696969696969697
28,Kennesaw Mountain Peak Trail,2.2,662,0,0,0,0,0.056990358126721756,1.9743589743589745
29,Island Ford Trail,5.9,636,0,0,0,0,0.020416024653312787,1.614864864864865
30,Laurel Ridge Trail,3.3,446,0,0,0,0,0.025596877869605142,1.6710526315789473
31,Upper Falls Via Panther Creek Trail,6.9,711,1,0,0,0,0.01951581027667984,2.3051948051948052
32,Homestead Trail,5.3,518,1,0,0,1,0.018510577472841624,1.8384615384615384
33,Vickery Creek Trail Short Loop,2.3,298,1,0,0,0,0.024538866930171283,1.71
34,Vickery Creek From Oxbo Road,2.8,229,1,0,0,1,0.015489718614718616,1.7517241379310344
35,Sweetwater Creek White Trail Loop,4.9,472,1,0,0,0,0.018243661100803957,2.0823529411764707
36,Brasstown Bald Trail,1.3,426,0,0,0,0,0.062062937062937064,1.901098901098901
37,Providence Canyon Backcountry Trail Loop,6.6,600,0,0,1,0,0.01721763085399449,2.0521739130434784
38,West Rim Loop Trail,2.5,262,1,0,1,1,0.019848484848484848,1.6727272727272726
39,Fort Yargo Lake Loop,6.0,360,0,0,1,0,0.011363636363636364,1.651851851851852
40,Tennessee Rock Trail,2.2,561,0,0,0,1,0.04829545454545454,1.949685534591195
41,Cartecay River Loop Trail,3.6,479,1,0,0,0,0.025199915824915826,1.8766233766233766
42,Anna Ruby Falls Trail,0.9,219,0,0,0,0,0.046085858585858584,1.4175824175824177
43,Jones Bridge Trail,4.2,262,0,0,1,0,0.011814574314574314,1.5153846153846153
44,Amicalola Falls,0.3,242,0,1,0,0,0.1527777777777778,2.6486486486486487
45,East Palisades North Loop,3.3,515,0,0,1,0,0.029556932966023877,1.8873239436619718
46,Providence Canyons Trail,1.8,272,0,0,1,0,0.02861952861952862,1.578125
47,Sweetwater Creek Red Trail,2.0,111,1,0,0,1,0.010511363636363636,1.554054054054054
48,Len Foote and Appalachian Approach Loop,9.9,2240,1,0,0,0,0.042852770125497396,2.4415584415584415
49,Arabia Mountain Klondike and Forest Trails Loop,3.9,318,1,0,1,0,0.015442890442890442,1.5172413793103448
50,DeSoto Falls Trail,2.0,190,1,0,0,1,0.017992424242424244,1.231578947368421
51,Bear Hair Gap Trail,4.3,951,1,0,0,0,0.041886892177589855,2.0697674418604652
52,Gold Branch Trail,3.4,314,1,0,0,1,0.01749108734402852,1.8640776699029127
53,Appalachian Approach Trail to Springer Mountain,16.0,4137,1,1,0,0,0.04897017045454546,2.926829268292683
54,Amicalola Falls Lookout via Creek Trail and West Ridge Falls Access,2.3,587,0,1,0,0,0.048336627140974975,2.3013698630136985
55,Pine Mountain Trail to Cascade Falls,3.9,462,1,0,1,0,0.022435897435897436,1.9069767441860466
56,Allatoona Falls Trail,3.1,236,1,0,1,0,0.014418377321603127,1.6694915254237288
57,Rabun Bald via Beegum Gap,3.1,1036,0,0,1,0,0.06329423264907136,2.0210526315789474
58,Sope Creek Loop from Paper Mill Road,2.7,255,0,0,1,0,0.017887205387205386,1.6285714285714286
59,Hemlock Falls Trail,1.9,242,1,0,0,0,0.02412280701754386,1.2828282828282829
60,Homestead Trail Sweet Gum Trail Osprey Loop Trail and Lakeside Trail,6.1,593,1,0,0,1,0.018411574764033784,1.7162162162162162
61,Big Cedar Mountain and Granny Top via Appalachian Trail,4.8,1062,1,0,0,0,0.04190340909090909,1.962962962962963
62,Sweetwater Red and White Loop Trail,2.4,203,1,1,0,0,0.016019570707070708,1.967032967032967
63,West Trail Pigeon Hill to Kennesaw Mountain Visitor Center,5.9,1712,1,0,0,0,0.054956343091936304,2.2666666666666666
64,Pine Log Creek Trail,4.5,728,0,0,0,1,0.03063973063973064,2.037037037037037
65,Amicalola Falls Loop,2.4,813,0,1,0,0,0.06415719696969698,2.1020408163265305
66,Long Branch Loop Trail,2.2,288,0,0,0,1,0.024793388429752063,1.2805755395683454
67,Fall Branch Falls Trail,0.9,193,0,0,0,0,0.04061447811447812,1.6666666666666667
68,Long Creek Falls via Appalachian and Benton MacKaye Trail,1.9,331,1,0,1,1,0.032994417862838916,1.1764705882352942
69,Cochran Shoals Trail from Interstate North Trailhead,6.0,370,1,0,0,0,0.01167929292929293,1.7037037037037037
70,Pine Mountain East and West Loop Trail,4.6,1279,1,0,0,1,0.052659749670619246,2.1052631578947367
71,Flat Creek Loop,5.6,1023,1,0,0,1,0.03459821428571429,1.9246575342465753
72,West Palisades Trail,4.0,590,1,0,0,0,0.02793560606060606,1.9861111111111112
73,Stone Wall Stone Tower and West Overlook Trails Loop,1.5,423,1,1,0,1,0.053409090909090906,1.7375
74,Blood Mountain via Appalachian Trail,4.6,1361,1,0,0,0,0.056035902503293815,2.525
75,Chattahoochee River Loop from Interstate North Trailhead,3.3,32,0,0,0,0,0.0018365472910927456,1.2428571428571429
76,Lake Zwerner aka Yahoola Creek Reservoir,3.3,413,1,0,0,1,0.02370293847566575,1.7777777777777777
77,Kennesaw Mountain and Visitor Center Short Loop,3.4,682,1,0,0,0,0.03799019607843137,1.9074074074074074
78,Hilltop Mountainside and Ridgeline Loop,4.9,708,1,0,0,0,0.02736549165120593,1.9272727272727272
79,Kennesaw Mountain East and West Loop,11.3,1735,1,0,0,0,0.029079511933494232,2.086206896551724
80,Gahuti Backcountry Trail,7.9,1581,1,0,0,0,0.037902761795166856,2.6065573770491803
81,Settles Bridge Park Extended Loop Trail,2.4,187,0,0,0,0,0.014756944444444444,1.5857142857142856
82,Panther Falls and Angel Falls Trail,2.2,410,1,0,0,1,0.0352961432506887,1.9206349206349207
83,Brasstown Bald via Jack's Gap,5.9,2221,0,0,0,0,0.07129558294812531,2.6666666666666665
84,Unicoi Lake Loop,2.0,131,0,0,0,1,0.01240530303030303,1.0919540229885059
85,Pine Mountain Summit via East Loop Trail,2.9,751,1,0,0,0,0.04904649947753396,2.033333333333333
86,High Falls Trail,1.1,150,1,0,0,1,0.025826446280991733,1.8695652173913044
87,Sweetwater Creek Yellow Trail,3.3,449,0,0,0,0,0.02576905417814509,1.96
88,Sweetgum Loop Trail,2.3,213,0,0,1,0,0.017539525691699608,1.53125
89,West Ridge Falls Access Trail,0.5,85,0,0,0,0,0.032196969696969696,1.7
90,Hardage Mill and Noses Creek Loop,3.5,492,0,0,1,0,0.026623376623376622,1.775
91,Kolb's Farm Loop Trail,5.2,423,0,0,0,0,0.015406468531468532,1.5507246376811594
92,Bartram Trail to Pinnacle Knob,8.1,1755,1,0,0,0,0.041035353535353536,2.0476190476190474
93,Klondike Trail to Arabia Mountain,3.3,265,1,0,0,0,0.0152089072543618,1.5471698113207548
94,Point Park and Craven's House Loop,2.7,593,1,1,0,1,0.04159652076318743,1.9807692307692308
95,Walk-in Campsites to Sitton's Gulch Trail,4.0,810,1,1,0,0,0.03835227272727273,2.0943396226415096
96,Stanley Gap and Benton Mackaye Loop Trail,2.7,603,0,0,0,0,0.04229797979797979,1.9875
97,Springer Mountain,1.9,393,1,0,1,0,0.03917464114832536,1.7096774193548387
98,Unicoi to Helen Trail,5.5,646,0,0,0,0,0.022245179063360883,1.605263157894737
99,Tumbling Waters Trail,1.0,88,0,0,0,0,0.016666666666666666,1.6444444444444444
100,Kennesaw Mountain Overlook via Pigeon Hill Trail,2.4,600,1,0,0,1,0.04734848484848485,2.0416666666666665
