Latitude,Longitude,Elevation
34.13176000,-84.5231300,263.0
34.13180000,-84.5230600,262.0
34.13185000,-84.5229700,261.0
34.13189000,-84.5229000,260.0
34.13221000,-84.5225100,259.0
34.13229000,-84.5224300,262.0
34.13236000,-84.5223800,263.0
34.13243000,-84.5223500,265.0
34.13247000,-84.5223500,266.0
34.13249000,-84.5223600,266.0
34.13258000,-84.5224200,266.0
34.13261000,-84.5224300,266.0
34.13264000,-84.5224300,267.0
34.13268000,-84.5224300,267.0
34.13271000,-84.5224200,267.0
34.13275000,-84.5224000,268.0
34.13280000,-84.5223600,269.0
34.13286000,-84.5222900,270.0
34.13291000,-84.5222400,271.0
34.13301000,-84.5221800,272.0
34.13308000,-84.5221200,272.0
34.13316000,-84.5220400,272.0
34.13326000,-84.5219100,272.0
34.13333000,-84.5218200,273.0
34.13344000,-84.5217200,273.0
34.13355000,-84.5216200,273.0
34.13369000,-84.5215000,273.0
34.13375000,-84.5214100,273.0
34.13381000,-84.5213500,273.0
34.13384000,-84.5213400,272.0
34.13399000,-84.5213400,270.0
34.13405000,-84.5213100,270.0
34.13410000,-84.5212800,269.0
34.13413000,-84.5212600,269.0
34.13419000,-84.5212400,269.0
34.13430000,-84.5211900,270.0
34.13436000,-84.5211700,270.0
34.13441000,-84.5211700,271.0
34.13451000,-84.5211500,271.0
34.13456000,-84.5211500,272.0
34.13462000,-84.5211400,272.0
34.13473000,-84.5211300,273.0
34.13486000,-84.5211000,273.0
34.13495000,-84.5210700,273.0
34.13500000,-84.5210600,273.0
34.13504000,-84.5210600,273.0
34.13506000,-84.5210600,273.0
34.13508000,-84.5210600,273.0
34.13513000,-84.5210700,274.0
34.13529000,-84.5210500,274.0
34.13548000,-84.5210600,273.0
34.13551000,-84.5210700,273.0
34.13556000,-84.5211100,273.0
34.13557000,-84.5211300,273.0
34.13557000,-84.5211600,272.0
34.13556000,-84.5212000,272.0
34.13553000,-84.5212700,272.0
34.13552000,-84.5213200,272.0
34.13548000,-84.5214100,272.0
34.13545000,-84.5214600,273.0
34.13542000,-84.5215300,273.0
34.13537000,-84.5216300,274.0
34.13529000,-84.5217700,275.0
34.13514000,-84.5220000,277.0
34.13502000,-84.5221600,277.0
34.13495000,-84.5222700,278.0
34.13491000,-84.5223500,278.0
34.13488000,-84.5224200,278.0
34.13483000,-84.5225300,277.0
34.13479000,-84.5226000,277.0
34.13473000,-84.5227700,277.0
34.13473000,-84.5228200,277.0
34.13470000,-84.5229300,277.0
34.13470000,-84.5229800,277.0
34.13468000,-84.5230900,278.0
34.13464000,-84.5232500,278.0
34.13462000,-84.5232900,278.0
34.13461000,-84.5233200,278.0
34.13459000,-84.5233400,277.0
34.13458000,-84.5233600,277.0
34.13454000,-84.5234600,276.0
34.13448000,-84.5236100,275.0
34.13447000,-84.5236800,274.0
34.13447000,-84.5237300,273.0
34.13449000,-84.5238700,270.0
34.13452000,-84.5240300,267.0
34.13456000,-84.5241500,266.0
34.13457000,-84.5241700,266.0
34.13459000,-84.5242500,265.0
34.13460000,-84.5242800,265.0
34.13462000,-84.5243200,265.0
34.13463000,-84.5243600,265.0
34.13465000,-84.5243900,265.0
34.13467000,-84.5244400,265.0
34.13470000,-84.5245200,266.0
34.13477000,-84.5246700,267.0
34.13480000,-84.5247600,268.0
34.13492000,-84.5249700,269.0
34.13503000,-84.5251500,268.0
34.13516000,-84.5253500,266.0
34.13524000,-84.5255100,265.0
34.13537000,-84.5257400,262.0
34.13539000,-84.5257900,262.0
34.13541000,-84.5258700,261.0
34.13541000,-84.5259000,261.0
34.13542000,-84.5259500,260.0
34.13542000,-84.5260600,259.0
34.13543000,-84.5261000,259.0
34.13544000,-84.5261600,259.0
34.13545000,-84.5262100,259.0
34.13547000,-84.5262600,259.0
34.13551000,-84.5263100,259.0
34.13555000,-84.5263700,260.0
34.13572000,-84.5265400,260.0
34.13593000,-84.5267100,260.0
34.13606000,-84.5268000,260.0
34.13615000,-84.5268600,259.0
34.13620000,-84.5269100,259.0
34.13627000,-84.5269700,259.0
34.13638000,-84.5270600,259.0
34.13645000,-84.5270900,258.0
34.13653000,-84.5271100,258.0
34.13664000,-84.5271500,258.0
34.13670000,-84.5271900,258.0
34.13679000,-84.5272500,258.0
34.13685000,-84.5272800,258.0
34.13685000,-84.5272700,258.0
34.13687000,-84.5272900,258.0
34.13692000,-84.5272900,258.0
34.13697000,-84.5272900,258.0
34.13723000,-84.5272900,258.0
34.13749000,-84.5272900,259.0
34.13776000,-84.5272800,259.0
34.13781000,-84.5272800,259.0
34.13787000,-84.5272900,259.0
34.13792000,-84.5272900,259.0
34.13797000,-84.5273000,259.0
34.13801000,-84.5273100,259.0
34.13810000,-84.5273100,260.0
34.13814000,-84.5273200,261.0
34.13819000,-84.5273200,261.0
34.13823000,-84.5273300,262.0
34.13828000,-84.5273300,262.0
34.13838000,-84.5273500,263.0
34.13855000,-84.5273200,264.0
34.13867000,-84.5273400,263.0
34.13875000,-84.5273600,263.0
34.13883000,-84.5273800,262.0
34.13891000,-84.5274000,261.0
34.13902000,-84.5274200,260.0
34.13909000,-84.5274400,259.0
34.13919000,-84.5274900,258.0
34.13927000,-84.5275100,258.0
34.13945000,-84.5275900,259.0
34.13954000,-84.5276200,260.0
34.13960000,-84.5276500,260.0
34.13969000,-84.5276800,261.0
34.13977000,-84.5277000,262.0
34.13986000,-84.5277300,263.0
34.13995000,-84.5277500,264.0
34.14001000,-84.5277500,265.0
34.14008000,-84.5277700,266.0
34.14009000,-84.5277800,266.0
34.14012000,-84.5278100,266.0
34.14020000,-84.5279200,266.0
34.14022000,-84.5279500,266.0
34.14026000,-84.5279800,266.0
34.14029000,-84.5280100,266.0
34.14034000,-84.5280400,267.0
34.14038000,-84.5280700,268.0
34.14043000,-84.5280800,268.0
34.14048000,-84.5281000,269.0
34.14052000,-84.5281200,270.0
34.14056000,-84.5281600,270.0
34.14059000,-84.5282000,270.0
34.14061000,-84.5282400,270.0
34.14064000,-84.5282900,270.0
34.14068000,-84.5283200,270.0
34.14072000,-84.5283600,271.0
34.14076000,-84.5283900,271.0
34.14080000,-84.5284200,272.0
34.14084000,-84.5284400,272.0
34.14085000,-84.5284400,272.0
34.14087000,-84.5284500,273.0
34.14092000,-84.5284700,273.0
34.14097000,-84.5284600,273.0
34.14102000,-84.5284500,274.0
34.14106000,-84.5284200,275.0
34.14109000,-84.5283800,276.0
34.14112000,-84.5283400,277.0
34.14117000,-84.5283200,278.0
34.14121000,-84.5283200,278.0
34.14124000,-84.5283700,278.0
34.14124000,-84.5284200,277.0
34.14124000,-84.5284800,276.0
34.14123000,-84.5285300,275.0
34.14122000,-84.5285800,274.0
34.14120000,-84.5286400,273.0
34.14118000,-84.5286800,272.0
34.14115000,-84.5287300,271.0
34.14111000,-84.5287600,270.0
34.14110000,-84.5288100,269.0
