Latitude,Longitude,Elevation
34.56775000,-84.2441500,776.0
34.56766000,-84.2442200,775.0
34.56754000,-84.2441100,776.0
34.56760000,-84.2442200,775.0
34.56759000,-84.2441700,775.0
34.56753000,-84.2441700,775.0
34.56747000,-84.2441800,775.0
34.56748000,-84.2442500,774.0
34.56751000,-84.2443400,774.0
34.56751000,-84.2444100,773.0
34.56748000,-84.2444700,772.0
34.56749000,-84.2445300,770.0
34.56749000,-84.2446000,767.0
34.56745000,-84.2446400,765.0
34.56740000,-84.2446600,763.0
34.56735000,-84.2448800,755.0
34.56731000,-84.2449600,752.0
34.56726000,-84.2450000,749.0
34.56719000,-84.2450500,746.0
34.56708000,-84.2451500,741.0
34.56701000,-84.2451000,740.0
34.56689000,-84.2453400,726.0
34.56685000,-84.2453800,723.0
34.56687000,-84.2451400,731.0
34.56685000,-84.2450400,733.0
34.56683000,-84.2448900,741.0
34.56677000,-84.2448000,743.0
34.56680000,-84.2448900,739.0
34.56682000,-84.2450600,730.0
34.56681000,-84.2453500,720.0
34.56687000,-84.2451200,732.0
34.56694000,-84.2452000,734.0
34.56702000,-84.2451300,740.0
34.56707000,-84.2451400,741.0
34.56712000,-84.2450300,745.0
34.56716000,-84.2450800,745.0
34.56719000,-84.2450300,746.0
34.56725000,-84.2449700,749.0
34.56730000,-84.2448300,755.0
34.56731000,-84.2447400,758.0
34.56735000,-84.2447200,760.0
34.56738000,-84.2446600,763.0
34.56744000,-84.2446400,765.0
34.56748000,-84.2445300,769.0
34.56750000,-84.2444700,772.0
34.56749000,-84.2443800,773.0
34.56747000,-84.2442800,774.0
34.56750000,-84.2442100,775.0
34.56757000,-84.2442000,775.0
34.56766000,-84.2442200,775.0
34.56775000,-84.2441500,776.0
