Latitude,Longitude,Elevation
34.56709000,-84.2435300,784.0
34.56715000,-84.2435200,784.0
34.56720000,-84.2435100,784.0
34.56724000,-84.2434900,785.0
34.56728000,-84.2434700,786.0
34.56732000,-84.2434400,787.0
34.56734000,-84.2433900,788.0
34.56734000,-84.2433300,790.0
34.56733000,-84.2433000,791.0
34.56733000,-84.2432400,792.0
34.56735000,-84.2431900,793.0
34.56741000,-84.2431700,794.0
34.56746000,-84.2431700,794.0
34.56749000,-84.2431700,795.0
34.56762000,-84.2431900,794.0
34.56768000,-84.2432000,793.0
34.56773000,-84.2432200,793.0
34.56777000,-84.2432500,792.0
34.56781000,-84.2432700,791.0
34.56796000,-84.2434100,786.0
34.56801000,-84.2434300,785.0
34.56805000,-84.2434500,784.0
34.56809000,-84.2434600,783.0
34.56814000,-84.2434700,783.0
34.56819000,-84.2434600,783.0
34.56823000,-84.2434400,784.0
34.56827000,-84.2434100,785.0
34.56831000,-84.2433700,786.0
34.56834000,-84.2433300,787.0
34.56837000,-84.2432800,787.0
34.56843000,-84.2431800,789.0
34.56845000,-84.2431300,790.0
34.56845000,-84.2430700,791.0
34.56847000,-84.2430200,792.0
34.56850000,-84.2429800,793.0
34.56851000,-84.2429800,793.0
34.56859000,-84.2429300,795.0
34.56864000,-84.2429300,795.0
34.56870000,-84.2429200,796.0
34.56875000,-84.2429200,796.0
34.56880000,-84.2429100,796.0
34.56884000,-84.2428900,797.0
34.56887000,-84.2428500,798.0
34.56890000,-84.2428000,799.0
34.56891000,-84.2427800,799.0
34.56907000,-84.2424000,806.0
34.56909000,-84.2423100,807.0
34.56908000,-84.2422600,808.0
34.56905000,-84.2422000,809.0
34.56904000,-84.2421800,809.0
34.56898000,-84.2420700,810.0
34.56897000,-84.2420200,810.0
34.56896000,-84.2419600,810.0
34.56896000,-84.2419500,810.0
34.56896000,-84.2418600,810.0
34.56897000,-84.2417900,811.0
34.56898000,-84.2417300,811.0
34.56900000,-84.2416800,811.0
34.56900000,-84.2416600,811.0
34.56903000,-84.2416100,813.0
34.56906000,-84.2415700,815.0
34.56911000,-84.2415400,816.0
34.56916000,-84.2415200,817.0
34.56941000,-84.2416000,814.0
34.56955000,-84.2416700,810.0
34.56960000,-84.2416900,809.0
34.56965000,-84.2416900,808.0
34.56970000,-84.2416900,808.0
34.56993000,-84.2416100,807.0
34.56997000,-84.2415900,807.0
