Latitude,Longitude,Elevation
34.55825000,-84.2499900,556.0
34.55835000,-84.2500500,557.0
34.55840000,-84.2500500,559.0
34.55845000,-84.2500600,560.0
34.55849000,-84.2500900,561.0
34.55852000,-84.2501300,563.0
34.55855000,-84.2501700,564.0
34.55857000,-84.2501900,565.0
34.55865000,-84.2502200,568.0
34.55870000,-84.2502100,570.0
34.55874000,-84.2501800,570.0
34.55877000,-84.2501400,570.0
34.55880000,-84.2501000,570.0
34.55884000,-84.2500500,570.0
34.55886000,-84.2500100,569.0
34.55889000,-84.2499600,569.0
34.55892000,-84.2499200,569.0
34.55895000,-84.2498700,569.0
34.55896000,-84.2498600,569.0
34.55901000,-84.2497900,569.0
34.55909000,-84.2497100,570.0
34.55922000,-84.2495800,570.0
34.55930000,-84.2495300,570.0
34.55933000,-84.2495400,571.0
34.55935000,-84.2495600,571.0
34.55941000,-84.2496600,574.0
34.55943000,-84.2496800,574.0
34.55948000,-84.2497000,575.0
34.55953000,-84.2497000,576.0
34.55962000,-84.2496700,576.0
34.55969000,-84.2496600,577.0
34.55974000,-84.2496500,577.0
34.55980000,-84.2496300,578.0
34.55988000,-84.2496000,580.0
34.56000000,-84.2495900,582.0
34.56004000,-84.2495700,583.0
34.56009000,-84.2495300,583.0
34.56018000,-84.2494400,584.0
34.56025000,-84.2493900,584.0
34.56028000,-84.2493600,584.0
34.56034000,-84.2493000,584.0
34.56043000,-84.2492100,584.0
34.56051000,-84.2491400,584.0
34.56054000,-84.2491200,584.0
34.56059000,-84.2491000,586.0
34.56063000,-84.2490700,586.0
34.56068000,-84.2490400,587.0
34.56071000,-84.2490300,588.0
34.56074000,-84.2490200,589.0
34.56077000,-84.2490300,590.0
34.56078000,-84.2490400,591.0
34.56077000,-84.2490600,591.0
34.56076000,-84.2491000,591.0
34.56074000,-84.2491400,591.0
34.56074000,-84.2491700,592.0
34.56075000,-84.2491800,593.0
34.56077000,-84.2491800,593.0
34.56086000,-84.2491000,594.0
34.56091000,-84.2490700,596.0
34.56099000,-84.2490700,599.0
34.56107000,-84.2490800,603.0
34.56112000,-84.2490600,604.0
34.56116000,-84.2490400,605.0
34.56123000,-84.2489200,605.0
34.56130000,-84.2488100,606.0
34.56132000,-84.2487700,606.0
34.56143000,-84.2485900,606.0
34.56151000,-84.2485100,607.0
34.56166000,-84.2483800,610.0
34.56176000,-84.2482900,612.0
34.56183000,-84.2482100,613.0
34.56190000,-84.2481400,615.0
34.56198000,-84.2480600,616.0
34.56203000,-84.2480200,616.0
34.56214000,-84.2479900,618.0
34.56222000,-84.2479900,619.0
34.56232000,-84.2479700,618.0
34.56244000,-84.2479100,617.0
34.56254000,-84.2478700,616.0
34.56267000,-84.2478000,616.0
34.56276000,-84.2477500,616.0
34.56288000,-84.2476900,618.0
34.56292000,-84.2476800,619.0
34.56296000,-84.2476800,620.0
34.56299000,-84.2476700,621.0
34.56301000,-84.2476700,622.0
34.56308000,-84.2476800,624.0
34.56313000,-84.2476800,625.0
34.56318000,-84.2476700,626.0
34.56323000,-84.2476500,627.0
34.56327000,-84.2476200,627.0
34.56331000,-84.2475900,627.0
34.56335000,-84.2475700,627.0
34.56339000,-84.2475500,627.0
34.56350000,-84.2475100,627.0
34.56356000,-84.2475100,628.0
34.56361000,-84.2475200,629.0
34.56365000,-84.2475400,630.0
34.56367000,-84.2475500,631.0
34.56370000,-84.2475700,632.0
34.56372000,-84.2475800,632.0
34.56379000,-84.2475900,633.0
34.56381000,-84.2475800,633.0
34.56381000,-84.2475600,633.0
34.56378000,-84.2475000,631.0
34.56376000,-84.2474600,629.0
34.56374000,-84.2474300,628.0
34.56372000,-84.2474000,627.0
34.56371000,-84.2473800,626.0
34.56367000,-84.2473000,623.0
34.56364000,-84.2472600,621.0
