Latitude,Longitude,Elevation
34.75750000,-83.7100900,615.0
34.75773000,-83.7100600,616.0
34.75779000,-83.7100600,616.0
34.75784000,-83.7100800,616.0
34.75788000,-83.7101100,616.0
34.75793000,-83.7101400,617.0
34.75797000,-83.7101700,617.0
34.75801000,-83.7101900,617.0
34.75807000,-83.7102300,617.0
34.75812000,-83.7102700,619.0
34.75816000,-83.7103100,621.0
34.75822000,-83.7103400,624.0
34.75827000,-83.7103700,626.0
34.75831000,-83.7103900,628.0
34.75838000,-83.7104300,630.0
34.75842000,-83.7104600,631.0
34.75847000,-83.7104900,631.0
34.75852000,-83.7105200,632.0
34.75858000,-83.7105500,632.0
34.75862000,-83.7105900,634.0
34.75866000,-83.7106200,635.0
34.75871000,-83.7106600,636.0
34.75874000,-83.7106700,637.0
34.75903000,-83.7108600,643.0
34.75907000,-83.7109000,645.0
34.75912000,-83.7109400,647.0
34.75919000,-83.7109900,650.0
34.75924000,-83.7110500,651.0
34.75927000,-83.7110900,652.0
34.75932000,-83.7111300,653.0
34.75936000,-83.7111800,654.0
34.75941000,-83.7112100,654.0
34.75944000,-83.7112500,654.0
34.75948000,-83.7113100,654.0
34.75952000,-83.7113500,654.0
34.75955000,-83.7114000,654.0
34.75958000,-83.7114500,654.0
34.75962000,-83.7114900,653.0
34.75966000,-83.7115200,652.0
34.75969000,-83.7115600,652.0
34.75974000,-83.7116000,652.0
34.75977000,-83.7116500,652.0
34.75981000,-83.7116900,653.0
34.75986000,-83.7117200,653.0
34.75991000,-83.7117400,652.0
34.75997000,-83.7117600,652.0
34.76001000,-83.7117800,652.0
34.76007000,-83.7118000,653.0
34.76009000,-83.7118000,653.0
34.76030000,-83.7117800,654.0
34.76035000,-83.7117800,656.0
34.76045000,-83.7118000,659.0
34.76050000,-83.7118200,660.0
34.76055000,-83.7118400,662.0
34.76060000,-83.7118600,663.0
34.76065000,-83.7118900,663.0
34.76070000,-83.7119200,663.0
34.76074000,-83.7119500,663.0
34.76079000,-83.7119700,664.0
34.76082000,-83.7120000,664.0
34.76086000,-83.7120400,664.0
34.76091000,-83.7121000,664.0
34.76097000,-83.7121600,664.0
34.76100000,-83.7121900,663.0
34.76103000,-83.7122400,663.0
34.76106000,-83.7122900,665.0
34.76111000,-83.7123100,666.0
34.76116000,-83.7123200,667.0
34.76122000,-83.7123200,667.0
34.76127000,-83.7123200,667.0
34.76132000,-83.7123100,667.0
34.76137000,-83.7123100,668.0
34.76142000,-83.7123100,669.0
34.76147000,-83.7123200,671.0
34.76152000,-83.7123300,672.0
34.76159000,-83.7123300,675.0
34.76165000,-83.7123300,677.0
34.76172000,-83.7123200,678.0
34.76178000,-83.7123100,680.0
34.76185000,-83.7122900,682.0
34.76188000,-83.7122700,682.0
34.76216000,-83.7122300,685.0
34.76223000,-83.7122300,685.0
34.76229000,-83.7122300,686.0
34.76235000,-83.7122300,687.0
34.76240000,-83.7122300,688.0
34.76247000,-83.7122300,690.0
34.76256000,-83.7122300,691.0
34.76262000,-83.7122400,692.0
34.76267000,-83.7122400,692.0
34.76272000,-83.7122500,693.0
34.76279000,-83.7122600,693.0
34.76284000,-83.7122800,693.0
34.76290000,-83.7122900,693.0
34.76297000,-83.7122900,693.0
34.76302000,-83.7122900,694.0
34.76309000,-83.7122900,695.0
34.76314000,-83.7122900,696.0
34.76320000,-83.7122800,697.0
34.76326000,-83.7122600,699.0
34.76332000,-83.7122500,700.0
34.76339000,-83.7122400,703.0
34.76346000,-83.7122100,706.0
34.76351000,-83.7121800,710.0
34.76357000,-83.7121700,712.0
34.76362000,-83.7121600,715.0
34.76364000,-83.7121500,716.0
34.76362000,-83.7121600,715.0
34.76357000,-83.7121700,712.0
34.76351000,-83.7121800,710.0
34.76346000,-83.7122100,706.0
34.76339000,-83.7122400,703.0
34.76332000,-83.7122500,700.0
34.76326000,-83.7122600,699.0
34.76320000,-83.7122800,697.0
34.76314000,-83.7122900,696.0
34.76309000,-83.7122900,695.0
34.76302000,-83.7122900,694.0
34.76297000,-83.7122900,693.0
34.76290000,-83.7122900,693.0
34.76284000,-83.7122800,693.0
34.76279000,-83.7122600,693.0
34.76272000,-83.7122500,693.0
34.76267000,-83.7122400,692.0
34.76262000,-83.7122400,692.0
34.76256000,-83.7122300,691.0
34.76247000,-83.7122300,690.0
34.76240000,-83.7122300,688.0
34.76235000,-83.7122300,687.0
34.76229000,-83.7122300,686.0
34.76223000,-83.7122300,685.0
34.76216000,-83.7122300,685.0
34.76188000,-83.7122700,682.0
34.76185000,-83.7122900,682.0
34.76178000,-83.7123100,680.0
34.76172000,-83.7123200,678.0
34.76165000,-83.7123300,677.0
34.76159000,-83.7123300,675.0
34.76152000,-83.7123300,672.0
34.76147000,-83.7123200,671.0
34.76142000,-83.7123100,669.0
34.76137000,-83.7123100,668.0
34.76132000,-83.7123100,667.0
34.76127000,-83.7123200,667.0
34.76122000,-83.7123200,667.0
34.76116000,-83.7123200,667.0
34.76111000,-83.7123100,666.0
34.76106000,-83.7122900,665.0
34.76103000,-83.7122400,663.0
34.76100000,-83.7121900,663.0
34.76097000,-83.7121600,664.0
34.76091000,-83.7121000,664.0
34.76086000,-83.7120400,664.0
34.76082000,-83.7120000,664.0
34.76079000,-83.7119700,664.0
34.76074000,-83.7119500,663.0
34.76070000,-83.7119200,663.0
34.76065000,-83.7118900,663.0
34.76060000,-83.7118600,663.0
34.76055000,-83.7118400,662.0
34.76050000,-83.7118200,660.0
34.76045000,-83.7118000,659.0
34.76035000,-83.7117800,656.0
34.76030000,-83.7117800,654.0
34.76009000,-83.7118000,653.0
34.76007000,-83.7118000,653.0
34.76001000,-83.7117800,652.0
34.75997000,-83.7117600,652.0
34.75991000,-83.7117400,652.0
34.75986000,-83.7117200,653.0
34.75981000,-83.7116900,653.0
34.75977000,-83.7116500,652.0
34.75974000,-83.7116000,652.0
34.75969000,-83.7115600,652.0
34.75966000,-83.7115200,652.0
34.75962000,-83.7114900,653.0
34.75958000,-83.7114500,654.0
34.75955000,-83.7114000,654.0
34.75952000,-83.7113500,654.0
34.75948000,-83.7113100,654.0
34.75944000,-83.7112500,654.0
34.75941000,-83.7112100,654.0
34.75936000,-83.7111800,654.0
34.75932000,-83.7111300,653.0
34.75927000,-83.7110900,652.0
34.75924000,-83.7110500,651.0
34.75919000,-83.7109900,650.0
34.75912000,-83.7109400,647.0
34.75907000,-83.7109000,645.0
34.75903000,-83.7108600,643.0
34.75874000,-83.7106700,637.0
34.75871000,-83.7106600,636.0
34.75866000,-83.7106200,635.0
34.75862000,-83.7105900,634.0
34.75858000,-83.7105500,632.0
34.75852000,-83.7105200,632.0
34.75847000,-83.7104900,631.0
34.75842000,-83.7104600,631.0
34.75838000,-83.7104300,630.0
34.75831000,-83.7103900,628.0
34.75827000,-83.7103700,626.0
34.75822000,-83.7103400,624.0
34.75816000,-83.7103100,621.0
34.75812000,-83.7102700,619.0
34.75807000,-83.7102300,617.0
34.75801000,-83.7101900,617.0
34.75797000,-83.7101700,617.0
34.75793000,-83.7101400,617.0
34.75788000,-83.7101100,616.0
34.75784000,-83.7100800,616.0
34.75779000,-83.7100600,616.0
34.75773000,-83.7100600,616.0
34.75750000,-83.7100900,615.0
