Latitude,Longitude,Elevation
34.56100000,-84.2473300,588.0
34.56097000,-84.2473300,588.0
34.56099000,-84.2473800,588.0
34.56107000,-84.2474200,587.0
34.56113000,-84.2474400,586.0
34.56120000,-84.2474400,586.0
34.56128000,-84.2474300,586.0
34.56138000,-84.2474700,585.0
34.56143000,-84.2474900,585.0
34.56150000,-84.2474800,586.0
34.56155000,-84.2474500,587.0
34.56162000,-84.2474300,588.0
34.56170000,-84.2474200,590.0
34.56178000,-84.2474300,593.0
34.56185000,-84.2474500,595.0
34.56193000,-84.2474700,598.0
34.56201000,-84.2474800,600.0
34.56210000,-84.2474600,602.0
34.56216000,-84.2474300,603.0
34.56223000,-84.2473900,604.0
34.56231000,-84.2473600,605.0
34.56238000,-84.2473200,606.0
34.56246000,-84.2472900,607.0
34.56253000,-84.2472700,608.0
34.56262000,-84.2472900,610.0
34.56264000,-84.2473000,610.0
34.56267000,-84.2473100,611.0
34.56269000,-84.2473200,611.0
34.56277000,-84.2473200,612.0
34.56284000,-84.2472900,613.0
34.56295000,-84.2472400,613.0
34.56305000,-84.2471900,613.0
34.56313000,-84.2471600,614.0
34.56320000,-84.2471100,615.0
34.56333000,-84.2470000,614.0
34.56340000,-84.2469400,614.0
34.56347000,-84.2469300,614.0
34.56352000,-84.2469400,615.0
34.56354000,-84.2469400,615.0
34.56359000,-84.2469300,615.0
34.56362000,-84.2469200,616.0
34.56365000,-84.2468800,616.0
34.56366000,-84.2468600,616.0
34.56370000,-84.2467800,617.0
34.56374000,-84.2467000,617.0
34.56377000,-84.2466400,618.0
34.56385000,-84.2465300,620.0
34.56389000,-84.2464900,620.0
34.56394000,-84.2463600,622.0
34.56397000,-84.2463000,624.0
34.56403000,-84.2462500,626.0
34.56409000,-84.2462000,628.0
34.56415000,-84.2461800,629.0
34.56430000,-84.2461900,632.0
34.56441000,-84.2461700,635.0
34.56453000,-84.2461500,638.0
34.56460000,-84.2461100,641.0
34.56467000,-84.2461200,644.0
34.56469000,-84.2461200,645.0
34.56472000,-84.2461000,646.0
34.56481000,-84.2459700,650.0
34.56488000,-84.2459200,652.0
34.56501000,-84.2458500,655.0
34.56515000,-84.2457800,657.0
34.56518000,-84.2457700,657.0
34.56534000,-84.2457200,660.0
34.56550000,-84.2456900,664.0
34.56568000,-84.2456700,667.0
34.56570000,-84.2456400,667.0
34.56570000,-84.2456100,667.0
34.56554000,-84.2455000,668.0
34.56551000,-84.2454600,668.0
34.56550000,-84.2454300,668.0
34.56552000,-84.2454100,669.0
34.56556000,-84.2454100,670.0
34.56567000,-84.2453700,669.0
34.56572000,-84.2453500,669.0
34.56581000,-84.2453200,669.0
34.56600000,-84.2453300,670.0
34.56608000,-84.2453100,670.0
34.56617000,-84.2453300,676.0
34.56622000,-84.2453400,680.0
34.56625000,-84.2453100,681.0
34.56627000,-84.2452700,682.0
34.56624000,-84.2451300,682.0
34.56627000,-84.2450900,685.0
34.56633000,-84.2450400,691.0
34.56635000,-84.2449800,694.0
34.56645000,-84.2449500,705.0
34.56653000,-84.2448900,716.0
34.56660000,-84.2448600,725.0
34.56672000,-84.2447400,743.0
34.56681000,-84.2448200,745.0
34.56683000,-84.2449700,735.0
34.56685000,-84.2451400,730.0
34.56681000,-84.2454200,720.0
34.56694000,-84.2451200,738.0
34.56701000,-84.2452200,737.0
34.56709000,-84.2450900,743.0
34.56713000,-84.2451200,743.0
34.56718000,-84.2449500,749.0
34.56722000,-84.2450400,747.0
34.56723000,-84.2449900,748.0
34.56728000,-84.2450200,749.0
34.56729000,-84.2449200,752.0
34.56731000,-84.2449600,752.0
34.56736000,-84.2447500,759.0
34.56733000,-84.2446700,762.0
34.56737000,-84.2446700,763.0
34.56738000,-84.2447000,761.0
34.56742000,-84.2446800,763.0
34.56740000,-84.2446100,765.0
34.56747000,-84.2446700,765.0
34.56747000,-84.2446000,767.0
34.56745000,-84.2445000,770.0
34.56752000,-84.2444300,773.0
34.56752000,-84.2444200,773.0
34.56747000,-84.2443100,774.0
34.56743000,-84.2442000,775.0
34.56734000,-84.2441500,774.0
34.56730000,-84.2440600,775.0
34.56724000,-84.2438600,775.0
34.56717000,-84.2435500,783.0
34.56734000,-84.2434000,788.0
34.56735000,-84.2433300,790.0
34.56732000,-84.2432500,792.0
34.56732000,-84.2432000,792.0
34.56735000,-84.2431800,793.0
34.56741000,-84.2431700,794.0
34.56749000,-84.2431700,795.0
34.56758000,-84.2431700,794.0
34.56765000,-84.2431700,794.0
34.56772000,-84.2432000,793.0
34.56778000,-84.2432600,791.0
34.56782000,-84.2432900,790.0
34.56786000,-84.2433200,789.0
34.56790000,-84.2433600,788.0
34.56795000,-84.2433900,786.0
34.56799000,-84.2434200,785.0
34.56802000,-84.2434400,784.0
34.56809000,-84.2434700,783.0
34.56815000,-84.2434800,783.0
34.56821000,-84.2434700,783.0
34.56825000,-84.2434100,785.0
34.56830000,-84.2433600,786.0
34.56835000,-84.2432900,787.0
34.56838000,-84.2432200,788.0
34.56840000,-84.2431600,790.0
34.56842000,-84.2430900,791.0
34.56845000,-84.2430600,791.0
34.56850000,-84.2430300,792.0
34.56854000,-84.2430100,793.0
34.56860000,-84.2429800,794.0
34.56862000,-84.2429800,794.0
34.56867000,-84.2429600,795.0
34.56873000,-84.2429500,795.0
34.56879000,-84.2429300,796.0
34.56884000,-84.2428800,797.0
34.56890000,-84.2428300,798.0
34.56893000,-84.2427700,800.0
34.56896000,-84.2427000,801.0
34.56899000,-84.2426200,803.0
34.56900000,-84.2425500,804.0
34.56904000,-84.2424800,806.0
34.56906000,-84.2424200,806.0
34.56910000,-84.2423200,807.0
34.56907000,-84.2422300,808.0
34.56902000,-84.2421600,809.0
34.56898000,-84.2421000,810.0
34.56898000,-84.2420200,810.0
34.56896000,-84.2419300,810.0
34.56896000,-84.2418600,810.0
34.56895000,-84.2417700,810.0
34.56898000,-84.2416800,811.0
34.56900000,-84.2416200,812.0
34.56906000,-84.2415500,815.0
