Latitude,Longitude,Elevation
33.67224000,-84.1162800,279.0
33.67222000,-84.1164100,278.0
33.67221000,-84.1164800,278.0
33.67220000,-84.1165300,278.0
33.67220000,-84.1165400,278.0
33.67212000,-84.1167600,278.0
33.67209000,-84.1168100,278.0
33.67208000,-84.1168400,278.0
33.67201000,-84.1169900,279.0
33.67201000,-84.1170100,279.0
33.67201000,-84.1171000,279.0
33.67202000,-84.1171400,279.0
33.67209000,-84.1172900,279.0
33.67212000,-84.1173300,279.0
33.67216000,-84.1174800,278.0
33.67214000,-84.1175000,278.0
33.67212000,-84.1175200,278.0
33.67207000,-84.1175300,278.0
33.67205000,-84.1175300,278.0
33.67192000,-84.1175400,277.0
33.67187000,-84.1175500,277.0
33.67183000,-84.1175400,277.0
33.67181000,-84.1175400,277.0
33.67170000,-84.1174900,277.0
33.67166000,-84.1174600,277.0
33.67163000,-84.1174100,277.0
33.67161000,-84.1173900,277.0
33.67154000,-84.1172600,277.0
33.67153000,-84.1172400,277.0
33.67142000,-84.1171300,278.0
33.67138000,-84.1170900,278.0
33.67137000,-84.1170800,278.0
33.67129000,-84.1170300,278.0
33.67124000,-84.1170100,278.0
33.67120000,-84.1170000,278.0
33.67116000,-84.1169900,278.0
33.67114000,-84.1169900,278.0
33.67106000,-84.1169900,277.0
33.67101000,-84.1170000,277.0
33.67096000,-84.1170200,277.0
33.67093000,-84.1170300,277.0
33.67084000,-84.1171000,277.0
33.67082000,-84.1171200,277.0
33.67061000,-84.1173500,273.0
33.67058000,-84.1173700,273.0
33.67043000,-84.1175600,271.0
33.67040000,-84.1176100,271.0
33.67036000,-84.1176500,271.0
33.67034000,-84.1176800,271.0
33.67032000,-84.1176900,271.0
33.67028000,-84.1176400,271.0
33.67025000,-84.1176000,271.0
33.67022000,-84.1175600,271.0
33.67021000,-84.1175500,271.0
33.67012000,-84.1174200,271.0
33.67009000,-84.1173800,271.0
33.67006000,-84.1173400,271.0
33.67004000,-84.1173100,271.0
33.66992000,-84.1171300,270.0
33.66989000,-84.1170800,270.0
33.66986000,-84.1170400,270.0
33.66975000,-84.1168800,270.0
33.66973000,-84.1168400,271.0
33.66972000,-84.1168300,271.0
33.66967000,-84.1167300,272.0
33.66964000,-84.1166800,272.0
33.66964000,-84.1166700,272.0
33.66956000,-84.1165000,274.0
33.66954000,-84.1164400,275.0
33.66947000,-84.1162900,276.0
33.66944000,-84.1162400,277.0
33.66944000,-84.1162300,277.0
33.66941000,-84.1161700,277.0
33.66922000,-84.1158700,281.0
33.66910000,-84.1157000,283.0
33.66899000,-84.1155500,284.0
33.66889000,-84.1154200,284.0
33.66887000,-84.1153900,283.0
33.66881000,-84.1153100,283.0
33.66879000,-84.1152800,283.0
33.66871000,-84.1151700,283.0
33.66867000,-84.1151000,283.0
33.66865000,-84.1150700,283.0
33.66863000,-84.1150600,283.0
33.66862000,-84.1150600,283.0
33.66858000,-84.1150800,283.0
33.66855000,-84.1150900,283.0
33.66845000,-84.1151200,282.0
33.66840000,-84.1151400,282.0
33.66836000,-84.1151700,281.0
33.66831000,-84.1151900,281.0
33.66827000,-84.1152300,281.0
33.66823000,-84.1152700,281.0
33.66819000,-84.1153100,281.0
33.66814000,-84.1153300,282.0
33.66810000,-84.1153500,282.0
33.66808000,-84.1153600,282.0
33.66797000,-84.1154000,282.0
33.66792000,-84.1154200,282.0
33.66788000,-84.1154400,282.0
33.66778000,-84.1154800,282.0
33.66770000,-84.1155600,282.0
33.66768000,-84.1155900,282.0
33.66764000,-84.1157100,282.0
33.66763000,-84.1157700,283.0
33.66762000,-84.1158200,283.0
33.66761000,-84.1158700,282.0
33.66760000,-84.1159900,282.0
33.66759000,-84.1160500,281.0
33.66759000,-84.1160600,281.0
33.66758000,-84.1161700,280.0
33.66757000,-84.1162300,279.0
33.66756000,-84.1162400,279.0
33.66755000,-84.1163500,278.0
33.66754000,-84.1164000,278.0
33.66753000,-84.1164400,277.0
33.66749000,-84.1166100,275.0
33.66747000,-84.1166600,275.0
33.66746000,-84.1167100,274.0
33.66745000,-84.1167300,274.0
33.66742000,-84.1168100,274.0
33.66740000,-84.1168600,274.0
33.66737000,-84.1169000,274.0
33.66736000,-84.1169200,274.0
33.66733000,-84.1169600,274.0
33.66730000,-84.1170000,274.0
33.66729000,-84.1170000,274.0
33.66726000,-84.1170500,275.0
33.66722000,-84.1171000,276.0
33.66719000,-84.1171500,276.0
33.66716000,-84.1172000,277.0
33.66712000,-84.1172500,277.0
33.66709000,-84.1173000,278.0
33.66708000,-84.1173100,278.0
33.66706000,-84.1173400,278.0
33.66702000,-84.1173900,279.0
33.66699000,-84.1174400,279.0
33.66696000,-84.1174900,280.0
33.66692000,-84.1175400,281.0
33.66689000,-84.1175800,281.0
33.66683000,-84.1176500,281.0
33.66680000,-84.1176900,282.0
33.66677000,-84.1177300,282.0
33.66676000,-84.1177400,282.0
33.66671000,-84.1177900,283.0
33.66668000,-84.1178300,284.0
33.66665000,-84.1178500,284.0
33.66660000,-84.1178600,284.0
33.66655000,-84.1178700,285.0
33.66651000,-84.1178600,285.0
