Latitude,Longitude,Elevation
34.88231000,-83.3505300,602.0
34.88235000,-83.3505400,601.0
34.88240000,-83.3505800,600.0
34.88244000,-83.3506100,599.0
34.88247000,-83.3506600,598.0
34.88249000,-83.3507200,598.0
34.88251000,-83.3507800,598.0
34.88253000,-83.3508400,598.0
34.88256000,-83.3509000,599.0
34.88258000,-83.3509500,599.0
34.88262000,-83.3510100,600.0
34.88265000,-83.3510500,600.0
34.88269000,-83.3510800,600.0
34.88273000,-83.3511100,601.0
34.88277000,-83.3511500,601.0
34.88281000,-83.3511900,602.0
34.88286000,-83.3512300,603.0
34.88290000,-83.3512700,604.0
34.88293000,-83.3513300,605.0
34.88296000,-83.3513900,605.0
34.88299000,-83.3514500,607.0
34.88302000,-83.3515000,609.0
34.88305000,-83.3515500,610.0
34.88308000,-83.3516000,612.0
34.88313000,-83.3516500,614.0
34.88316000,-83.3517000,616.0
34.88319000,-83.3517400,617.0
34.88323000,-83.3517800,619.0
34.88326000,-83.3518200,621.0
34.88330000,-83.3518600,622.0
34.88335000,-83.3519000,624.0
34.88340000,-83.3519200,626.0
34.88344000,-83.3519500,627.0
34.88348000,-83.3519800,629.0
34.88353000,-83.3520000,631.0
34.88358000,-83.3520400,633.0
34.88362000,-83.3520800,635.0
34.88365000,-83.3521300,636.0
34.88365000,-83.3521600,637.0
34.88367000,-83.3522200,639.0
34.88370000,-83.3522600,641.0
34.88373000,-83.3523000,643.0
34.88377000,-83.3523400,645.0
34.88381000,-83.3523800,647.0
34.88386000,-83.3524300,650.0
34.88389000,-83.3524600,651.0
34.88394000,-83.3524700,652.0
34.88400000,-83.3524700,652.0
34.88404000,-83.3524300,651.0
34.88405000,-83.3523600,650.0
34.88405000,-83.3522900,648.0
34.88404000,-83.3522200,646.0
34.88404000,-83.3521600,645.0
34.88403000,-83.3521000,645.0
34.88402000,-83.3520300,644.0
34.88400000,-83.3519700,643.0
34.88398000,-83.3519000,643.0
34.88396000,-83.3518400,642.0
34.88394000,-83.3517800,642.0
34.88392000,-83.3517300,641.0
34.88392000,-83.3516600,641.0
34.88392000,-83.3516000,642.0
34.88392000,-83.3515300,642.0
34.88392000,-83.3514600,642.0
34.88392000,-83.3513900,643.0
34.88392000,-83.3513300,643.0
34.88391000,-83.3512700,642.0
34.88391000,-83.3512100,642.0
34.88389000,-83.3511500,641.0
34.88389000,-83.3510900,642.0
34.88388000,-83.3510300,641.0
34.88386000,-83.3509700,641.0
34.88386000,-83.3509100,641.0
34.88386000,-83.3508500,641.0
34.88386000,-83.3507800,642.0
34.88386000,-83.3507200,642.0
34.88387000,-83.3506600,643.0
34.88388000,-83.3506000,645.0
34.88388000,-83.3505200,646.0
34.88387000,-83.3504600,646.0
34.88386000,-83.3504000,646.0
34.88384000,-83.3503400,645.0
34.88381000,-83.3502800,645.0
34.88379000,-83.3502300,644.0
34.88377000,-83.3501800,643.0
34.88375000,-83.3501200,641.0
34.88376000,-83.3500400,642.0
34.88377000,-83.3499900,642.0
34.88378000,-83.3499300,642.0
34.88379000,-83.3498700,642.0
34.88383000,-83.3498500,643.0
34.88385000,-83.3498500,644.0
34.88385000,-83.3497900,644.0
34.88388000,-83.3497400,644.0
34.88392000,-83.3497000,645.0
34.88396000,-83.3496500,646.0
34.88400000,-83.3496100,647.0
34.88404000,-83.3495700,648.0
34.88408000,-83.3495500,649.0
34.88409000,-83.3494800,648.0
34.88409000,-83.3494100,647.0
34.88409000,-83.3493500,646.0
34.88409000,-83.3492900,645.0
34.88411000,-83.3492400,644.0
34.88416000,-83.3491900,645.0
34.88419000,-83.3491400,645.0
34.88422000,-83.3491000,645.0
34.88425000,-83.3490600,646.0
34.88428000,-83.3490200,647.0
34.88430000,-83.3489800,647.0
34.88431000,-83.3489800,647.0
34.88432000,-83.3489200,646.0
34.88433000,-83.3488600,646.0
34.88434000,-83.3488100,646.0
34.88435000,-83.3487500,646.0
34.88436000,-83.3486900,646.0
34.88436000,-83.3486300,645.0
34.88436000,-83.3485700,644.0
34.88436000,-83.3485100,644.0
34.88434000,-83.3484600,642.0
34.88433000,-83.3484000,641.0
34.88432000,-83.3483400,640.0
34.88430000,-83.3482900,638.0
34.88430000,-83.3482300,638.0
34.88429000,-83.3481600,637.0
34.88428000,-83.3480900,636.0
34.88428000,-83.3480300,636.0
34.88428000,-83.3479700,636.0
34.88428000,-83.3479100,636.0
34.88428000,-83.3478500,637.0
34.88430000,-83.3477900,638.0
34.88432000,-83.3477500,638.0
34.88436000,-83.3476900,639.0
34.88439000,-83.3476500,639.0
34.88443000,-83.3476100,640.0
34.88447000,-83.3475800,640.0
34.88450000,-83.3475500,640.0
34.88454000,-83.3475100,641.0
34.88455000,-83.3475000,641.0
34.88455000,-83.3474400,639.0
34.88455000,-83.3473800,638.0
34.88456000,-83.3473200,637.0
34.88456000,-83.3472600,636.0
34.88455000,-83.3472000,634.0
34.88454000,-83.3471400,633.0
34.88453000,-83.3470900,632.0
34.88452000,-83.3470300,631.0
34.88450000,-83.3469600,629.0
34.88449000,-83.3469000,628.0
34.88448000,-83.3468500,628.0
34.88447000,-83.3467900,627.0
34.88445000,-83.3467400,625.0
34.88443000,-83.3466800,624.0
34.88442000,-83.3466100,623.0
34.88442000,-83.3465500,622.0
34.88443000,-83.3464900,622.0
34.88445000,-83.3464400,622.0
34.88448000,-83.3463900,623.0
34.88451000,-83.3463400,623.0
34.88453000,-83.3462900,623.0
34.88454000,-83.3462300,623.0
34.88454000,-83.3461600,622.0
34.88453000,-83.3461000,621.0
34.88453000,-83.3460400,620.0
34.88452000,-83.3460000,620.0
34.88451000,-83.3459700,619.0
34.88451000,-83.3459100,619.0
34.88451000,-83.3458500,618.0
34.88451000,-83.3457900,618.0
34.88450000,-83.3457300,618.0
34.88451000,-83.3456700,618.0
34.88454000,-83.3456300,618.0
34.88459000,-83.3456000,618.0
34.88463000,-83.3455800,618.0
34.88469000,-83.3455700,618.0
34.88474000,-83.3455600,618.0
34.88480000,-83.3455600,618.0
34.88485000,-83.3455600,618.0
34.88489000,-83.3455700,618.0
34.88493000,-83.3455900,618.0
34.88498000,-83.3456000,617.0
34.88503000,-83.3456000,617.0
34.88509000,-83.3456100,617.0
34.88514000,-83.3456200,617.0
34.88515000,-83.3456200,617.0
34.88520000,-83.3456400,617.0
34.88524000,-83.3456700,617.0
34.88529000,-83.3457100,617.0
34.88533000,-83.3456900,617.0
34.88537000,-83.3456300,616.0
34.88538000,-83.3455800,615.0
34.88540000,-83.3455300,614.0
34.88542000,-83.3454700,613.0
34.88543000,-83.3454100,612.0
