Latitude,Longitude,Elevation
34.76379000,-83.9264100,723.0
34.76385000,-83.9266100,726.0
34.76381000,-83.9267500,727.0
34.76374000,-83.9268800,727.0
34.76373000,-83.9270700,728.0
34.76373000,-83.9270800,728.0
34.76379000,-83.9273200,731.0
34.76381000,-83.9276000,735.0
34.76398000,-83.9277700,740.0
34.76405000,-83.9279400,742.0
34.76400000,-83.9282400,743.0
34.76411000,-83.9284100,746.0
34.76411000,-83.9285600,745.0
34.76418000,-83.9286900,747.0
34.76419000,-83.9288500,747.0
34.76405000,-83.9289800,745.0
34.76399000,-83.9291600,744.0
34.76398000,-83.9294500,746.0
34.76399000,-83.9294500,746.0
34.76390000,-83.9298400,747.0
34.76396000,-83.9301700,751.0
34.76385000,-83.9302700,749.0
34.76340000,-83.9303900,748.0
34.76322000,-83.9305200,751.0
34.76319000,-83.9307100,752.0
34.76311000,-83.9309400,754.0
34.76299000,-83.9310800,756.0
34.76297000,-83.9313500,762.0
34.76299000,-83.9315400,764.0
34.76314000,-83.9319500,767.0
34.76321000,-83.9321300,768.0
34.76315000,-83.9323300,769.0
34.76314000,-83.9325300,770.0
34.76314000,-83.9325400,770.0
34.76322000,-83.9328200,773.0
34.76323000,-83.9328200,773.0
34.76324000,-83.9331800,778.0
34.76323000,-83.9335100,782.0
34.76330000,-83.9339700,784.0
34.76342000,-83.9344800,788.0
34.76348000,-83.9349300,791.0
34.76349000,-83.9353800,796.0
34.76345000,-83.9356800,799.0
34.76333000,-83.9359700,804.0
34.76315000,-83.9363900,811.0
34.76294000,-83.9366600,818.0
34.76294000,-83.9366700,818.0
34.76286000,-83.9367200,819.0
34.76267000,-83.9367600,823.0
34.76250000,-83.9367300,826.0
34.76237000,-83.9368000,830.0
34.76236000,-83.9368000,830.0
34.76231000,-83.9369000,831.0
34.76234000,-83.9370300,832.0
34.76235000,-83.9370400,832.0
34.76251000,-83.9370900,831.0
34.76270000,-83.9371500,828.0
34.76277000,-83.9373000,829.0
34.76279000,-83.9377500,835.0
34.76270000,-83.9380800,843.0
34.76257000,-83.9382800,848.0
34.76228000,-83.9386100,857.0
34.76207000,-83.9388300,868.0
34.76180000,-83.9391200,876.0
34.76150000,-83.9394300,881.0
34.76142000,-83.9395600,883.0
34.76141000,-83.9395800,884.0
34.76141000,-83.9396800,884.0
34.76152000,-83.9397200,883.0
34.76168000,-83.9397100,880.0
34.76215000,-83.9397300,881.0
34.76234000,-83.9397800,885.0
34.76242000,-83.9398600,889.0
34.76242000,-83.9399500,892.0
34.76241000,-83.9399500,892.0
34.76232000,-83.9399800,891.0
34.76230000,-83.9399800,891.0
34.76209000,-83.9399400,887.0
34.76179000,-83.9400200,885.0
34.76167000,-83.9400900,886.0
34.76152000,-83.9403100,891.0
34.76151000,-83.9403200,892.0
34.76140000,-83.9404100,895.0
34.76139000,-83.9404100,895.0
34.76124000,-83.9404300,897.0
34.76124000,-83.9404400,897.0
34.76105000,-83.9403800,897.0
34.76104000,-83.9403800,897.0
34.76079000,-83.9402300,897.0
34.76059000,-83.9400700,900.0
34.76048000,-83.9399200,902.0
34.76052000,-83.9398000,902.0
34.76053000,-83.9397900,902.0
34.76070000,-83.9396700,898.0
34.76082000,-83.9395000,898.0
34.76093000,-83.9392300,893.0
34.76100000,-83.9389000,890.0
34.76096000,-83.9388100,890.0
34.76089000,-83.9387600,891.0
34.76074000,-83.9387400,895.0
34.76053000,-83.9388000,901.0
34.76027000,-83.9389100,907.0
34.76013000,-83.9389400,909.0
34.76009000,-83.9388600,911.0
34.76016000,-83.9385800,910.0
34.76030000,-83.9382600,911.0
34.76048000,-83.9379600,911.0
34.76061000,-83.9376600,909.0
