Latitude,Longitude,Elevation
34.67761000,-83.9999300,969.0
34.67782000,-83.9997600,972.0
34.67787000,-83.9997400,973.0
34.67791000,-83.9997000,973.0
34.67795000,-83.9996600,974.0
34.67799000,-83.9996100,975.0
34.67802000,-83.9995700,976.0
34.67805000,-83.9995300,978.0
34.67809000,-83.9994800,978.0
34.67812000,-83.9994300,979.0
34.67815000,-83.9993800,980.0
34.67818000,-83.9993400,980.0
34.67821000,-83.9992800,981.0
34.67825000,-83.9992400,982.0
34.67829000,-83.9991800,983.0
34.67832000,-83.9991300,984.0
34.67835000,-83.9990800,984.0
34.67838000,-83.9990100,984.0
34.67842000,-83.9989200,983.0
34.67848000,-83.9988400,982.0
34.67850000,-83.9987800,982.0
34.67853000,-83.9987300,981.0
34.67857000,-83.9986200,980.0
34.67859000,-83.9985600,980.0
34.67861000,-83.9985000,980.0
34.67861000,-83.9984400,980.0
34.67861000,-83.9983500,981.0
34.67862000,-83.9982700,983.0
34.67862000,-83.9982100,984.0
34.67862000,-83.9981400,985.0
34.67863000,-83.9981200,985.0
34.67870000,-83.9978100,988.0
34.67872000,-83.9977500,988.0
34.67876000,-83.9975800,988.0
34.67876000,-83.9974600,989.0
34.67878000,-83.9973700,989.0
34.67881000,-83.9973100,989.0
34.67886000,-83.9972100,989.0
34.67888000,-83.9971500,990.0
34.67892000,-83.9970700,991.0
34.67898000,-83.9969900,992.0
34.67899000,-83.9969600,992.0
34.67913000,-83.9969500,990.0
34.67923000,-83.9969400,990.0
34.67930000,-83.9969200,991.0
34.67937000,-83.9968900,993.0
34.67943000,-83.9968700,993.0
34.67951000,-83.9968700,994.0
34.67958000,-83.9969000,994.0
34.67962000,-83.9969300,994.0
34.67966000,-83.9969500,993.0
34.67974000,-83.9970200,993.0
34.67982000,-83.9971300,992.0
34.67985000,-83.9971700,991.0
34.67996000,-83.9973100,991.0
34.68003000,-83.9974300,989.0
34.68016000,-83.9975300,991.0
34.68022000,-83.9975700,992.0
