Latitude,Longitude,Elevation
34.73522000,-83.9179900,955.0
34.73547000,-83.9181700,957.0
34.73559000,-83.9182900,959.0
34.73567000,-83.9183700,960.0
34.73572000,-83.9183900,960.0
34.73576000,-83.9184000,960.0
34.73580000,-83.9184300,961.0
34.73584000,-83.9184500,961.0
34.73588000,-83.9184900,962.0
34.73592000,-83.9185100,962.0
34.73596000,-83.9185400,962.0
34.73598000,-83.9185500,962.0
34.73611000,-83.9186800,963.0
34.73615000,-83.9187100,963.0
34.73619000,-83.9187500,963.0
34.73623000,-83.9187800,963.0
34.73626000,-83.9188300,964.0
34.73629000,-83.9188700,964.0
34.73633000,-83.9189100,964.0
34.73636000,-83.9189500,966.0
34.73637000,-83.9189600,966.0
34.73662000,-83.9192500,979.0
34.73665000,-83.9192900,981.0
34.73668000,-83.9193300,982.0
34.73672000,-83.9193600,982.0
34.73676000,-83.9194000,983.0
34.73680000,-83.9194200,984.0
34.73681000,-83.9194300,984.0
34.73689000,-83.9194900,985.0
34.73693000,-83.9195300,987.0
34.73697000,-83.9195600,988.0
34.73701000,-83.9195900,988.0
34.73705000,-83.9196200,989.0
34.73709000,-83.9196500,989.0
34.73713000,-83.9196800,990.0
34.73717000,-83.9197100,991.0
34.73721000,-83.9197400,992.0
34.73728000,-83.9197900,992.0
34.73733000,-83.9198100,992.0
34.73737000,-83.9198300,992.0
34.73741000,-83.9198500,991.0
34.73746000,-83.9198800,992.0
34.73749000,-83.9199100,992.0
34.73753000,-83.9199400,992.0
34.73757000,-83.9199600,993.0
34.73762000,-83.9199900,993.0
34.73766000,-83.9200000,993.0
34.73771000,-83.9200100,992.0
34.73775000,-83.9200100,991.0
34.73776000,-83.9200100,991.0
34.73785000,-83.9200100,991.0
34.73789000,-83.9200200,991.0
34.73794000,-83.9200200,991.0
34.73799000,-83.9200300,991.0
34.73804000,-83.9200400,991.0
34.73809000,-83.9200500,991.0
34.73814000,-83.9200600,991.0
34.73818000,-83.9200600,991.0
34.73823000,-83.9200600,991.0
34.73828000,-83.9200700,991.0
34.73832000,-83.9200800,991.0
34.73837000,-83.9201000,990.0
34.73838000,-83.9201000,990.0
34.73847000,-83.9201300,989.0
34.73851000,-83.9201500,989.0
34.73855000,-83.9201800,989.0
34.73859000,-83.9202100,989.0
34.73863000,-83.9202500,989.0
34.73866000,-83.9203000,989.0
34.73867000,-83.9203500,990.0
34.73870000,-83.9203900,991.0
34.73873000,-83.9204400,991.0
34.73874000,-83.9204900,992.0
34.73875000,-83.9205500,993.0
34.73878000,-83.9205900,993.0
34.73880000,-83.9206400,993.0
34.73882000,-83.9206900,993.0
34.73882000,-83.9207500,994.0
34.73882000,-83.9208100,995.0
34.73882000,-83.9208700,995.0
34.73881000,-83.9209200,996.0
34.73880000,-83.9209800,996.0
34.73878000,-83.9210300,997.0
34.73876000,-83.9210800,998.0
34.73874000,-83.9211300,999.0
34.73871000,-83.9211800,1000.0
34.73869000,-83.9212100,1001.0
34.73865000,-83.9212900,1002.0
34.73862000,-83.9213300,1002.0
34.73859000,-83.9213800,1003.0
34.73857000,-83.9214400,1004.0
34.73856000,-83.9214900,1005.0
34.73856000,-83.9215500,1005.0
34.73856000,-83.9216000,1006.0
34.73858000,-83.9216600,1005.0
34.73860000,-83.9217100,1005.0
34.73862000,-83.9217600,1004.0
34.73865000,-83.9218100,1003.0
34.73869000,-83.9218400,1002.0
34.73871000,-83.9218700,1001.0
34.73879000,-83.9219600,999.0
34.73882000,-83.9220000,998.0
34.73885000,-83.9220400,996.0
34.73887000,-83.9220900,995.0
34.73886000,-83.9221500,995.0
34.73883000,-83.9221900,996.0
34.73879000,-83.9222200,996.0
34.73874000,-83.9222300,998.0
34.73870000,-83.9222400,999.0
34.73857000,-83.9222600,1003.0
34.73852000,-83.9222700,1005.0
34.73848000,-83.9222900,1007.0
34.73844000,-83.9223200,1008.0
34.73842000,-83.9223800,1009.0
34.73841000,-83.9224300,1008.0
34.73840000,-83.9224900,1008.0
34.73840000,-83.9225500,1007.0
34.73839000,-83.9226000,1007.0
34.73838000,-83.9226600,1007.0
34.73837000,-83.9227200,1006.0
34.73836000,-83.9227700,1006.0
34.73834000,-83.9228200,1005.0
34.73831000,-83.9228700,1005.0
34.73828000,-83.9229100,1005.0
34.73824000,-83.9229500,1006.0
34.73820000,-83.9229700,1006.0
34.73816000,-83.9229900,1007.0
34.73811000,-83.9229900,1009.0
34.73810000,-83.9230000,1009.0
34.73802000,-83.9230000,1011.0
34.73797000,-83.9230000,1012.0
34.73793000,-83.9230000,1013.0
34.73788000,-83.9230100,1013.0
34.73784000,-83.9230000,1014.0
34.73779000,-83.9230000,1015.0
34.73774000,-83.9230000,1016.0
34.73769000,-83.9230000,1017.0
34.73765000,-83.9229900,1018.0
34.73760000,-83.9229800,1019.0
34.73756000,-83.9229700,1020.0
34.73751000,-83.9229600,1021.0
34.73746000,-83.9229600,1022.0
34.73742000,-83.9229700,1022.0
34.73731000,-83.9229700,1024.0
34.73727000,-83.9229700,1025.0
34.73722000,-83.9229700,1026.0
34.73717000,-83.9229700,1026.0
34.73713000,-83.9229700,1027.0
34.73708000,-83.9229800,1027.0
34.73703000,-83.9229900,1028.0
34.73699000,-83.9230100,1029.0
34.73694000,-83.9230300,1029.0
34.73690000,-83.9230500,1030.0
34.73686000,-83.9230800,1030.0
34.73682000,-83.9231100,1030.0
34.73678000,-83.9231500,1031.0
34.73675000,-83.9231800,1031.0
34.73671000,-83.9232200,1031.0
34.73670000,-83.9232400,1032.0
34.73664000,-83.9233000,1032.0
34.73661000,-83.9233500,1032.0
34.73659000,-83.9234000,1033.0
34.73657000,-83.9234500,1034.0
34.73655000,-83.9235000,1036.0
34.73654000,-83.9235500,1037.0
34.73653000,-83.9236100,1039.0
34.73653000,-83.9236700,1041.0
34.73653000,-83.9237300,1043.0
34.73653000,-83.9237900,1045.0
34.73654000,-83.9238500,1047.0
34.73655000,-83.9239100,1049.0
34.73655000,-83.9239600,1050.0
34.73657000,-83.9240200,1050.0
34.73659000,-83.9240800,1051.0
34.73661000,-83.9241300,1051.0
34.73662000,-83.9241800,1051.0
34.73664000,-83.9242400,1051.0
34.73665000,-83.9242900,1051.0
34.73667000,-83.9243500,1051.0
34.73669000,-83.9244000,1050.0
34.73670000,-83.9244200,1050.0
34.73676000,-83.9245400,1048.0
34.73679000,-83.9245900,1047.0
34.73681000,-83.9246400,1047.0
34.73683000,-83.9246900,1046.0
34.73686000,-83.9247400,1045.0
34.73687000,-83.9248000,1045.0
34.73688000,-83.9248500,1045.0
34.73689000,-83.9249100,1044.0
34.73689000,-83.9249700,1045.0
34.73689000,-83.9250200,1045.0
34.73688000,-83.9250800,1044.0
34.73687000,-83.9251300,1044.0
34.73685000,-83.9251900,1045.0
34.73682000,-83.9252400,1046.0
34.73680000,-83.9252900,1046.0
