Latitude,Longitude,Elevation
34.87018000,-83.8102500,1327.0
34.87025000,-83.8101900,1328.0
34.87028000,-83.8101500,1329.0
34.87031000,-83.8101100,1329.0
34.87035000,-83.8100700,1329.0
34.87038000,-83.8100200,1330.0
34.87041000,-83.8099800,1330.0
34.87046000,-83.8099500,1331.0
34.87050000,-83.8099400,1331.0
34.87055000,-83.8099400,1332.0
34.87060000,-83.8099300,1333.0
34.87063000,-83.8099000,1333.0
34.87067000,-83.8098500,1334.0
34.87069000,-83.8098100,1334.0
34.87072000,-83.8096800,1334.0
34.87073000,-83.8096300,1335.0
34.87075000,-83.8095600,1336.0
34.87075000,-83.8095000,1336.0
34.87075000,-83.8094500,1337.0
34.87074000,-83.8093900,1337.0
34.87074000,-83.8093800,1337.0
34.87081000,-83.8092900,1340.0
34.87087000,-83.8092400,1341.0
34.87092000,-83.8092100,1342.0
34.87097000,-83.8092100,1343.0
34.87101000,-83.8092300,1344.0
34.87105000,-83.8092600,1344.0
34.87113000,-83.8093700,1345.0
34.87116000,-83.8094200,1345.0
34.87119000,-83.8094600,1346.0
34.87122000,-83.8095100,1346.0
34.87156000,-83.8099100,1356.0
34.87181000,-83.8102700,1364.0
34.87190000,-83.8104300,1366.0
34.87191000,-83.8104600,1366.0
34.87200000,-83.8106800,1370.0
34.87203000,-83.8107300,1371.0
34.87205000,-83.8107700,1373.0
34.87207000,-83.8108000,1374.0
34.87229000,-83.8111400,1380.0
34.87237000,-83.8113000,1384.0
34.87240000,-83.8113500,1385.0
34.87241000,-83.8114100,1386.0
34.87242000,-83.8114200,1386.0
34.87247000,-83.8115900,1387.0
34.87264000,-83.8118800,1389.0
34.87275000,-83.8120700,1391.0
34.87280000,-83.8121000,1392.0
34.87282000,-83.8121100,1393.0
34.87294000,-83.8121800,1397.0
34.87299000,-83.8122100,1398.0
34.87303000,-83.8122100,1400.0
34.87304000,-83.8121600,1401.0
34.87302000,-83.8121000,1402.0
34.87301000,-83.8120500,1402.0
34.87299000,-83.8118000,1406.0
34.87300000,-83.8117400,1407.0
34.87301000,-83.8117000,1408.0
34.87305000,-83.8115500,1411.0
34.87308000,-83.8114900,1413.0
34.87310000,-83.8114400,1414.0
