Latitude,Longitude,Elevation
34.84826000,-83.7989500,911.0
34.84891000,-83.7994200,924.0
34.84896000,-83.7994500,925.0
34.84901000,-83.7994600,926.0
34.84905000,-83.7994900,927.0
34.84910000,-83.7995100,929.0
34.84915000,-83.7995600,930.0
34.84918000,-83.7995900,931.0
34.84922000,-83.7996200,932.0
34.84926000,-83.7996600,933.0
34.84928000,-83.7997100,934.0
34.84929000,-83.7997700,935.0
34.84932000,-83.7998200,936.0
34.84934000,-83.7998700,937.0
34.84938000,-83.7999200,938.0
34.84941000,-83.7999600,939.0
34.84945000,-83.8000000,941.0
34.84949000,-83.8000300,942.0
34.84952000,-83.8000800,943.0
34.84952000,-83.8001400,944.0
34.84951000,-83.8001900,945.0
34.84948000,-83.8002400,945.0
34.84945000,-83.8002900,945.0
34.84944000,-83.8003400,946.0
34.84944000,-83.8004000,947.0
34.84943000,-83.8004600,947.0
34.84943000,-83.8005200,948.0
34.84942000,-83.8005800,949.0
34.84944000,-83.8006300,951.0
34.84947000,-83.8006600,953.0
34.84952000,-83.8006700,955.0
34.84957000,-83.8007000,959.0
34.84960000,-83.8007500,961.0
34.84962000,-83.8008000,963.0
34.84961000,-83.8008600,964.0
34.84958000,-83.8009100,964.0
34.84955000,-83.8009600,963.0
34.84952000,-83.8010000,963.0
34.84950000,-83.8010500,964.0
34.84949000,-83.8011200,965.0
34.84947000,-83.8011800,965.0
34.84947000,-83.8012300,965.0
34.84946000,-83.8013000,965.0
34.84947000,-83.8013600,966.0
34.84949000,-83.8014100,967.0
34.84950000,-83.8014600,967.0
34.84952000,-83.8015200,968.0
34.84956000,-83.8015700,969.0
34.84959000,-83.8016100,969.0
34.84964000,-83.8016000,970.0
34.84968000,-83.8015700,971.0
34.84971000,-83.8015300,971.0
34.84974000,-83.8014800,972.0
34.84977000,-83.8014300,972.0
34.84980000,-83.8013900,972.0
34.84982000,-83.8013300,973.0
34.84985000,-83.8012800,973.0
34.84988000,-83.8012400,974.0
34.84991000,-83.8011900,974.0
34.84994000,-83.8011400,975.0
34.84996000,-83.8010900,976.0
34.84998000,-83.8010400,976.0
34.85002000,-83.8009900,977.0
34.85006000,-83.8009500,977.0
34.85009000,-83.8009000,977.0
34.85013000,-83.8008600,977.0
34.85016000,-83.8008300,977.0
