Latitude,Longitude,Elevation
32.06891000,-84.9136300,191.0
32.06891000,-84.9135400,189.0
32.06894000,-84.9135300,189.0
32.06895000,-84.9135100,188.0
32.06899000,-84.9134900,187.0
32.06902000,-84.9134300,184.0
32.06902000,-84.9133700,183.0
32.06898000,-84.9133300,182.0
32.06893000,-84.9133100,183.0
32.06888000,-84.9132900,184.0
32.06882000,-84.9132800,184.0
32.06877000,-84.9132600,184.0
32.06871000,-84.9132700,185.0
32.06865000,-84.9132600,185.0
32.06859000,-84.9132600,185.0
32.06853000,-84.9132600,183.0
32.06847000,-84.9132700,182.0
32.06841000,-84.9132700,181.0
32.06835000,-84.9132900,180.0
32.06830000,-84.9133100,179.0
32.06824000,-84.9133300,179.0
32.06820000,-84.9133800,180.0
32.06815000,-84.9134200,180.0
32.06811000,-84.9134500,180.0
32.06807000,-84.9134900,180.0
32.06802000,-84.9135300,180.0
32.06798000,-84.9135700,180.0
32.06793000,-84.9136000,180.0
32.06790000,-84.9136500,181.0
32.06785000,-84.9136900,181.0
32.06782000,-84.9137400,181.0
32.06778000,-84.9137700,181.0
32.06774000,-84.9138200,181.0
32.06770000,-84.9138600,181.0
32.06766000,-84.9139100,181.0
32.06762000,-84.9139500,181.0
32.06760000,-84.9140100,181.0
32.06757000,-84.9140600,181.0
32.06755000,-84.9141300,181.0
32.06751000,-84.9141700,181.0
32.06747000,-84.9142200,180.0
32.06743000,-84.9142500,180.0
32.06739000,-84.9143000,180.0
32.06734000,-84.9143100,179.0
32.06729000,-84.9142800,178.0
32.06726000,-84.9142200,177.0
32.06725000,-84.9141600,176.0
32.06723000,-84.9141000,174.0
32.06722000,-84.9140400,173.0
32.06720000,-84.9139800,171.0
32.06721000,-84.9139100,170.0
32.06722000,-84.9138500,169.0
32.06723000,-84.9137800,167.0
32.06726000,-84.9137200,167.0
32.06732000,-84.9137000,168.0
32.06737000,-84.9136600,169.0
32.06743000,-84.9136400,171.0
32.06747000,-84.9136000,171.0
32.06751000,-84.9135600,172.0
32.06753000,-84.9134900,171.0
32.06756000,-84.9134400,171.0
32.06759000,-84.9133900,171.0
32.06762000,-84.9133400,170.0
32.06765000,-84.9132800,170.0
32.06765000,-84.9132200,169.0
32.06764000,-84.9131500,168.0
32.06763000,-84.9130900,168.0
32.06762000,-84.9130300,167.0
32.06762000,-84.9129700,166.0
32.06760000,-84.9129000,166.0
32.06756000,-84.9128500,165.0
32.06753000,-84.9128000,164.0
32.06748000,-84.9127400,162.0
32.06743000,-84.9127100,160.0
32.06737000,-84.9127100,158.0
32.06731000,-84.9127000,156.0
32.06726000,-84.9126900,154.0
32.06720000,-84.9126700,153.0
32.06715000,-84.9126400,152.0
32.06713000,-84.9125900,152.0
32.06716000,-84.9125600,152.0
32.06718000,-84.9124900,152.0
32.06720000,-84.9124300,153.0
32.06721000,-84.9123600,153.0
32.06722000,-84.9123000,154.0
32.06720000,-84.9122400,154.0
32.06719000,-84.9121800,155.0
32.06716000,-84.9121200,156.0
32.06711000,-84.9120700,156.0
32.06706000,-84.9120300,157.0
32.06701000,-84.9120200,157.0
32.06695000,-84.9119900,157.0
32.06690000,-84.9119700,158.0
32.06685000,-84.9119400,159.0
32.06679000,-84.9119200,159.0
32.06674000,-84.9118800,160.0
32.06669000,-84.9118600,160.0
32.06664000,-84.9118300,160.0
32.06659000,-84.9118100,160.0
32.06653000,-84.9117800,160.0
32.06648000,-84.9117700,159.0
32.06642000,-84.9117500,159.0
32.06637000,-84.9117200,159.0
32.06632000,-84.9117000,158.0
32.06627000,-84.9116700,158.0
32.06621000,-84.9116500,157.0
32.06616000,-84.9116400,157.0
32.06610000,-84.9116300,156.0
32.06605000,-84.9116000,156.0
32.06599000,-84.9115900,155.0
32.06594000,-84.9115800,155.0
32.06588000,-84.9115600,154.0
32.06582000,-84.9115600,153.0
32.06577000,-84.9115200,151.0
32.06573000,-84.9114700,150.0
32.06568000,-84.9114200,148.0
32.06565000,-84.9113600,148.0
32.06561000,-84.9113100,146.0
32.06558000,-84.9112500,146.0
32.06555000,-84.9111900,146.0
32.06551000,-84.9111400,147.0
32.06547000,-84.9110900,148.0
32.06542000,-84.9110300,148.0
32.06537000,-84.9110000,148.0
32.06531000,-84.9110000,148.0
32.06526000,-84.9109700,149.0
32.06520000,-84.9109600,151.0
32.06515000,-84.9109400,152.0
32.06510000,-84.9109100,153.0
32.06504000,-84.9108900,155.0
32.06499000,-84.9108600,156.0
32.06494000,-84.9108400,158.0
32.06489000,-84.9108100,160.0
32.06484000,-84.9108200,163.0
32.06480000,-84.9108600,165.0
32.06476000,-84.9109000,167.0
32.06475000,-84.9109500,167.0
32.06475000,-84.9110200,167.0
32.06476000,-84.9110800,166.0
32.06474000,-84.9111400,167.0
32.06469000,-84.9111500,167.0
32.06464000,-84.9111100,168.0
32.06459000,-84.9110600,169.0
32.06454000,-84.9110100,170.0
32.06450000,-84.9109600,171.0
32.06445000,-84.9109200,172.0
32.06440000,-84.9108700,172.0
32.06435000,-84.9108600,171.0
32.06429000,-84.9108500,171.0
32.06423000,-84.9108300,170.0
32.06418000,-84.9108300,170.0
32.06412000,-84.9108000,169.0
32.06408000,-84.9107500,169.0
32.06405000,-84.9106900,170.0
32.06404000,-84.9106300,170.0
32.06401000,-84.9105700,171.0
32.06400000,-84.9105100,171.0
32.06396000,-84.9104600,172.0
32.06394000,-84.9104000,172.0
32.06390000,-84.9103400,173.0
32.06388000,-84.9102800,173.0
32.06386000,-84.9102200,174.0
32.06385000,-84.9101600,175.0
32.06383000,-84.9101000,175.0
32.06381000,-84.9100400,176.0
