Latitude,Longitude,Elevation
33.90298000,-84.4446800,253.0
33.90306000,-84.4447400,253.0
33.90328000,-84.4448300,253.0
33.90338000,-84.4449100,252.0
33.90352000,-84.4450200,252.0
33.90381000,-84.4452500,249.0
33.90400000,-84.4453900,249.0
33.90416000,-84.4455100,250.0
33.90487000,-84.4459500,246.0
33.90495000,-84.4460000,246.0
33.90524000,-84.4462500,244.0
33.90554000,-84.4465300,243.0
33.90583000,-84.4468100,243.0
33.90597000,-84.4469800,245.0
33.90627000,-84.4473800,245.0
33.90642000,-84.4476100,245.0
33.90651000,-84.4477500,245.0
33.90671000,-84.4480000,246.0
33.90702000,-84.4482700,246.0
33.90731000,-84.4485100,245.0
33.90758000,-84.4486600,245.0
33.90799000,-84.4487600,247.0
33.90810000,-84.4487900,248.0
33.90827000,-84.4488300,248.0
33.90856000,-84.4488500,247.0
33.90889000,-84.4489100,248.0
33.90923000,-84.4488700,245.0
33.90974000,-84.4486500,241.0
33.91002000,-84.4485700,240.0
33.91021000,-84.4484800,241.0
33.91147000,-84.4481200,245.0
33.91161000,-84.4480700,245.0
33.91203000,-84.4479300,244.0
33.91216000,-84.4477700,246.0
33.91246000,-84.4473400,252.0
33.91251000,-84.4472500,252.0
33.91258000,-84.4471400,251.0
33.91266000,-84.4470800,251.0
33.91290000,-84.4467500,251.0
33.91313000,-84.4464700,249.0
33.91339000,-84.4461900,248.0
33.91387000,-84.4456300,251.0
33.91405000,-84.4454300,251.0
33.91411000,-84.4453700,251.0
33.91431000,-84.4452600,250.0
33.91460000,-84.4450400,248.0
33.91488000,-84.4448100,247.0
33.91508000,-84.4445600,247.0
33.91533000,-84.4442200,244.0
33.91557000,-84.4438200,243.0
33.91579000,-84.4433100,243.0
33.91605000,-84.4429800,247.0
33.91621000,-84.4427900,249.0
33.91644000,-84.4423600,250.0
33.91668000,-84.4419400,254.0
33.91700000,-84.4414500,252.0
33.91731000,-84.4410200,248.0
33.91769000,-84.4406100,246.0
33.91814000,-84.4402400,253.0
33.91852000,-84.4399000,253.0
33.91869000,-84.4397300,252.0
33.91871000,-84.4397100,252.0
33.91890000,-84.4395300,253.0
33.91901000,-84.4394500,253.0
33.91912000,-84.4393700,252.0
33.91926000,-84.4393200,252.0
33.91948000,-84.4392300,250.0
33.91982000,-84.4391000,249.0
33.92002000,-84.4390500,251.0
33.92033000,-84.4390100,251.0
33.92048000,-84.4390600,250.0
33.92064000,-84.4390500,249.0
33.92068000,-84.4390400,248.0
33.92073000,-84.4390800,248.0
33.92078000,-84.4391800,247.0
33.92083000,-84.4393000,246.0
33.92088000,-84.4393700,245.0
33.92093000,-84.4394100,244.0
33.92098000,-84.4394200,244.0
33.92113000,-84.4394700,244.0
33.92132000,-84.4397100,250.0
33.92114000,-84.4398100,251.0
33.92104000,-84.4398800,251.0
33.92076000,-84.4400400,248.0
33.92067000,-84.4401300,248.0
33.92060000,-84.4402000,248.0
33.92054000,-84.4402700,247.0
33.92023000,-84.4407200,254.0
33.92009000,-84.4408900,256.0
33.91998000,-84.4409900,256.0
33.91990000,-84.4411000,256.0
33.91987000,-84.4412300,257.0
33.91984000,-84.4413300,257.0
33.91978000,-84.4414100,256.0
33.91967000,-84.4415700,256.0
33.91956000,-84.4417400,256.0
33.91939000,-84.4419900,257.0
33.91903000,-84.4424800,256.0
33.91890000,-84.4426400,255.0
33.91874000,-84.4428500,255.0
33.91854000,-84.4430800,255.0
33.91848000,-84.4431800,255.0
33.91843000,-84.4432600,255.0
33.91837000,-84.4433400,254.0
33.91823000,-84.4435100,254.0
33.91790000,-84.4438500,255.0
33.91783000,-84.4439100,256.0
33.91753000,-84.4441900,253.0
33.91726000,-84.4444200,252.0
33.91719000,-84.4444900,252.0
33.91693000,-84.4448600,251.0
33.91653000,-84.4453600,252.0
33.91644000,-84.4454900,254.0
33.91635000,-84.4456300,256.0
33.91622000,-84.4459700,259.0
33.91618000,-84.4460700,259.0
33.91612000,-84.4462200,258.0
33.91583000,-84.4468800,258.0
33.91563000,-84.4473000,257.0
33.91548000,-84.4475900,254.0
33.91540000,-84.4477400,253.0
33.91527000,-84.4480000,252.0
33.91522000,-84.4480900,252.0
33.91514000,-84.4482800,252.0
33.91501000,-84.4485100,250.0
33.91493000,-84.4486600,250.0
33.91490000,-84.4486700,251.0
33.91459000,-84.4491000,255.0
33.91445000,-84.4492800,256.0
33.91440000,-84.4493500,256.0
33.91422000,-84.4494800,254.0
33.91414000,-84.4495500,254.0
33.91389000,-84.4497700,256.0
33.91384000,-84.4498200,257.0
33.91348000,-84.4500500,258.0
33.91321000,-84.4501600,257.0
33.91241000,-84.4505600,255.0
33.91224000,-84.4506100,252.0
33.91200000,-84.4507200,257.0
33.91187000,-84.4507100,256.0
33.91185000,-84.4507100,256.0
33.91178000,-84.4506200,254.0
33.91171000,-84.4505200,250.0
33.91170000,-84.4504300,249.0
33.91169000,-84.4503100,247.0
33.91167000,-84.4499900,245.0
33.91164000,-84.4499000,245.0
33.91162000,-84.4497900,244.0
33.91159000,-84.4496900,244.0
33.91154000,-84.4496000,245.0
33.91148000,-84.4495000,245.0
33.91120000,-84.4492800,243.0
33.91081000,-84.4489900,240.0
33.91056000,-84.4487800,240.0
33.91031000,-84.4486000,241.0
33.91021000,-84.4484800,241.0
33.91002000,-84.4485700,240.0
33.90974000,-84.4486500,241.0
33.90923000,-84.4488700,245.0
33.90889000,-84.4489100,248.0
33.90856000,-84.4488500,247.0
33.90827000,-84.4488300,248.0
33.90799000,-84.4487600,247.0
33.90758000,-84.4486600,245.0
33.90747000,-84.4486000,245.0
33.90731000,-84.4485100,245.0
33.90702000,-84.4482700,246.0
33.90671000,-84.4480000,246.0
33.90651000,-84.4477500,245.0
33.90642000,-84.4476100,245.0
33.90627000,-84.4473800,245.0
33.90583000,-84.4468100,243.0
33.90554000,-84.4465300,243.0
33.90524000,-84.4462500,244.0
33.90495000,-84.4460000,246.0
33.90416000,-84.4455100,250.0
33.90400000,-84.4453900,249.0
33.90381000,-84.4452500,249.0
33.90352000,-84.4450200,252.0
33.90328000,-84.4448300,253.0
33.90306000,-84.4447400,253.0
33.90298000,-84.4446800,253.0
