Latitude,Longitude,Elevation
33.90266000,-84.4445200,254.0
33.90269000,-84.4445400,254.0
33.90271000,-84.4444900,253.0
33.90306000,-84.4447400,253.0
33.90328000,-84.4448300,253.0
33.90336000,-84.4448900,252.0
33.90352000,-84.4450200,252.0
33.90381000,-84.4452500,249.0
33.90400000,-84.4453900,249.0
33.90416000,-84.4455100,250.0
33.90495000,-84.4460000,246.0
33.90524000,-84.4462500,244.0
33.90554000,-84.4465300,243.0
33.90583000,-84.4468100,243.0
33.90627000,-84.4473800,245.0
33.90642000,-84.4476100,245.0
33.90651000,-84.4477500,245.0
33.90671000,-84.4480000,246.0
33.90702000,-84.4482700,246.0
33.90731000,-84.4485100,245.0
33.90758000,-84.4486600,245.0
33.90799000,-84.4487600,247.0
33.90827000,-84.4488300,248.0
33.90856000,-84.4488500,247.0
33.90889000,-84.4489100,248.0
33.90923000,-84.4488700,245.0
33.90970000,-84.4486700,241.0
33.90974000,-84.4486500,241.0
33.91002000,-84.4485700,240.0
33.91021000,-84.4484800,241.0
33.91031000,-84.4486000,241.0
33.91056000,-84.4487800,240.0
33.91081000,-84.4489900,240.0
33.91120000,-84.4492800,243.0
33.91148000,-84.4495000,245.0
33.91154000,-84.4496000,245.0
33.91159000,-84.4496900,244.0
33.91162000,-84.4497900,244.0
33.91164000,-84.4499000,245.0
33.91167000,-84.4499900,245.0
33.91169000,-84.4503100,247.0
33.91170000,-84.4504300,249.0
33.91171000,-84.4505200,250.0
33.91185000,-84.4507100,256.0
33.91187000,-84.4507100,256.0
33.91200000,-84.4507200,257.0
33.91224000,-84.4506100,252.0
33.91241000,-84.4505600,255.0
33.91305000,-84.4502400,257.0
33.91321000,-84.4501600,257.0
33.91348000,-84.4500500,258.0
33.91384000,-84.4498200,257.0
33.91389000,-84.4497700,256.0
33.91414000,-84.4495500,254.0
33.91422000,-84.4494800,254.0
33.91440000,-84.4493500,256.0
33.91445000,-84.4492800,256.0
33.91473000,-84.4489300,253.0
33.91481000,-84.4487500,252.0
33.91489000,-84.4486200,251.0
33.91498000,-84.4486800,250.0
33.91507000,-84.4487200,250.0
33.91516000,-84.4487400,251.0
33.91531000,-84.4487300,251.0
33.91566000,-84.4487400,253.0
33.91591000,-84.4486900,251.0
33.91600000,-84.4486800,251.0
33.91614000,-84.4486900,251.0
33.91628000,-84.4486200,251.0
33.91644000,-84.4486200,252.0
33.91653000,-84.4486200,253.0
33.91668000,-84.4486500,256.0
33.91673000,-84.4486800,257.0
33.91676000,-84.4486900,257.0
33.91683000,-84.4487500,257.0
33.91686000,-84.4487800,258.0
33.91691000,-84.4488300,258.0
33.91702000,-84.4489800,260.0
33.91706000,-84.4490400,261.0
33.91712000,-84.4491200,261.0
33.91744000,-84.4497300,263.0
33.91760000,-84.4500700,264.0
33.91833000,-84.4509200,268.0
33.91843000,-84.4510500,269.0
33.91866000,-84.4513400,268.0
33.91875000,-84.4514400,268.0
33.91882000,-84.4514800,267.0
33.91891000,-84.4514800,267.0
33.91904000,-84.4514500,269.0
33.91913000,-84.4513200,271.0
33.91920000,-84.4512100,272.0
33.91926000,-84.4510900,272.0
33.91943000,-84.4508600,272.0
33.91953000,-84.4506400,272.0
33.91960000,-84.4504900,273.0
