Latitude,Longitude,Elevation
34.70659000,-83.9152800,629.0
34.70663000,-83.9153600,629.0
34.70666000,-83.9154100,629.0
34.70672000,-83.9154200,629.0
34.70676000,-83.9154200,630.0
34.70681000,-83.9154200,630.0
34.70686000,-83.9154100,630.0
34.70691000,-83.9154000,631.0
34.70695000,-83.9153800,631.0
34.70700000,-83.9153700,631.0
34.70705000,-83.9153500,631.0
34.70710000,-83.9153500,631.0
34.70715000,-83.9153400,631.0
34.70720000,-83.9153300,631.0
34.70725000,-83.9153200,631.0
34.70730000,-83.9153300,631.0
34.70735000,-83.9153500,631.0
34.70739000,-83.9153800,631.0
34.70742000,-83.9154100,632.0
34.70747000,-83.9154400,632.0
34.70752000,-83.9154600,632.0
34.70756000,-83.9154700,633.0
34.70762000,-83.9154600,633.0
34.70766000,-83.9154600,633.0
34.70771000,-83.9154200,632.0
34.70775000,-83.9153600,632.0
34.70777000,-83.9152900,631.0
34.70779000,-83.9152400,630.0
34.70780000,-83.9152200,630.0
34.70785000,-83.9151200,630.0
34.70788000,-83.9150800,631.0
34.70792000,-83.9150400,631.0
34.70795000,-83.9150100,631.0
34.70799000,-83.9149800,631.0
34.70804000,-83.9149700,631.0
34.70809000,-83.9149700,632.0
34.70814000,-83.9149700,633.0
34.70819000,-83.9149700,634.0
34.70823000,-83.9149500,634.0
34.70827000,-83.9149200,635.0
34.70831000,-83.9148800,635.0
34.70835000,-83.9148500,636.0
34.70839000,-83.9148200,636.0
34.70843000,-83.9147700,635.0
34.70848000,-83.9147300,635.0
34.70853000,-83.9147000,635.0
34.70859000,-83.9146600,635.0
34.70864000,-83.9146100,636.0
34.70869000,-83.9146000,636.0
34.70874000,-83.9146000,637.0
34.70879000,-83.9145900,638.0
34.70880000,-83.9145900,638.0
34.70892000,-83.9145900,639.0
34.70897000,-83.9146100,640.0
34.70901000,-83.9146400,641.0
34.70906000,-83.9146600,642.0
34.70912000,-83.9146600,643.0
34.70918000,-83.9146600,643.0
34.70923000,-83.9146400,643.0
34.70928000,-83.9146200,643.0
34.70932000,-83.9146000,643.0
34.70938000,-83.9145700,643.0
34.70942000,-83.9145300,642.0
34.70947000,-83.9145100,642.0
34.70952000,-83.9144900,643.0
34.70957000,-83.9144500,643.0
34.70962000,-83.9144400,644.0
34.70968000,-83.9144300,645.0
34.70975000,-83.9144300,646.0
34.70981000,-83.9144300,647.0
34.70982000,-83.9144300,647.0
34.70997000,-83.9144100,650.0
34.71002000,-83.9144100,650.0
34.71007000,-83.9144100,650.0
34.71012000,-83.9144100,650.0
34.71018000,-83.9144100,650.0
34.71023000,-83.9144100,650.0
34.71027000,-83.9144200,650.0
34.71033000,-83.9144300,650.0
34.71038000,-83.9144500,649.0
34.71044000,-83.9144600,649.0
34.71050000,-83.9144700,648.0
34.71055000,-83.9144700,648.0
34.71061000,-83.9144600,647.0
34.71066000,-83.9144500,647.0
34.71074000,-83.9144300,646.0
34.71079000,-83.9144300,646.0
34.71084000,-83.9144300,646.0
34.71091000,-83.9144300,646.0
34.71095000,-83.9144300,646.0
34.71101000,-83.9144400,646.0
34.71106000,-83.9144400,646.0
34.71112000,-83.9144300,647.0
34.71118000,-83.9144100,647.0
34.71124000,-83.9144000,647.0
34.71130000,-83.9143700,648.0
