Latitude,Longitude,Elevation
34.70178000,-83.7894900,643.0
34.70175000,-83.7894900,643.0
34.70171000,-83.7895100,642.0
34.70168000,-83.7895600,642.0
34.70167000,-83.7896100,642.0
34.70167000,-83.7896800,642.0
34.70167000,-83.7897400,641.0
34.70167000,-83.7898100,641.0
34.70168000,-83.7898600,640.0
34.70169000,-83.7899200,640.0
34.70172000,-83.7899600,639.0
34.70177000,-83.7899800,639.0
34.70182000,-83.7899700,640.0
34.70186000,-83.7899500,640.0
34.70190000,-83.7899200,641.0
34.70194000,-83.7898800,642.0
34.70197000,-83.7898400,643.0
34.70201000,-83.7898100,643.0
34.70205000,-83.7897800,643.0
34.70209000,-83.7897400,644.0
34.70213000,-83.7897100,644.0
34.70216000,-83.7896700,643.0
34.70220000,-83.7896400,643.0
34.70223000,-83.7896000,643.0
34.70226000,-83.7895600,642.0
34.70230000,-83.7895100,642.0
34.70233000,-83.7894700,641.0
34.70236000,-83.7894200,641.0
34.70240000,-83.7893700,640.0
34.70243000,-83.7893300,640.0
34.70247000,-83.7893000,640.0
34.70251000,-83.7892800,640.0
34.70254000,-83.7892600,639.0
34.70270000,-83.7892000,636.0
34.70275000,-83.7891900,636.0
34.70280000,-83.7891700,635.0
34.70285000,-83.7891500,634.0
34.70289000,-83.7891200,634.0
34.70293000,-83.7890900,634.0
34.70297000,-83.7890600,635.0
34.70302000,-83.7890300,635.0
34.70305000,-83.7890000,635.0
34.70309000,-83.7889700,635.0
34.70314000,-83.7889400,634.0
34.70317000,-83.7889000,634.0
34.70321000,-83.7888700,633.0
34.70325000,-83.7888400,633.0
34.70329000,-83.7888000,632.0
34.70332000,-83.7887600,632.0
34.70334000,-83.7887100,633.0
34.70338000,-83.7886600,633.0
34.70341000,-83.7886100,634.0
34.70345000,-83.7885800,634.0
34.70349000,-83.7885500,634.0
34.70353000,-83.7885200,634.0
34.70358000,-83.7884900,634.0
34.70363000,-83.7884700,634.0
34.70367000,-83.7884500,634.0
34.70371000,-83.7884300,634.0
34.70387000,-83.7883600,635.0
34.70391000,-83.7883400,635.0
34.70396000,-83.7883400,635.0
34.70401000,-83.7883300,634.0
34.70406000,-83.7883500,633.0
34.70410000,-83.7883600,632.0
34.70415000,-83.7883800,631.0
34.70420000,-83.7883800,631.0
34.70425000,-83.7883900,630.0
34.70430000,-83.7883900,630.0
34.70436000,-83.7883900,630.0
34.70440000,-83.7883900,629.0
34.70446000,-83.7883800,629.0
34.70450000,-83.7883700,630.0
34.70456000,-83.7883700,630.0
34.70461000,-83.7883700,630.0
34.70466000,-83.7883700,630.0
34.70471000,-83.7883600,631.0
34.70473000,-83.7883500,631.0
34.70483000,-83.7883300,632.0
34.70489000,-83.7883300,633.0
34.70493000,-83.7883100,634.0
34.70498000,-83.7882900,634.0
34.70503000,-83.7882700,635.0
34.70508000,-83.7882600,635.0
34.70513000,-83.7882500,635.0
34.70517000,-83.7882400,635.0
34.70522000,-83.7882400,635.0
34.70527000,-83.7882300,635.0
34.70532000,-83.7882100,635.0
34.70536000,-83.7881900,634.0
34.70541000,-83.7881700,634.0
34.70545000,-83.7881400,633.0
34.70550000,-83.7881200,632.0
34.70554000,-83.7880900,632.0
34.70558000,-83.7880600,631.0
34.70562000,-83.7880500,631.0
34.70565000,-83.7880900,631.0
34.70565000,-83.7881500,631.0
34.70562000,-83.7881900,630.0
34.70557000,-83.7882200,630.0
34.70553000,-83.7882400,630.0
34.70548000,-83.7882700,631.0
34.70544000,-83.7883100,631.0
