Latitude,Longitude,Elevation
33.88439000,-84.4368500,302.0
33.88442000,-84.4367300,302.0
33.88446000,-84.4366800,302.0
33.88449000,-84.4366400,302.0
33.88453000,-84.4366000,301.0
33.88456000,-84.4365600,301.0
33.88460000,-84.4365300,301.0
33.88463000,-84.4364900,301.0
33.88467000,-84.4364500,300.0
33.88471000,-84.4364300,300.0
33.88476000,-84.4364200,300.0
33.88478000,-84.4364100,300.0
33.88509000,-84.4363200,301.0
33.88513000,-84.4362900,301.0
33.88517000,-84.4362600,301.0
33.88521000,-84.4362200,301.0
33.88523000,-84.4361900,301.0
33.88538000,-84.4360000,300.0
33.88540000,-84.4359500,300.0
33.88543000,-84.4359100,300.0
33.88545000,-84.4358600,300.0
33.88549000,-84.4358200,299.0
33.88553000,-84.4357900,299.0
33.88558000,-84.4357800,299.0
33.88563000,-84.4357600,299.0
33.88567000,-84.4357800,299.0
33.88569000,-84.4357800,299.0
33.88588000,-84.4358700,299.0
33.88593000,-84.4358700,300.0
33.88598000,-84.4358600,300.0
33.88602000,-84.4358500,300.0
33.88606000,-84.4358200,300.0
33.88611000,-84.4357800,300.0
33.88614000,-84.4357500,301.0
33.88619000,-84.4357300,302.0
33.88623000,-84.4357000,302.0
33.88625000,-84.4356900,302.0
33.88645000,-84.4354700,303.0
33.88675000,-84.4351500,303.0
33.88679000,-84.4351300,303.0
33.88683000,-84.4351000,303.0
33.88687000,-84.4350900,304.0
33.88693000,-84.4350900,304.0
33.88697000,-84.4351000,304.0
33.88702000,-84.4351000,304.0
33.88705000,-84.4350900,304.0
33.88728000,-84.4350900,303.0
33.88736000,-84.4351000,302.0
33.88740000,-84.4351200,302.0
33.88744000,-84.4351200,302.0
33.88769000,-84.4352100,300.0
33.88773000,-84.4352400,300.0
33.88776000,-84.4352900,300.0
33.88778000,-84.4353400,300.0
33.88781000,-84.4354000,300.0
33.88783000,-84.4354500,300.0
33.88785000,-84.4355000,300.0
33.88786000,-84.4355500,300.0
33.88789000,-84.4356000,301.0
33.88791000,-84.4356500,301.0
33.88794000,-84.4356900,301.0
33.88803000,-84.4358500,300.0
33.88812000,-84.4359900,300.0
33.88816000,-84.4360200,300.0
33.88821000,-84.4360400,300.0
33.88825000,-84.4360700,300.0
33.88828000,-84.4361000,300.0
33.88832000,-84.4361300,300.0
33.88836000,-84.4361700,300.0
33.88845000,-84.4362900,300.0
33.88847000,-84.4363500,300.0
33.88849000,-84.4364000,300.0
33.88851000,-84.4364500,300.0
33.88853000,-84.4365000,300.0
33.88856000,-84.4365500,299.0
33.88859000,-84.4365900,299.0
33.88863000,-84.4366200,299.0
33.88868000,-84.4366500,298.0
33.88872000,-84.4366700,298.0
33.88876000,-84.4367000,298.0
33.88880000,-84.4367300,297.0
33.88883000,-84.4367600,297.0
33.88885000,-84.4368200,298.0
33.88886000,-84.4368700,298.0
33.88886000,-84.4369300,298.0
33.88886000,-84.4369900,299.0
33.88886000,-84.4370400,300.0
33.88885000,-84.4371100,301.0
33.88884000,-84.4371600,302.0
33.88884000,-84.4372200,302.0
33.88882000,-84.4372700,303.0
33.88880000,-84.4373200,304.0
33.88877000,-84.4373600,305.0
33.88873000,-84.4373900,305.0
33.88868000,-84.4374100,305.0
33.88864000,-84.4374100,305.0
