Latitude,Longitude,Elevation
33.87785000,-84.4417800,244.0
33.87799000,-84.4421100,243.0
33.87806000,-84.4421900,243.0
33.87819000,-84.4422300,243.0
33.87826000,-84.4421900,243.0
33.87836000,-84.4420100,245.0
33.87841000,-84.4419900,246.0
33.87851000,-84.4420600,246.0
33.87852000,-84.4420600,246.0
33.87865000,-84.4422800,244.0
33.87867000,-84.4424400,243.0
33.87868000,-84.4424400,243.0
33.87870000,-84.4424900,242.0
33.87878000,-84.4425300,242.0
33.87884000,-84.4425600,241.0
33.87894000,-84.4425400,241.0
33.87898000,-84.4425300,241.0
33.87906000,-84.4425700,241.0
33.87913000,-84.4425600,241.0
33.87929000,-84.4425300,242.0
33.87943000,-84.4425300,243.0
33.87957000,-84.4425200,245.0
33.87973000,-84.4425600,245.0
33.87989000,-84.4425400,244.0
33.88011000,-84.4426100,242.0
33.88054000,-84.4427500,237.0
33.88065000,-84.4428000,238.0
33.88083000,-84.4428600,240.0
33.88100000,-84.4429100,240.0
33.88119000,-84.4429000,239.0
33.88129000,-84.4429000,239.0
33.88139000,-84.4429000,238.0
33.88149000,-84.4428900,237.0
33.88158000,-84.4429000,236.0
33.88173000,-84.4428900,235.0
33.88190000,-84.4428600,236.0
33.88209000,-84.4428600,238.0
33.88224000,-84.4428400,240.0
33.88231000,-84.4428000,240.0
33.88238000,-84.4427500,240.0
33.88248000,-84.4427000,240.0
33.88257000,-84.4427100,239.0
33.88267000,-84.4426800,238.0
33.88279000,-84.4424800,238.0
33.88287000,-84.4423800,239.0
33.88290000,-84.4422900,240.0
33.88294000,-84.4422200,241.0
33.88300000,-84.4422100,241.0
33.88307000,-84.4422300,241.0
33.88316000,-84.4422300,242.0
33.88323000,-84.4422100,244.0
33.88337000,-84.4422200,246.0
33.88346000,-84.4422200,247.0
33.88364000,-84.4422100,248.0
33.88380000,-84.4421200,248.0
33.88397000,-84.4421700,247.0
33.88407000,-84.4419200,251.0
33.88414000,-84.4418400,252.0
33.88427000,-84.4417900,253.0
33.88443000,-84.4417300,254.0
33.88449000,-84.4415500,256.0
33.88461000,-84.4415400,257.0
33.88465000,-84.4414200,259.0
33.88473000,-84.4413400,261.0
33.88468000,-84.4412800,262.0
33.88460000,-84.4411400,263.0
33.88454000,-84.4409700,265.0
33.88455000,-84.4408500,267.0
33.88459000,-84.4407700,269.0
33.88471000,-84.4407900,271.0
33.88480000,-84.4407900,272.0
33.88489000,-84.4407000,275.0
33.88493000,-84.4405700,278.0
33.88503000,-84.4404900,280.0
33.88509000,-84.4404700,280.0
33.88524000,-84.4404600,280.0
33.88534000,-84.4405300,281.0
33.88539000,-84.4405900,281.0
33.88541000,-84.4407800,281.0
33.88540000,-84.4412500,278.0
33.88543000,-84.4412800,278.0
33.88551000,-84.4412400,280.0
33.88564000,-84.4410100,284.0
33.88579000,-84.4409000,288.0
33.88599000,-84.4406400,290.0
33.88620000,-84.4404200,292.0
33.88638000,-84.4403300,294.0
33.88655000,-84.4402900,299.0
33.88670000,-84.4403700,303.0
33.88686000,-84.4404000,304.0
33.88717000,-84.4403200,308.0
33.88717000,-84.4403100,308.0
33.88754000,-84.4401900,310.0
33.88759000,-84.4401500,310.0
33.88769000,-84.4400400,312.0
33.88776000,-84.4399700,312.0
33.88785000,-84.4399000,314.0
33.88795000,-84.4398600,315.0
33.88805000,-84.4398000,316.0
33.88811000,-84.4397000,317.0
33.88820000,-84.4396100,317.0
33.88834000,-84.4394500,319.0
33.88847000,-84.4392800,320.0
33.88851000,-84.4392600,320.0
33.88855000,-84.4392500,321.0
33.88860000,-84.4392300,321.0
33.88864000,-84.4391300,321.0
33.88868000,-84.4390800,321.0
33.88875000,-84.4390300,321.0
33.88882000,-84.4389900,321.0
33.88890000,-84.4389400,321.0
33.88894000,-84.4388900,321.0
33.88891000,-84.4388500,321.0
33.88887000,-84.4388300,321.0
33.88883000,-84.4388000,320.0
33.88878000,-84.4387700,319.0
33.88872000,-84.4387600,319.0
33.88865000,-84.4387300,318.0
33.88859000,-84.4386700,316.0
33.88854000,-84.4385700,314.0
33.88850000,-84.4384700,312.0
33.88845000,-84.4384300,311.0
33.88843000,-84.4384000,310.0
33.88844000,-84.4383600,310.0
33.88841000,-84.4382100,309.0
33.88840000,-84.4381600,309.0
33.88839000,-84.4381200,309.0
33.88839000,-84.4380400,309.0
33.88838000,-84.4379100,309.0
33.88836000,-84.4377800,309.0
33.88838000,-84.4377500,309.0
33.88840000,-84.4377200,309.0
33.88842000,-84.4376900,309.0
33.88843000,-84.4376400,308.0
33.88843000,-84.4375800,308.0
33.88843000,-84.4375300,308.0
33.88848000,-84.4374600,307.0
33.88855000,-84.4374100,306.0
33.88859000,-84.4373900,305.0
33.88862000,-84.4373700,305.0
33.88855000,-84.4373300,305.0
33.88851000,-84.4373000,304.0
33.88844000,-84.4372800,305.0
33.88839000,-84.4372800,305.0
33.88836000,-84.4372500,305.0
33.88829000,-84.4372200,304.0
33.88819000,-84.4371900,304.0
33.88814000,-84.4371800,303.0
33.88811000,-84.4371400,303.0
33.88809000,-84.4370800,302.0
33.88803000,-84.4369900,300.0
33.88797000,-84.4368900,298.0
