Latitude,Longitude,Elevation
33.87785000,-84.4419200,244.0
33.87786000,-84.4419200,244.0
33.87786000,-84.4419900,244.0
33.87790000,-84.4420800,243.0
33.87799000,-84.4421100,243.0
33.87806000,-84.4421600,243.0
33.87812000,-84.4421900,243.0
33.87819000,-84.4422100,243.0
33.87822000,-84.4422200,243.0
33.87824000,-84.4421900,243.0
33.87835000,-84.4420100,245.0
33.87840000,-84.4419800,246.0
33.87842000,-84.4419600,246.0
33.87845000,-84.4418700,247.0
33.87844000,-84.4417600,248.0
33.87843000,-84.4416900,248.0
33.87845000,-84.4416500,248.0
33.87849000,-84.4416100,249.0
33.87854000,-84.4415700,250.0
33.87860000,-84.4415100,250.0
33.87868000,-84.4414800,252.0
33.87875000,-84.4414500,253.0
33.87881000,-84.4414000,254.0
33.87887000,-84.4413300,254.0
33.87894000,-84.4412800,254.0
33.87902000,-84.4412400,254.0
33.87912000,-84.4412100,254.0
33.87917000,-84.4412100,253.0
33.87921000,-84.4412500,253.0
33.87930000,-84.4413300,252.0
33.87934000,-84.4413600,251.0
33.87938000,-84.4413500,251.0
33.87952000,-84.4412600,250.0
33.87956000,-84.4412200,250.0
33.87965000,-84.4410700,250.0
33.87970000,-84.4410200,250.0
33.87973000,-84.4409400,250.0
33.87976000,-84.4408100,250.0
33.87986000,-84.4406400,250.0
33.87992000,-84.4406000,251.0
33.88002000,-84.4405100,252.0
33.88011000,-84.4404500,252.0
33.88014000,-84.4404700,252.0
33.88021000,-84.4405300,252.0
33.88026000,-84.4406100,252.0
33.88031000,-84.4406500,252.0
33.88038000,-84.4406300,252.0
33.88048000,-84.4406400,252.0
33.88061000,-84.4406300,253.0
33.88073000,-84.4406500,253.0
33.88082000,-84.4406500,254.0
33.88093000,-84.4406700,254.0
33.88098000,-84.4406500,254.0
33.88104000,-84.4406000,254.0
33.88110000,-84.4405300,255.0
33.88115000,-84.4405100,255.0
33.88122000,-84.4404600,255.0
33.88129000,-84.4403500,255.0
33.88134000,-84.4403400,255.0
33.88136000,-84.4403700,255.0
33.88137000,-84.4404100,254.0
33.88141000,-84.4404400,253.0
33.88146000,-84.4404400,254.0
33.88152000,-84.4404600,253.0
33.88156000,-84.4405100,252.0
33.88157000,-84.4405400,252.0
33.88161000,-84.4405700,251.0
33.88169000,-84.4405900,251.0
33.88176000,-84.4405800,252.0
33.88182000,-84.4405900,253.0
33.88189000,-84.4405900,254.0
33.88201000,-84.4405700,256.0
33.88204000,-84.4405400,257.0
33.88210000,-84.4405300,259.0
33.88219000,-84.4405500,259.0
33.88223000,-84.4405600,259.0
33.88228000,-84.4405300,261.0
33.88231000,-84.4404800,262.0
33.88236000,-84.4403800,266.0
33.88241000,-84.4403300,267.0
33.88246000,-84.4403300,267.0
33.88255000,-84.4403700,265.0
33.88260000,-84.4403600,265.0
33.88273000,-84.4403400,265.0
33.88281000,-84.4403500,265.0
33.88293000,-84.4403600,264.0
33.88300000,-84.4403400,265.0
33.88304000,-84.4403500,264.0
33.88308000,-84.4403900,264.0
33.88318000,-84.4404000,263.0
33.88323000,-84.4403900,262.0
33.88332000,-84.4403900,261.0
33.88341000,-84.4403800,261.0
33.88344000,-84.4403700,260.0
33.88353000,-84.4403000,260.0
33.88362000,-84.4402600,259.0
33.88367000,-84.4402100,260.0
33.88377000,-84.4401800,260.0
33.88388000,-84.4400900,261.0
33.88398000,-84.4399900,263.0
33.88402000,-84.4399000,264.0
33.88408000,-84.4398100,265.0
33.88414000,-84.4397900,265.0
33.88422000,-84.4397500,264.0
33.88427000,-84.4396500,264.0
33.88431000,-84.4395700,264.0
33.88433000,-84.4394800,264.0
33.88435000,-84.4394100,264.0
33.88440000,-84.4393600,263.0
33.88441000,-84.4392400,264.0
33.88446000,-84.4391900,264.0
33.88452000,-84.4391800,264.0
33.88456000,-84.4391900,263.0
33.88459000,-84.4391800,263.0
33.88468000,-84.4390600,264.0
33.88475000,-84.4389500,265.0
33.88483000,-84.4389200,266.0
33.88489000,-84.4388600,267.0
33.88498000,-84.4388100,268.0
33.88503000,-84.4388400,267.0
33.88514000,-84.4388400,268.0
33.88522000,-84.4387800,269.0
33.88532000,-84.4387000,269.0
33.88540000,-84.4385900,269.0
33.88551000,-84.4384600,269.0
33.88561000,-84.4383000,270.0
33.88584000,-84.4381100,274.0
33.88585000,-84.4380700,274.0
33.88590000,-84.4380200,275.0
33.88602000,-84.4379700,276.0
33.88606000,-84.4379300,276.0
33.88610000,-84.4379100,276.0
33.88616000,-84.4379400,276.0
33.88619000,-84.4380100,276.0
33.88625000,-84.4380500,276.0
33.88629000,-84.4380500,276.0
33.88634000,-84.4381000,275.0
33.88640000,-84.4381500,275.0
33.88649000,-84.4381400,275.0
33.88655000,-84.4380900,276.0
33.88665000,-84.4379800,277.0
33.88672000,-84.4378100,279.0
33.88678000,-84.4377300,281.0
33.88681000,-84.4376400,281.0
33.88687000,-84.4375600,282.0
33.88692000,-84.4374500,283.0
33.88696000,-84.4373800,283.0
33.88698000,-84.4373100,282.0
33.88696000,-84.4372500,282.0
33.88699000,-84.4372000,282.0
33.88708000,-84.4371300,283.0
33.88717000,-84.4370600,283.0
33.88727000,-84.4370400,284.0
33.88731000,-84.4370400,285.0
33.88736000,-84.4370200,286.0
33.88746000,-84.4369400,288.0
33.88753000,-84.4369100,290.0
