Latitude,Longitude,Elevation
34.78382000,-84.3025300,625.0
34.78384000,-84.3026400,627.0
34.78379000,-84.3027900,628.0
34.78379000,-84.3028400,629.0
34.78377000,-84.3029200,629.0
34.78378000,-84.3030000,630.0
34.78374000,-84.3031100,631.0
34.78369000,-84.3031700,631.0
34.78362000,-84.3033000,632.0
34.78359000,-84.3033600,633.0
34.78357000,-84.3035400,637.0
34.78357000,-84.3035900,638.0
34.78355000,-84.3036900,639.0
34.78356000,-84.3038600,642.0
34.78356000,-84.3039000,642.0
34.78356000,-84.3038400,641.0
34.78356000,-84.3037100,639.0
34.78358000,-84.3035300,637.0
34.78363000,-84.3035100,638.0
34.78368000,-84.3034200,636.0
34.78379000,-84.3033800,638.0
34.78381000,-84.3033400,638.0
34.78390000,-84.3032900,639.0
34.78403000,-84.3032900,642.0
34.78412000,-84.3033700,645.0
34.78414000,-84.3034200,647.0
34.78418000,-84.3034700,648.0
34.78425000,-84.3035900,650.0
34.78425000,-84.3036400,650.0
34.78427000,-84.3037000,651.0
34.78426000,-84.3037500,652.0
34.78423000,-84.3038100,654.0
34.78425000,-84.3039200,656.0
34.78425000,-84.3040300,660.0
34.78424000,-84.3040800,661.0
34.78426000,-84.3041400,663.0
34.78424000,-84.3041900,665.0
34.78425000,-84.3042600,666.0
34.78427000,-84.3043200,667.0
34.78435000,-84.3043800,667.0
34.78437000,-84.3044500,669.0
34.78437000,-84.3044900,670.0
34.78440000,-84.3045900,672.0
34.78439000,-84.3046600,674.0
34.78442000,-84.3047700,676.0
34.78443000,-84.3048500,678.0
34.78445000,-84.3049200,680.0
34.78448000,-84.3049700,681.0
34.78466000,-84.3050800,679.0
34.78469000,-84.3051300,679.0
34.78471000,-84.3052300,681.0
34.78479000,-84.3054500,688.0
34.78487000,-84.3054900,688.0
34.78492000,-84.3054900,687.0
34.78497000,-84.3054600,685.0
34.78503000,-84.3053900,681.0
34.78510000,-84.3053900,681.0
34.78513000,-84.3053900,681.0
34.78518000,-84.3054000,682.0
34.78525000,-84.3054900,687.0
34.78527000,-84.3055400,690.0
34.78530000,-84.3055700,691.0
34.78534000,-84.3055800,691.0
34.78537000,-84.3055700,691.0
34.78541000,-84.3055300,688.0
34.78547000,-84.3055000,686.0
34.78550000,-84.3054400,684.0
34.78570000,-84.3053400,679.0
34.78573000,-84.3053200,679.0
34.78581000,-84.3053200,679.0
34.78590000,-84.3053800,681.0
34.78602000,-84.3054600,682.0
34.78623000,-84.3056100,684.0
34.78632000,-84.3059700,690.0
34.78658000,-84.3060700,692.0
34.78632000,-84.3059700,690.0
34.78623000,-84.3056100,684.0
34.78602000,-84.3054600,682.0
34.78590000,-84.3053800,681.0
34.78581000,-84.3053200,679.0
34.78573000,-84.3053200,679.0
34.78570000,-84.3053400,679.0
34.78550000,-84.3054400,684.0
34.78547000,-84.3055000,686.0
34.78541000,-84.3055300,688.0
34.78537000,-84.3055700,691.0
34.78534000,-84.3055800,691.0
34.78530000,-84.3055700,691.0
34.78527000,-84.3055400,690.0
34.78525000,-84.3054900,687.0
34.78518000,-84.3054000,682.0
34.78513000,-84.3053900,681.0
34.78510000,-84.3053900,681.0
34.78503000,-84.3053900,681.0
34.78497000,-84.3054600,685.0
34.78492000,-84.3054900,687.0
34.78487000,-84.3054900,688.0
34.78479000,-84.3054500,688.0
34.78471000,-84.3052300,681.0
34.78469000,-84.3051300,679.0
34.78466000,-84.3050800,679.0
34.78448000,-84.3049700,681.0
34.78445000,-84.3049200,680.0
34.78443000,-84.3048500,678.0
34.78442000,-84.3047700,676.0
34.78439000,-84.3046600,674.0
34.78440000,-84.3045900,672.0
34.78437000,-84.3044900,670.0
34.78437000,-84.3044500,669.0
34.78435000,-84.3043800,667.0
34.78427000,-84.3043200,667.0
34.78425000,-84.3042600,666.0
34.78424000,-84.3041900,665.0
34.78426000,-84.3041400,663.0
34.78424000,-84.3040800,661.0
34.78425000,-84.3040300,660.0
34.78425000,-84.3039200,656.0
34.78423000,-84.3038100,654.0
34.78426000,-84.3037500,652.0
34.78427000,-84.3037000,651.0
34.78425000,-84.3036400,650.0
34.78425000,-84.3035900,650.0
34.78418000,-84.3034700,648.0
34.78414000,-84.3034200,647.0
34.78412000,-84.3033700,645.0
34.78403000,-84.3032900,642.0
34.78390000,-84.3032900,639.0
34.78381000,-84.3033400,638.0
34.78379000,-84.3033800,638.0
34.78368000,-84.3034200,636.0
34.78363000,-84.3035100,638.0
34.78358000,-84.3035300,637.0
34.78356000,-84.3037100,639.0
34.78356000,-84.3038400,641.0
34.78356000,-84.3039000,642.0
34.78356000,-84.3038600,642.0
34.78355000,-84.3036900,639.0
34.78357000,-84.3035900,638.0
34.78357000,-84.3035400,637.0
34.78359000,-84.3033600,633.0
34.78362000,-84.3033000,632.0
34.78369000,-84.3031700,631.0
34.78374000,-84.3031100,631.0
34.78378000,-84.3030000,630.0
34.78377000,-84.3029200,629.0
34.78379000,-84.3028400,629.0
34.78379000,-84.3027900,628.0
34.78384000,-84.3026400,627.0
34.78382000,-84.3025300,625.0
