Latitude,Longitude,Elevation
34.81654000,-84.2999200,668.0
34.81653000,-84.3001000,671.0
34.81655000,-84.3001600,672.0
34.81657000,-84.3002100,672.0
34.81660000,-84.3002600,673.0
34.81663000,-84.3003100,673.0
34.81666000,-84.3003400,673.0
34.81668000,-84.3003600,673.0
34.81681000,-84.3005300,676.0
34.81687000,-84.3006900,678.0
34.81690000,-84.3008100,679.0
34.81690000,-84.3009700,681.0
34.81686000,-84.3011100,683.0
34.81678000,-84.3012000,685.0
34.81670000,-84.3012000,686.0
34.81666000,-84.3011800,687.0
34.81661000,-84.3011500,687.0
34.81657000,-84.3011300,688.0
34.81653000,-84.3011000,689.0
34.81649000,-84.3010800,689.0
34.81645000,-84.3010500,689.0
34.81640000,-84.3010300,689.0
34.81636000,-84.3010200,690.0
34.81631000,-84.3009900,690.0
34.81630000,-84.3009900,690.0
34.81609000,-84.3008900,692.0
34.81605000,-84.3008500,692.0
34.81601000,-84.3008100,692.0
34.81600000,-84.3007500,692.0
34.81599000,-84.3007000,691.0
34.81598000,-84.3006500,691.0
34.81597000,-84.3005800,690.0
34.81596000,-84.3005300,690.0
34.81595000,-84.3004700,691.0
34.81594000,-84.3004100,690.0
34.81593000,-84.3003600,690.0
34.81591000,-84.3003000,691.0
34.81590000,-84.3002600,691.0
34.81584000,-84.3000700,692.0
34.81581000,-84.3000200,692.0
34.81578000,-84.2999800,692.0
34.81575000,-84.2999400,691.0
34.81572000,-84.2999000,690.0
34.81569000,-84.2998600,689.0
34.81564000,-84.2998300,689.0
34.81560000,-84.2998200,690.0
34.81555000,-84.2998200,690.0
34.81550000,-84.2998200,690.0
34.81545000,-84.2998200,690.0
34.81540000,-84.2998300,690.0
34.81536000,-84.2998500,691.0
34.81532000,-84.2998700,692.0
34.81530000,-84.2998800,692.0
34.81519000,-84.2999200,692.0
34.81515000,-84.2999500,692.0
34.81512000,-84.2999800,693.0
34.81509000,-84.3000300,694.0
34.81506000,-84.3000800,694.0
34.81504000,-84.3001300,695.0
34.81502000,-84.3001800,696.0
34.81499000,-84.3002300,696.0
34.81496000,-84.3002700,697.0
34.81493000,-84.3003200,698.0
34.81491000,-84.3003700,699.0
34.81489000,-84.3004200,700.0
34.81486000,-84.3004600,700.0
34.81483000,-84.3005100,701.0
34.81481000,-84.3005600,702.0
34.81478000,-84.3006100,703.0
34.81476000,-84.3006600,704.0
34.81474000,-84.3007100,706.0
34.81472000,-84.3007600,707.0
34.81461000,-84.3011600,718.0
34.81459000,-84.3012100,719.0
34.81457000,-84.3012600,720.0
34.81455000,-84.3013100,721.0
34.81451000,-84.3013500,722.0
34.81448000,-84.3014000,724.0
34.81444000,-84.3014200,724.0
34.81439000,-84.3014100,725.0
34.81436000,-84.3013800,725.0
34.81432000,-84.3013500,725.0
34.81429000,-84.3013000,725.0
34.81427000,-84.3012500,724.0
34.81425000,-84.3011900,723.0
34.81424000,-84.3011400,722.0
34.81422000,-84.3010900,721.0
34.81420000,-84.3010300,721.0
34.81417000,-84.3009800,721.0
34.81414000,-84.3009400,720.0
34.81411000,-84.3009000,720.0
34.81408000,-84.3008600,720.0
34.81407000,-84.3008500,720.0
34.81393000,-84.3007000,718.0
34.81389000,-84.3006600,718.0
34.81386000,-84.3006200,719.0
34.81382000,-84.3005700,719.0
34.81378000,-84.3005300,720.0
34.81374000,-84.3005000,721.0
34.81371000,-84.3004700,721.0
34.81367000,-84.3004400,722.0
34.81363000,-84.3004000,723.0
34.81359000,-84.3003600,725.0
34.81356000,-84.3003200,726.0
34.81353000,-84.3002700,728.0
34.81351000,-84.3002200,729.0
34.81349000,-84.3001700,730.0
34.81347000,-84.3001100,731.0
34.81345000,-84.3000600,732.0
34.81344000,-84.3000100,733.0
34.81344000,-84.2999500,732.0
