Latitude,Longitude,Elevation
33.97931000,-83.7343800,266.0
33.97932000,-83.7343600,266.0
33.97932000,-83.7343300,265.0
33.97933000,-83.7343000,265.0
33.97933000,-83.7342500,265.0
33.97935000,-83.7341900,264.0
33.97937000,-83.7341300,264.0
33.97941000,-83.7340800,264.0
33.97944000,-83.7340400,264.0
33.97948000,-83.7340000,264.0
33.97952000,-83.7339500,265.0
33.97956000,-83.7339100,265.0
33.97958000,-83.7338500,266.0
33.97960000,-83.7337800,267.0
33.97960000,-83.7337200,268.0
33.97958000,-83.7336600,268.0
33.97957000,-83.7336000,269.0
33.97954000,-83.7335400,269.0
33.97948000,-83.7335100,268.0
33.97943000,-83.7334800,267.0
33.97938000,-83.7334400,266.0
33.97933000,-83.7334000,265.0
33.97930000,-83.7333500,265.0
33.97926000,-83.7332900,263.0
33.97924000,-83.7332300,262.0
33.97922000,-83.7331700,261.0
33.97924000,-83.7331000,260.0
33.97924000,-83.7330400,259.0
33.97925000,-83.7329700,260.0
33.97927000,-83.7329000,260.0
33.97929000,-83.7328400,261.0
33.97930000,-83.7328100,261.0
33.97931000,-83.7327800,261.0
33.97934000,-83.7327200,262.0
33.97937000,-83.7326700,263.0
33.97941000,-83.7326300,264.0
33.97943000,-83.7325700,264.0
33.97946000,-83.7325200,265.0
33.97950000,-83.7324700,265.0
33.97953000,-83.7324200,265.0
33.97956000,-83.7323800,265.0
33.97962000,-83.7323600,265.0
33.97968000,-83.7323300,265.0
33.97974000,-83.7323100,265.0
33.97980000,-83.7322900,264.0
33.97986000,-83.7322700,263.0
33.97992000,-83.7322600,263.0
33.97998000,-83.7322500,262.0
33.98004000,-83.7322500,262.0
33.98010000,-83.7322500,262.0
33.98016000,-83.7322400,262.0
33.98021000,-83.7322400,262.0
33.98028000,-83.7322200,262.0
33.98033000,-83.7322200,262.0
33.98039000,-83.7322200,263.0
33.98045000,-83.7322100,264.0
33.98051000,-83.7322200,265.0
33.98057000,-83.7322000,265.0
33.98062000,-83.7321700,265.0
33.98065000,-83.7321300,264.0
33.98069000,-83.7320800,264.0
33.98072000,-83.7320300,263.0
33.98075000,-83.7319800,262.0
33.98078000,-83.7319300,262.0
33.98082000,-83.7318900,262.0
33.98086000,-83.7318500,262.0
33.98087000,-83.7317900,262.0
33.98085000,-83.7317300,261.0
33.98083000,-83.7316700,260.0
33.98081000,-83.7316200,260.0
33.98078000,-83.7315600,259.0
33.98076000,-83.7315000,258.0
33.98074000,-83.7314400,257.0
33.98076000,-83.7313700,257.0
33.98076000,-83.7313000,257.0
33.98077000,-83.7312300,257.0
33.98079000,-83.7311600,257.0
33.98080000,-83.7311200,257.0
33.98080000,-83.7311000,257.0
33.98083000,-83.7310400,257.0
33.98085000,-83.7309800,257.0
33.98088000,-83.7309300,258.0
33.98091000,-83.7308700,258.0
33.98091000,-83.7308000,259.0
33.98089000,-83.7307400,260.0
33.98088000,-83.7306800,261.0
33.98085000,-83.7306200,262.0
33.98083000,-83.7305600,262.0
33.98081000,-83.7305100,263.0
33.98079000,-83.7304500,263.0
33.98077000,-83.7303900,264.0
33.98076000,-83.7303300,264.0
33.98075000,-83.7302600,265.0
33.98074000,-83.7302000,265.0
33.98073000,-83.7301400,265.0
33.98072000,-83.7300800,265.0
33.98069000,-83.7300200,265.0
33.98068000,-83.7299600,266.0
33.98065000,-83.7299200,266.0
33.98059000,-83.7298900,266.0
33.98054000,-83.7298700,265.0
33.98051000,-83.7298100,266.0
33.98050000,-83.7297500,266.0
33.98049000,-83.7296900,266.0
33.98048000,-83.7296200,266.0
33.98047000,-83.7295600,266.0
33.98047000,-83.7295000,266.0
33.98046000,-83.7294300,265.0
33.98045000,-83.7293700,265.0
33.98045000,-83.7293000,265.0
33.98044000,-83.7292500,265.0
33.98044000,-83.7292400,265.0
33.98043000,-83.7291800,265.0
33.98043000,-83.7291100,265.0
33.98044000,-83.7290500,265.0
33.98044000,-83.7289800,264.0
33.98044000,-83.7289200,264.0
33.98045000,-83.7288500,264.0
33.98043000,-83.7287900,264.0
33.98042000,-83.7287300,264.0
33.98039000,-83.7286700,265.0
33.98034000,-83.7286400,266.0
33.98028000,-83.7286200,267.0
33.98023000,-83.7286000,268.0
33.98018000,-83.7285900,269.0
33.98012000,-83.7285700,270.0
