Latitude,Longitude,Elevation
34.77887000,-84.7054600,798.0
34.77880000,-84.7053900,798.0
34.77855000,-84.7050600,797.0
34.77845000,-84.7049500,798.0
34.77830000,-84.7047700,800.0
34.77818000,-84.7046000,801.0
34.77811000,-84.7044800,802.0
34.77806000,-84.7043600,802.0
34.77798000,-84.7042100,801.0
34.77785000,-84.7040800,799.0
34.77773000,-84.7039100,798.0
34.77765000,-84.7038200,797.0
34.77755000,-84.7036400,797.0
34.77754000,-84.7035800,796.0
34.77750000,-84.7035400,796.0
34.77747000,-84.7035000,796.0
34.77744000,-84.7034600,795.0
34.77741000,-84.7034200,795.0
34.77738000,-84.7033800,794.0
34.77733000,-84.7033600,793.0
34.77727000,-84.7033500,792.0
34.77723000,-84.7033400,791.0
34.77718000,-84.7033700,790.0
34.77715000,-84.7034000,790.0
34.77712000,-84.7034600,791.0
34.77708000,-84.7034900,791.0
34.77704000,-84.7035200,790.0
34.77700000,-84.7035700,791.0
34.77698000,-84.7036300,791.0
34.77695000,-84.7036700,791.0
34.77693000,-84.7036900,791.0
34.77688000,-84.7036900,790.0
34.77677000,-84.7037400,788.0
34.77657000,-84.7038800,786.0
34.77643000,-84.7039000,783.0
34.77626000,-84.7038700,781.0
34.77616000,-84.7038300,779.0
34.77602000,-84.7038000,777.0
34.77582000,-84.7038000,776.0
34.77559000,-84.7038300,776.0
34.77543000,-84.7038600,776.0
34.77525000,-84.7038300,774.0
34.77508000,-84.7038200,773.0
34.77491000,-84.7038000,772.0
34.77473000,-84.7037200,769.0
34.77460000,-84.7036400,767.0
34.77446000,-84.7035700,764.0
34.77434000,-84.7035400,764.0
34.77424000,-84.7035200,765.0
34.77409000,-84.7035500,767.0
34.77389000,-84.7036200,769.0
34.77378000,-84.7036800,770.0
34.77373000,-84.7037100,771.0
34.77363000,-84.7037300,772.0
34.77354000,-84.7037400,773.0
34.77347000,-84.7037400,774.0
34.77344000,-84.7037300,774.0
34.77341000,-84.7036900,775.0
