Latitude,Longitude,Elevation
33.98459000,-84.3853300,289.0
33.98459000,-84.3852900,289.0
33.98437000,-84.3853300,287.0
33.98433000,-84.3851700,285.0
33.98437000,-84.3850200,283.0
33.98447000,-84.3849100,284.0
33.98458000,-84.3848600,285.0
33.98459000,-84.3847700,285.0
33.98454000,-84.3846300,284.0
33.98451000,-84.3845300,284.0
33.98439000,-84.3843300,282.0
33.98427000,-84.3842800,281.0
33.98410000,-84.3842700,280.0
33.98402000,-84.3840900,281.0
33.98402000,-84.3838900,282.0
33.98408000,-84.3837300,283.0
33.98421000,-84.3837000,282.0
33.98431000,-84.3836600,281.0
33.98438000,-84.3836000,280.0
33.98447000,-84.3834000,282.0
33.98459000,-84.3833000,282.0
33.98468000,-84.3832200,282.0
33.98474000,-84.3831700,282.0
33.98481000,-84.3831600,281.0
33.98487000,-84.3830800,282.0
33.98488000,-84.3829300,285.0
33.98488000,-84.3828700,286.0
33.98488000,-84.3828500,286.0
33.98486000,-84.3827700,288.0
33.98490000,-84.3827200,288.0
33.98494000,-84.3827400,286.0
33.98501000,-84.3827700,284.0
33.98505000,-84.3827800,284.0
33.98514000,-84.3826700,283.0
33.98522000,-84.3825400,282.0
33.98533000,-84.3824100,283.0
33.98544000,-84.3823200,284.0
33.98560000,-84.3822900,284.0
33.98586000,-84.3821800,283.0
33.98594000,-84.3821400,281.0
33.98606000,-84.3820300,279.0
33.98612000,-84.3819400,278.0
33.98612000,-84.3818400,279.0
33.98607000,-84.3817700,280.0
33.98603000,-84.3817200,282.0
33.98609000,-84.3816300,281.0
33.98616000,-84.3816100,279.0
33.98632000,-84.3816200,275.0
33.98637000,-84.3815700,275.0
33.98644000,-84.3815100,275.0
33.98649000,-84.3814100,275.0
33.98661000,-84.3812700,277.0
33.98671000,-84.3811200,278.0
33.98679000,-84.3810600,278.0
33.98689000,-84.3810200,277.0
33.98696000,-84.3809400,277.0
33.98699000,-84.3808400,279.0
33.98706000,-84.3807700,280.0
33.98718000,-84.3806700,280.0
33.98732000,-84.3805700,279.0
33.98743000,-84.3804600,279.0
33.98749000,-84.3803700,279.0
33.98753000,-84.3803000,281.0
33.98760000,-84.3801800,283.0
33.98761000,-84.3800900,285.0
33.98758000,-84.3800300,286.0
33.98757000,-84.3799600,287.0
33.98763000,-84.3798500,287.0
33.98765000,-84.3798100,287.0
33.98766000,-84.3797400,287.0
33.98771000,-84.3797000,286.0
33.98776000,-84.3796900,284.0
33.98782000,-84.3797300,282.0
33.98788000,-84.3797600,281.0
33.98796000,-84.3797400,278.0
33.98824000,-84.3796200,272.0
33.98828000,-84.3795500,271.0
33.98832000,-84.3794900,270.0
33.98832000,-84.3794200,270.0
33.98829000,-84.3793500,271.0
33.98827000,-84.3792900,272.0
33.98828000,-84.3791800,272.0
33.98828000,-84.3790800,271.0
33.98825000,-84.3789900,271.0
33.98816000,-84.3788600,273.0
33.98807000,-84.3787000,275.0
33.98800000,-84.3786500,277.0
33.98792000,-84.3786600,280.0
33.98788000,-84.3786600,281.0
33.98779000,-84.3785900,284.0
33.98765000,-84.3784700,291.0
33.98757000,-84.3783700,294.0
33.98755000,-84.3783100,295.0
33.98751000,-84.3782400,295.0
33.98746000,-84.3781700,295.0
33.98739000,-84.3781600,296.0
33.98732000,-84.3781300,296.0
33.98716000,-84.3779500,293.0
33.98700000,-84.3777700,290.0
33.98690000,-84.3777200,290.0
33.98686000,-84.3776900,290.0
33.98675000,-84.3777100,292.0
33.98662000,-84.3777500,294.0
33.98641000,-84.3777800,294.0
33.98630000,-84.3777200,293.0
33.98618000,-84.3776300,291.0
33.98609000,-84.3775500,288.0
33.98606000,-84.3774300,285.0
33.98600000,-84.3773600,282.0
33.98589000,-84.3773100,280.0
33.98578000,-84.3772400,277.0
33.98568000,-84.3771200,274.0
33.98560000,-84.3770700,273.0
33.98553000,-84.3771000,273.0
33.98540000,-84.3770700,270.0
33.98530000,-84.3771200,270.0
