Latitude,Longitude,Elevation
33.96325000,-84.5936100,323.0
33.96325000,-84.5936000,323.0
33.96304000,-84.5934900,323.0
33.96291000,-84.5934200,325.0
33.96274000,-84.5934600,325.0
33.96251000,-84.5935800,324.0
33.96240000,-84.5936400,323.0
33.96225000,-84.5937300,321.0
33.96190000,-84.5939100,319.0
33.96167000,-84.5939200,319.0
33.96150000,-84.5939700,319.0
33.96125000,-84.5941200,318.0
33.96093000,-84.5943100,319.0
33.96066000,-84.5944800,320.0
33.96025000,-84.5947400,322.0
33.96016000,-84.5948100,323.0
33.96014000,-84.5948400,323.0
33.96002000,-84.5949900,326.0
33.95998000,-84.5950400,327.0
33.95990000,-84.5950900,329.0
33.95985000,-84.5951000,330.0
33.95950000,-84.5951000,332.0
33.95928000,-84.5951000,330.0
33.95906000,-84.5951600,329.0
33.95897000,-84.5951800,329.0
33.95892000,-84.5953600,328.0
33.95890000,-84.5954700,328.0
33.95891000,-84.5955900,327.0
33.95895000,-84.5957300,326.0
33.95897000,-84.5958800,324.0
33.95903000,-84.5960000,323.0
33.95915000,-84.5961500,321.0
33.95926000,-84.5963600,321.0
33.95930000,-84.5966100,320.0
33.95926000,-84.5968000,319.0
33.95922000,-84.5970300,318.0
33.95917000,-84.5972200,317.0
33.95909000,-84.5974200,316.0
33.95897000,-84.5975200,316.0
33.95886000,-84.5976900,316.0
33.95863000,-84.5980000,318.0
33.95836000,-84.5981700,320.0
33.95827000,-84.5982500,321.0
33.95813000,-84.5983300,322.0
33.95800000,-84.5984100,323.0
33.95775000,-84.5985500,325.0
33.95760000,-84.5985400,325.0
33.95735000,-84.5984500,327.0
33.95717000,-84.5983700,327.0
33.95697000,-84.5982600,328.0
33.95675000,-84.5980400,329.0
33.95665000,-84.5979200,331.0
33.95659000,-84.5978400,332.0
33.95644000,-84.5978400,335.0
33.95632000,-84.5978200,336.0
33.95622000,-84.5977600,336.0
33.95605000,-84.5977800,335.0
33.95595000,-84.5978200,335.0
33.95587000,-84.5979600,334.0
33.95575000,-84.5980900,334.0
33.95566000,-84.5982400,335.0
33.95560000,-84.5984500,336.0
33.95560000,-84.5987200,336.0
33.95563000,-84.5988900,336.0
33.95570000,-84.5989800,336.0
33.95582000,-84.5991300,336.0
33.95592000,-84.5992600,337.0
33.95595000,-84.5993800,338.0
33.95592000,-84.5995400,339.0
33.95583000,-84.5997300,338.0
33.95571000,-84.5998100,338.0
33.95559000,-84.5998100,338.0
33.95551000,-84.5997800,338.0
33.95543000,-84.5997200,337.0
33.95520000,-84.5997000,333.0
33.95512000,-84.5997000,332.0
33.95502000,-84.5997700,330.0
33.95486000,-84.5997900,328.0
33.95470000,-84.5997700,326.0
33.95455000,-84.5997700,324.0
33.95445000,-84.5997300,322.0
33.95430000,-84.5996600,320.0
33.95424000,-84.5996700,319.0
33.95417000,-84.5996500,318.0
33.95410000,-84.5995900,318.0
33.95403000,-84.5995500,317.0
33.95397000,-84.5995800,317.0
33.95394000,-84.5995900,317.0
33.95388000,-84.5995800,316.0
33.95386000,-84.5995400,316.0
33.95389000,-84.5993300,316.0
33.95392000,-84.5991100,316.0
33.95390000,-84.5989100,315.0
33.95386000,-84.5987400,314.0
33.95383000,-84.5986500,313.0
33.95373000,-84.5985600,313.0
33.95365000,-84.5984800,314.0
33.95360000,-84.5983300,315.0
33.95325000,-84.5980000,315.0
33.95315000,-84.5979600,316.0
33.95312000,-84.5979100,316.0
33.95313000,-84.5978200,317.0
33.95321000,-84.5975200,317.0
33.95328000,-84.5973400,315.0
33.95341000,-84.5970600,315.0
33.95349000,-84.5970300,315.0
33.95349000,-84.5970400,315.0
33.95347000,-84.5969800,315.0
33.95345000,-84.5969300,316.0
33.95342000,-84.5968900,316.0
33.95337000,-84.5968600,316.0
33.95334000,-84.5968300,316.0
33.95331000,-84.5967900,316.0
33.95326000,-84.5968100,317.0
33.95328000,-84.5968200,317.0
33.95314000,-84.5970500,318.0
33.95307000,-84.5974000,319.0
33.95303000,-84.5975800,319.0
33.95291000,-84.5978300,319.0
33.95288000,-84.5980400,319.0
33.95278000,-84.5982300,320.0
33.95269000,-84.5983800,321.0
33.95263000,-84.5984200,321.0
33.95255000,-84.5983600,322.0
33.95245000,-84.5982400,323.0
33.95238000,-84.5981500,324.0
33.95234000,-84.5980200,325.0
33.95194000,-84.5977100,330.0
33.95185000,-84.5975800,332.0
33.95190000,-84.5974300,333.0
33.95195000,-84.5972900,333.0
33.95192000,-84.5971900,334.0
33.95162000,-84.5968500,337.0
33.95121000,-84.5964800,339.0
33.95096000,-84.5963600,341.0
33.95078000,-84.5963300,342.0
33.95072000,-84.5962500,343.0
33.95069000,-84.5961600,344.0
33.95066000,-84.5959900,345.0
33.95058000,-84.5959000,346.0
33.95043000,-84.5958300,348.0
33.95029000,-84.5958400,349.0
33.95018000,-84.5959600,349.0
33.95007000,-84.5960400,349.0
33.94998000,-84.5960100,349.0
33.94992000,-84.5959600,348.0
33.94988000,-84.5959900,348.0
33.94969000,-84.5962900,346.0
33.94967000,-84.5963300,346.0
33.94940000,-84.5966700,343.0
33.94931000,-84.5968500,341.0
33.94934000,-84.5971500,338.0
33.94938000,-84.5972900,336.0
33.94936000,-84.5975400,335.0
33.94931000,-84.5975700,336.0
33.94920000,-84.5975300,337.0
33.94921000,-84.5975700,337.0
33.94935000,-84.5977400,335.0
33.94947000,-84.5980000,335.0
33.94938000,-84.5985200,342.0
33.94926000,-84.5989000,345.0
33.94913000,-84.5990600,346.0
33.94897000,-84.5991400,346.0
33.94877000,-84.5992400,347.0
33.94865000,-84.5992200,347.0
33.94858000,-84.5991300,348.0
33.94845000,-84.5991000,349.0
33.94833000,-84.5991400,350.0
33.94813000,-84.5992100,350.0
33.94778000,-84.5993000,348.0
33.94769000,-84.5992900,348.0
33.94756000,-84.5992200,349.0
33.94744000,-84.5990700,350.0
33.94729000,-84.5990100,351.0
33.94722000,-84.5989800,352.0
33.94706000,-84.5988000,353.0
33.94687000,-84.5986800,355.0
33.94662000,-84.5985300,358.0
33.94655000,-84.5984600,358.0
33.94634000,-84.5982700,357.0
33.94584000,-84.5977800,354.0
33.94579000,-84.5976300,353.0
33.94568000,-84.5971800,351.0
33.94579000,-84.5969800,352.0
33.94585000,-84.5969600,353.0
33.94605000,-84.5969600,355.0
33.94631000,-84.5968400,355.0
33.94655000,-84.5967100,354.0
33.94675000,-84.5965100,353.0
33.94697000,-84.5962800,351.0
33.94716000,-84.5960700,351.0
33.94734000,-84.5959000,349.0
33.94750000,-84.5957400,347.0
33.94756000,-84.5956800,347.0
33.94778000,-84.5955500,347.0
33.94812000,-84.5954000,347.0
33.94836000,-84.5953700,347.0
33.94864000,-84.5953300,348.0
33.94921000,-84.5952800,347.0
33.94967000,-84.5952300,345.0
33.94984000,-84.5951900,344.0
33.95015000,-84.5951000,341.0
33.95053000,-84.5949900,343.0
33.95085000,-84.5949900,343.0
33.95123000,-84.5949800,335.0
33.95152000,-84.5950200,331.0
33.95174000,-84.5950700,331.0
33.95201000,-84.5952600,330.0
33.95211000,-84.5953300,329.0
33.95229000,-84.5954600,327.0
33.95253000,-84.5957000,324.0
33.95276000,-84.5959600,324.0
33.95293000,-84.5962200,322.0
33.95311000,-84.5964900,320.0
33.95333000,-84.5967400,316.0
33.95335000,-84.5967600,316.0
33.95349000,-84.5969300,316.0
33.95355000,-84.5970100,315.0
33.95378000,-84.5971800,314.0
33.95399000,-84.5973400,316.0
33.95424000,-84.5975100,320.0
33.95450000,-84.5975800,323.0
33.95479000,-84.5975600,327.0
33.95505000,-84.5974900,331.0
33.95525000,-84.5973400,333.0
33.95555000,-84.5970900,332.0
33.95592000,-84.5967200,331.0
33.95640000,-84.5962800,325.0
33.95687000,-84.5958800,325.0
33.95716000,-84.5956100,325.0
33.95720000,-84.5955800,325.0
33.95733000,-84.5954800,326.0
33.95740000,-84.5954400,326.0
33.95762000,-84.5954200,327.0
33.95775000,-84.5954600,326.0
33.95793000,-84.5954700,326.0
33.95825000,-84.5954100,327.0
33.95853000,-84.5953000,328.0
33.95879000,-84.5952200,329.0
33.95897000,-84.5951800,329.0
33.95906000,-84.5951600,329.0
33.95928000,-84.5951000,330.0
33.95950000,-84.5951000,332.0
33.95985000,-84.5951000,330.0
33.95990000,-84.5950900,329.0
33.95998000,-84.5950400,327.0
33.96002000,-84.5949900,326.0
33.96014000,-84.5948400,323.0
33.96016000,-84.5948100,323.0
33.96025000,-84.5947400,322.0
33.96066000,-84.5944800,320.0
33.96093000,-84.5943100,319.0
33.96125000,-84.5941200,318.0
33.96150000,-84.5939700,319.0
33.96167000,-84.5939200,319.0
33.96190000,-84.5939100,319.0
33.96225000,-84.5937300,321.0
33.96251000,-84.5935800,324.0
33.96274000,-84.5934600,325.0
33.96291000,-84.5934200,325.0
33.96304000,-84.5934900,323.0
33.96325000,-84.5936000,323.0
33.96325000,-84.5936100,323.0
