Latitude,Longitude,Elevation
34.84792000,-83.5968700,614.0
34.84807000,-83.5969500,611.0
34.84812000,-83.5969500,611.0
34.84817000,-83.5969800,611.0
34.84821000,-83.5970100,611.0
34.84825000,-83.5970400,611.0
34.84827000,-83.5971000,611.0
34.84830000,-83.5971700,612.0
34.84832000,-83.5972200,612.0
34.84834000,-83.5972900,612.0
34.84836000,-83.5973400,613.0
34.84838000,-83.5973900,614.0
34.84842000,-83.5974200,614.0
34.84844000,-83.5974800,614.0
34.84847000,-83.5975500,615.0
34.84851000,-83.5976000,615.0
34.84853000,-83.5976500,615.0
34.84855000,-83.5977200,614.0
34.84860000,-83.5977700,614.0
34.84864000,-83.5978000,614.0
34.84869000,-83.5978400,615.0
34.84873000,-83.5978700,616.0
34.84877000,-83.5979000,616.0
34.84881000,-83.5979400,616.0
34.84886000,-83.5979700,617.0
34.84890000,-83.5979900,617.0
34.84899000,-83.5980700,617.0
34.84905000,-83.5981100,618.0
34.84908000,-83.5981600,618.0
34.84911000,-83.5982000,619.0
34.84915000,-83.5982500,619.0
34.84918000,-83.5983100,619.0
34.84924000,-83.5983600,620.0
34.84928000,-83.5984000,621.0
34.84931000,-83.5984500,622.0
34.84937000,-83.5985000,623.0
34.84942000,-83.5985600,623.0
34.84947000,-83.5986000,623.0
34.84952000,-83.5986600,624.0
34.84956000,-83.5987100,624.0
34.84960000,-83.5987600,624.0
34.84964000,-83.5988100,623.0
34.84967000,-83.5988600,623.0
34.84972000,-83.5989200,623.0
34.84977000,-83.5989600,622.0
34.84981000,-83.5990200,622.0
34.84985000,-83.5990600,621.0
34.84987000,-83.5991100,621.0
34.84989000,-83.5991800,621.0
34.84992000,-83.5992400,622.0
34.84995000,-83.5993100,623.0
34.84999000,-83.5993700,623.0
34.85002000,-83.5994200,624.0
34.85005000,-83.5994800,624.0
34.85008000,-83.5995500,624.0
34.85010000,-83.5996100,624.0
34.85012000,-83.5996700,624.0
34.85014000,-83.5997300,624.0
34.85015000,-83.5997900,624.0
34.85016000,-83.5998600,625.0
34.85016000,-83.5999200,626.0
34.85016000,-83.5999800,627.0
34.85016000,-83.6000400,628.0
34.85016000,-83.6001100,631.0
34.85017000,-83.6001700,632.0
34.85018000,-83.6002300,633.0
34.85020000,-83.6003000,634.0
34.85021000,-83.6003600,634.0
34.85022000,-83.6004400,635.0
34.85022000,-83.6005000,636.0
34.85024000,-83.6005900,636.0
34.85026000,-83.6006500,635.0
34.85027000,-83.6007100,635.0
34.85028000,-83.6007600,635.0
