Latitude,Longitude,Elevation
33.17918000,-84.0173700,176.0
33.17920000,-84.0173600,176.0
33.17914000,-84.0173100,174.0
33.17903000,-84.0173000,170.0
33.17893000,-84.0172100,167.0
33.17879000,-84.0168700,164.0
33.17874000,-84.0166900,162.0
33.17867000,-84.0164800,160.0
33.17863000,-84.0161600,159.0
33.17862000,-84.0158700,157.0
33.17862000,-84.0157900,157.0
33.17864000,-84.0156400,157.0
33.17858000,-84.0154400,155.0
33.17855000,-84.0153300,155.0
33.17857000,-84.0151100,158.0
33.17854000,-84.0150400,158.0
33.17841000,-84.0149500,155.0
33.17830000,-84.0146200,155.0
33.17814000,-84.0143200,156.0
33.17808000,-84.0142100,158.0
33.17800000,-84.0140700,159.0
33.17789000,-84.0138100,160.0
33.17779000,-84.0137100,160.0
33.17756000,-84.0135700,160.0
33.17751000,-84.0134600,161.0
33.17750000,-84.0130500,165.0
33.17748000,-84.0128700,165.0
33.17741000,-84.0128700,162.0
33.17725000,-84.0128700,157.0
33.17714000,-84.0128200,154.0
33.17709000,-84.0126200,153.0
33.17704000,-84.0126000,152.0
33.17699000,-84.0124800,151.0
33.17679000,-84.0122000,151.0
33.17664000,-84.0120300,152.0
33.17662000,-84.0119600,153.0
33.17657000,-84.0117400,154.0
33.17651000,-84.0115200,157.0
33.17642000,-84.0113000,159.0
33.17638000,-84.0111900,159.0
33.17624000,-84.0109800,157.0
33.17611000,-84.0107900,157.0
33.17619000,-84.0107200,159.0
33.17636000,-84.0107800,161.0
33.17658000,-84.0109900,165.0
33.17672000,-84.0111900,166.0
33.17677000,-84.0114600,163.0
33.17686000,-84.0115400,163.0
33.17690000,-84.0117200,160.0
33.17703000,-84.0118800,159.0
33.17725000,-84.0118100,169.0
33.17742000,-84.0119000,171.0
33.17766000,-84.0117900,177.0
33.17770000,-84.0119300,176.0
33.17770000,-84.0121800,174.0
33.17776000,-84.0124100,172.0
33.17789000,-84.0125800,172.0
33.17793000,-84.0127000,171.0
33.17802000,-84.0127400,171.0
33.17820000,-84.0129200,172.0
33.17835000,-84.0130500,173.0
33.17840000,-84.0131300,174.0
33.17845000,-84.0132100,174.0
33.17853000,-84.0134300,174.0
33.17850000,-84.0135600,173.0
33.17839000,-84.0136800,170.0
33.17821000,-84.0137600,166.0
33.17832000,-84.0139800,164.0
33.17847000,-84.0141100,163.0
33.17854000,-84.0142300,163.0
33.17862000,-84.0143300,163.0
33.17859000,-84.0144600,162.0
33.17854000,-84.0145400,161.0
33.17862000,-84.0147500,161.0
33.17882000,-84.0149400,164.0
33.17891000,-84.0150400,165.0
33.17888000,-84.0151500,164.0
33.17890000,-84.0152500,163.0
33.17905000,-84.0152800,167.0
33.17909000,-84.0153000,168.0
33.17919000,-84.0153500,171.0
33.17942000,-84.0153200,175.0
33.17959000,-84.0153700,176.0
33.17964000,-84.0154000,177.0
33.17948000,-84.0154300,176.0
33.17939000,-84.0154700,176.0
33.17932000,-84.0155600,175.0
33.17945000,-84.0158300,182.0
33.17948000,-84.0162500,185.0
33.17945000,-84.0165100,185.0
33.17953000,-84.0167200,186.0
33.17955000,-84.0167600,187.0
33.17939000,-84.0169900,183.0
33.17937000,-84.0172400,182.0
33.17920000,-84.0173600,176.0
33.17918000,-84.0173700,176.0
