Latitude,Longitude,Elevation
34.24321000,-84.1378100,424.0
34.24327000,-84.1378900,424.0
34.24330000,-84.1379500,425.0
34.24335000,-84.1380900,426.0
34.24336000,-84.1381500,426.0
34.24336000,-84.1382100,426.0
34.24336000,-84.1382700,426.0
34.24336000,-84.1383200,426.0
34.24336000,-84.1383900,426.0
34.24335000,-84.1384500,426.0
34.24335000,-84.1385000,426.0
34.24333000,-84.1385600,427.0
34.24332000,-84.1386200,427.0
34.24329000,-84.1386700,427.0
34.24327000,-84.1387200,427.0
34.24325000,-84.1387800,427.0
34.24324000,-84.1388400,427.0
34.24323000,-84.1388900,427.0
34.24322000,-84.1389500,427.0
34.24322000,-84.1390100,428.0
34.24323000,-84.1390700,428.0
34.24323000,-84.1391200,428.0
34.24323000,-84.1391800,428.0
34.24324000,-84.1392300,428.0
34.24326000,-84.1392900,428.0
34.24329000,-84.1393400,427.0
34.24332000,-84.1393900,427.0
34.24334000,-84.1394400,426.0
34.24336000,-84.1394900,427.0
34.24337000,-84.1395500,427.0
34.24337000,-84.1396100,427.0
34.24336000,-84.1396700,428.0
34.24336000,-84.1396800,428.0
34.24336000,-84.1397700,429.0
34.24336000,-84.1398300,430.0
34.24337000,-84.1398400,430.0
34.24337000,-84.1398800,430.0
34.24337000,-84.1399300,431.0
34.24336000,-84.1400200,432.0
34.24335000,-84.1400600,432.0
34.24333000,-84.1401400,433.0
34.24332000,-84.1403100,433.0
34.24335000,-84.1404500,433.0
34.24339000,-84.1406100,433.0
34.24344000,-84.1407900,431.0
34.24344000,-84.1409800,430.0
34.24342000,-84.1411300,429.0
34.24342000,-84.1411800,430.0
34.24340000,-84.1412700,430.0
34.24337000,-84.1413100,431.0
34.24331000,-84.1413800,433.0
34.24324000,-84.1415200,435.0
34.24323000,-84.1416900,437.0
34.24325000,-84.1418500,436.0
34.24334000,-84.1420300,433.0
34.24340000,-84.1421800,431.0
34.24346000,-84.1423900,429.0
34.24355000,-84.1425300,427.0
34.24356000,-84.1426400,426.0
34.24356000,-84.1428200,424.0
34.24355000,-84.1429100,423.0
34.24351000,-84.1429200,424.0
34.24343000,-84.1429000,426.0
34.24336000,-84.1428800,427.0
34.24317000,-84.1427700,431.0
34.24305000,-84.1426500,434.0
34.24300000,-84.1426400,435.0
34.24298000,-84.1426900,435.0
34.24298000,-84.1427800,434.0
34.24299000,-84.1428800,434.0
34.24301000,-84.1429700,433.0
34.24301000,-84.1432100,431.0
34.24297000,-84.1432900,431.0
34.24285000,-84.1434400,431.0
34.24274000,-84.1435200,432.0
34.24263000,-84.1436100,433.0
34.24252000,-84.1437400,435.0
34.24241000,-84.1439100,436.0
34.24229000,-84.1441000,440.0
34.24225000,-84.1441900,442.0
34.24227000,-84.1442900,443.0
34.24235000,-84.1443800,443.0
34.24247000,-84.1444600,441.0
34.24253000,-84.1444400,439.0
34.24261000,-84.1444000,437.0
34.24272000,-84.1443200,433.0
34.24283000,-84.1442500,431.0
34.24298000,-84.1442300,430.0
34.24314000,-84.1442600,427.0
34.24322000,-84.1443300,426.0
34.24328000,-84.1444300,425.0
34.24330000,-84.1445500,426.0
34.24327000,-84.1447100,430.0
34.24326000,-84.1448400,431.0
34.24320000,-84.1449400,433.0
34.24316000,-84.1450400,434.0
34.24316000,-84.1451800,435.0
34.24319000,-84.1452600,435.0
34.24321000,-84.1453600,435.0
34.24322000,-84.1454100,435.0
34.24322000,-84.1454800,436.0
34.24322000,-84.1456100,436.0
34.24323000,-84.1458700,439.0
34.24321000,-84.1461200,442.0
34.24316000,-84.1464600,443.0
34.24310000,-84.1466100,442.0
34.24304000,-84.1468000,441.0
34.24299000,-84.1469600,442.0
34.24299000,-84.1470600,441.0
34.24296000,-84.1471300,441.0
34.24296000,-84.1472200,440.0
34.24296000,-84.1473500,437.0
34.24292000,-84.1475200,435.0
34.24292000,-84.1475400,435.0
34.24289000,-84.1476700,434.0
34.24285000,-84.1477100,435.0
34.24282000,-84.1477600,435.0
34.24280000,-84.1478100,435.0
34.24277000,-84.1478600,436.0
34.24274000,-84.1479100,437.0
34.24271000,-84.1479600,437.0
34.24269000,-84.1480000,437.0
34.24266000,-84.1480500,438.0
34.24263000,-84.1480900,438.0
34.24260000,-84.1481400,438.0
34.24256000,-84.1481900,438.0
34.24253000,-84.1482400,438.0
34.24251000,-84.1482900,438.0
34.24250000,-84.1483500,437.0
34.24249000,-84.1484000,437.0
34.24248000,-84.1484600,436.0
34.24246000,-84.1485100,435.0
34.24244000,-84.1485600,434.0
34.24242000,-84.1486100,434.0
34.24238000,-84.1486500,433.0
34.24234000,-84.1486800,433.0
34.24232000,-84.1487000,433.0
34.24205000,-84.1488400,431.0
34.24201000,-84.1488700,430.0
34.24197000,-84.1488900,429.0
34.24193000,-84.1489200,428.0
34.24189000,-84.1489500,427.0
34.24184000,-84.1489700,427.0
34.24180000,-84.1489900,426.0
34.24176000,-84.1490100,425.0
34.24173000,-84.1490200,425.0
34.24129000,-84.1492100,421.0
34.24124000,-84.1492300,421.0
34.24120000,-84.1492600,420.0
34.24116000,-84.1492900,419.0
34.24112000,-84.1493200,419.0
34.24108000,-84.1493500,418.0
34.24103000,-84.1493700,418.0
34.24099000,-84.1493800,418.0
34.24094000,-84.1493800,418.0
34.24090000,-84.1493900,419.0
34.24085000,-84.1494000,419.0
34.24080000,-84.1494100,420.0
34.24075000,-84.1494200,420.0
34.24070000,-84.1494300,421.0
34.24066000,-84.1494300,422.0
34.24061000,-84.1494200,423.0
34.24056000,-84.1494100,424.0
34.24052000,-84.1493900,425.0
34.24047000,-84.1493900,425.0
34.24044000,-84.1494100,425.0
34.24033000,-84.1494500,425.0
34.24029000,-84.1494800,425.0
34.24024000,-84.1495100,423.0
34.24019000,-84.1495200,422.0
34.24014000,-84.1495300,421.0
34.24010000,-84.1495200,420.0
34.24006000,-84.1494900,420.0
34.24003000,-84.1494500,420.0
34.24001000,-84.1493900,421.0
34.23999000,-84.1493300,422.0
34.23997000,-84.1492900,422.0
34.23997000,-84.1492800,422.0
34.23994000,-84.1492100,424.0
34.23993000,-84.1491800,424.0
34.23991000,-84.1489700,428.0
34.23989000,-84.1488300,430.0
34.23985000,-84.1487500,431.0
34.23974000,-84.1487000,431.0
34.23961000,-84.1486800,432.0
34.23952000,-84.1487500,431.0
34.23945000,-84.1487400,432.0
34.23930000,-84.1487400,433.0
34.23927000,-84.1487600,433.0
34.23922000,-84.1488100,433.0
34.23919000,-84.1488700,432.0
34.23918000,-84.1489400,432.0
34.23917000,-84.1489900,432.0
34.23915000,-84.1490500,432.0
34.23914000,-84.1491100,431.0
34.23913000,-84.1491700,431.0
34.23911000,-84.1492300,431.0
34.23910000,-84.1492800,430.0
34.23909000,-84.1493400,430.0
34.23908000,-84.1494000,430.0
34.23907000,-84.1494600,429.0
34.23906000,-84.1495200,429.0
34.23905000,-84.1495700,429.0
34.23904000,-84.1496300,429.0
34.23903000,-84.1496900,429.0
34.23903000,-84.1497500,429.0
34.23905000,-84.1498100,429.0
34.23906000,-84.1498700,428.0
34.23908000,-84.1499400,428.0
34.23908000,-84.1500000,428.0
34.23909000,-84.1500600,428.0
34.23910000,-84.1501100,428.0
34.23910000,-84.1501500,428.0
34.23909000,-84.1502400,428.0
34.23911000,-84.1502900,427.0
34.23917000,-84.1503400,426.0
34.23929000,-84.1504000,425.0
34.23937000,-84.1504500,425.0
34.23943000,-84.1505100,424.0
34.23953000,-84.1505700,424.0
34.23967000,-84.1506900,423.0
34.23978000,-84.1507400,423.0
34.23989000,-84.1507600,422.0
34.24006000,-84.1508300,422.0
34.24015000,-84.1508800,421.0
34.24019000,-84.1508800,420.0
34.24025000,-84.1509100,420.0
34.24028000,-84.1509500,421.0
34.24035000,-84.1510100,422.0
34.24042000,-84.1510400,422.0
34.24047000,-84.1510300,422.0
34.24055000,-84.1510200,422.0
34.24063000,-84.1509800,423.0
34.24073000,-84.1509700,425.0
34.24094000,-84.1509500,428.0
34.24111000,-84.1510000,432.0
34.24117000,-84.1509800,431.0
34.24125000,-84.1510100,432.0
34.24135000,-84.1510800,434.0
34.24146000,-84.1512600,437.0
34.24155000,-84.1513600,437.0
34.24167000,-84.1514800,438.0
34.24189000,-84.1516900,441.0
34.24195000,-84.1518200,443.0
34.24202000,-84.1519200,443.0
34.24207000,-84.1520300,445.0
34.24216000,-84.1521200,445.0
34.24224000,-84.1521800,444.0
34.24232000,-84.1522700,444.0
34.24234000,-84.1524600,446.0
34.24242000,-84.1526400,444.0
34.24242000,-84.1527600,444.0
34.24236000,-84.1529800,445.0
34.24231000,-84.1530900,447.0
34.24225000,-84.1532900,449.0
34.24221000,-84.1534400,451.0
34.24212000,-84.1535800,455.0
34.24211000,-84.1537700,456.0
34.24221000,-84.1540500,452.0
34.24220000,-84.1542000,454.0
34.24219000,-84.1544300,455.0
34.24218000,-84.1546800,455.0
34.24216000,-84.1548700,455.0
34.24212000,-84.1549600,456.0
34.24205000,-84.1551300,457.0
34.24197000,-84.1552500,459.0
34.24186000,-84.1554300,461.0
34.24183000,-84.1556700,460.0
34.24176000,-84.1557900,461.0
34.24167000,-84.1559200,461.0
34.24161000,-84.1560800,462.0
34.24152000,-84.1562700,462.0
34.24147000,-84.1563700,462.0
34.24139000,-84.1565200,465.0
34.24134000,-84.1567000,467.0
34.24130000,-84.1567700,469.0
34.24123000,-84.1568500,471.0
34.24108000,-84.1570000,476.0
34.24100000,-84.1571300,477.0
34.24104000,-84.1572100,475.0
34.24105000,-84.1572900,474.0
34.24101000,-84.1573600,474.0
34.24097000,-84.1574500,475.0
34.24092000,-84.1575600,476.0
34.24091000,-84.1578300,474.0
34.24088000,-84.1579400,475.0
34.24085000,-84.1580400,475.0
34.24081000,-84.1582600,474.0
34.24071000,-84.1584500,475.0
34.24062000,-84.1585800,477.0
34.24049000,-84.1586400,480.0
34.24042000,-84.1587000,480.0
34.24036000,-84.1588300,479.0
34.24023000,-84.1588800,482.0
34.24018000,-84.1589600,481.0
34.24011000,-84.1590500,480.0
34.24007000,-84.1591700,478.0
34.24005000,-84.1593100,476.0
34.24002000,-84.1593500,476.0
34.23991000,-84.1594600,476.0
34.23985000,-84.1595200,476.0
34.23978000,-84.1595300,476.0
34.23964000,-84.1595900,478.0
34.23956000,-84.1596600,478.0
34.23950000,-84.1596200,480.0
34.23944000,-84.1596300,481.0
34.23932000,-84.1596900,485.0
34.23919000,-84.1597400,490.0
34.23905000,-84.1597900,492.0
34.23898000,-84.1599100,494.0
34.23895000,-84.1599400,494.0
34.23895000,-84.1600100,495.0
34.23900000,-84.1601000,494.0
34.23905000,-84.1601500,494.0
34.23912000,-84.1602000,492.0
34.23917000,-84.1602900,490.0
34.23919000,-84.1603800,488.0
34.23916000,-84.1603900,490.0
34.23905000,-84.1603600,493.0
34.23894000,-84.1603900,497.0
