Latitude,Longitude,Elevation
34.14806000,-84.7072500,295.0
34.14809000,-84.7072900,295.0
34.14813000,-84.7073300,295.0
34.14817000,-84.7073600,295.0
34.14821000,-84.7073700,294.0
34.14826000,-84.7073800,294.0
34.14831000,-84.7073800,294.0
34.14835000,-84.7073600,294.0
34.14839000,-84.7073400,294.0
34.14843000,-84.7073000,294.0
34.14844000,-84.7073000,294.0
34.14847000,-84.7072600,294.0
34.14850000,-84.7072300,294.0
34.14855000,-84.7072400,294.0
34.14860000,-84.7072500,294.0
34.14864000,-84.7072600,294.0
34.14869000,-84.7072600,295.0
34.14873000,-84.7072600,295.0
34.14878000,-84.7072600,295.0
34.14883000,-84.7072600,295.0
34.14887000,-84.7072600,295.0
34.14892000,-84.7072800,295.0
34.14896000,-84.7073000,295.0
34.14897000,-84.7073100,295.0
34.14904000,-84.7073500,294.0
34.14908000,-84.7073600,294.0
34.14913000,-84.7073500,294.0
34.14917000,-84.7073400,294.0
34.14921000,-84.7073100,294.0
34.14924000,-84.7072600,294.0
34.14925000,-84.7072400,294.0
34.14927000,-84.7071800,294.0
34.14930000,-84.7071300,294.0
34.14933000,-84.7070900,294.0
34.14937000,-84.7070600,294.0
34.14942000,-84.7070300,294.0
34.14946000,-84.7070000,294.0
34.14949000,-84.7069800,295.0
34.14958000,-84.7068900,295.0
34.14962000,-84.7068500,295.0
34.14966000,-84.7068100,295.0
34.14969000,-84.7067700,295.0
34.14970000,-84.7067600,294.0
34.14978000,-84.7066500,294.0
34.14981000,-84.7066100,294.0
34.14985000,-84.7065700,294.0
34.14988000,-84.7065300,294.0
34.14992000,-84.7064900,294.0
34.14996000,-84.7064600,294.0
34.14999000,-84.7064200,294.0
34.15003000,-84.7063900,295.0
34.15011000,-84.7063200,295.0
34.15016000,-84.7062900,295.0
34.15020000,-84.7062700,295.0
34.15025000,-84.7062600,295.0
34.15030000,-84.7062500,294.0
34.15034000,-84.7062500,294.0
34.15039000,-84.7062500,294.0
34.15043000,-84.7062500,294.0
34.15053000,-84.7062600,294.0
34.15057000,-84.7062600,294.0
34.15062000,-84.7062600,294.0
34.15067000,-84.7062700,294.0
34.15072000,-84.7062900,295.0
34.15076000,-84.7063200,295.0
34.15080000,-84.7063500,295.0
34.15085000,-84.7063700,295.0
34.15089000,-84.7063700,295.0
34.15093000,-84.7063500,295.0
34.15098000,-84.7063000,294.0
34.15101000,-84.7062600,294.0
34.15104000,-84.7062100,293.0
34.15106000,-84.7061500,293.0
34.15108000,-84.7061000,293.0
34.15109000,-84.7060500,292.0
34.15109000,-84.7059700,292.0
34.15108000,-84.7059100,291.0
34.15106000,-84.7058600,291.0
34.15104000,-84.7058000,291.0
34.15103000,-84.7057500,290.0
34.15102000,-84.7056900,290.0
34.15101000,-84.7056400,289.0
34.15101000,-84.7055800,289.0
34.15104000,-84.7055300,289.0
34.15108000,-84.7055200,288.0
34.15113000,-84.7055200,288.0
34.15114000,-84.7055300,288.0
34.15119000,-84.7055600,288.0
34.15123000,-84.7056000,288.0
34.15127000,-84.7056400,287.0
34.15129000,-84.7056800,287.0
34.15131000,-84.7057300,288.0
34.15133000,-84.7057800,288.0
34.15137000,-84.7058200,288.0
34.15140000,-84.7058500,288.0
34.15145000,-84.7058700,287.0
34.15150000,-84.7058400,287.0
34.15153000,-84.7058000,286.0
34.15156000,-84.7057500,286.0
34.15158000,-84.7057200,285.0
34.15164000,-84.7056400,284.0
34.15168000,-84.7056000,284.0
34.15171000,-84.7055600,284.0
34.15175000,-84.7055300,284.0
34.15179000,-84.7054900,284.0
34.15183000,-84.7054700,284.0
34.15187000,-84.7054500,284.0
34.15197000,-84.7053900,283.0
34.15212000,-84.7053400,282.0
34.15223000,-84.7053300,281.0
34.15228000,-84.7053300,280.0
34.15233000,-84.7053400,280.0
34.15238000,-84.7053700,279.0
34.15241000,-84.7054000,279.0
34.15245000,-84.7054400,279.0
34.15247000,-84.7054900,279.0
34.15249000,-84.7055400,280.0
34.15250000,-84.7055900,280.0
34.15250000,-84.7056500,280.0
34.15251000,-84.7057000,281.0
34.15251000,-84.7057300,281.0
34.15254000,-84.7058100,281.0
34.15254000,-84.7058700,282.0
34.15254000,-84.7059300,283.0
34.15255000,-84.7059900,284.0
34.15255000,-84.7060500,284.0
34.15255000,-84.7061000,285.0
34.15256000,-84.7061600,286.0
34.15256000,-84.7062200,287.0
34.15257000,-84.7062800,288.0
34.15258000,-84.7063400,289.0
34.15258000,-84.7063600,289.0
34.15259000,-84.7064300,290.0
34.15260000,-84.7064900,291.0
34.15261000,-84.7065500,292.0
34.15262000,-84.7066000,292.0
34.15263000,-84.7066600,293.0
34.15265000,-84.7066900,293.0
34.15269000,-84.7067300,293.0
34.15274000,-84.7067300,292.0
34.15277000,-84.7066900,292.0
34.15277000,-84.7066300,291.0
34.15276000,-84.7065700,290.0
34.15276000,-84.7065200,290.0
34.15277000,-84.7064600,289.0
34.15277000,-84.7064400,288.0
34.15279000,-84.7063600,287.0
34.15280000,-84.7063000,286.0
34.15281000,-84.7062400,285.0
34.15283000,-84.7061900,285.0
34.15286000,-84.7061500,284.0
34.15291000,-84.7061200,284.0
34.15295000,-84.7060900,283.0
34.15299000,-84.7060800,283.0
34.15300000,-84.7060800,283.0
34.15307000,-84.7061000,283.0
34.15312000,-84.7061200,284.0
34.15316000,-84.7061400,284.0
34.15321000,-84.7061600,285.0
34.15325000,-84.7061800,285.0
34.15329000,-84.7062100,286.0
34.15334000,-84.7062300,287.0
34.15338000,-84.7062600,288.0
34.15342000,-84.7062900,288.0
34.15346000,-84.7063100,289.0
34.15351000,-84.7063300,289.0
34.15355000,-84.7063600,289.0
34.15359000,-84.7064000,290.0
34.15360000,-84.7064200,290.0
34.15365000,-84.7064900,291.0
34.15369000,-84.7065200,290.0
34.15373000,-84.7065500,290.0
34.15377000,-84.7065700,289.0
34.15381000,-84.7065900,289.0
34.15386000,-84.7066200,288.0
34.15390000,-84.7066400,288.0
34.15395000,-84.7066700,288.0
34.15398000,-84.7066900,288.0
34.15408000,-84.7067500,287.0
34.15413000,-84.7067900,288.0
34.15417000,-84.7068200,288.0
34.15421000,-84.7068600,288.0
34.15424000,-84.7068900,288.0
34.15428000,-84.7069300,288.0
34.15431000,-84.7069800,288.0
