Latitude,Longitude,Elevation
34.15467000,-84.7024800,264.0
34.15465000,-84.7025500,264.0
34.15467000,-84.7025700,265.0
34.15468000,-84.7026000,265.0
34.15469000,-84.7026300,265.0
34.15469000,-84.7026500,265.0
34.15483000,-84.7028100,268.0
34.15496000,-84.7030300,274.0
34.15496000,-84.7030100,273.0
34.15506000,-84.7030700,275.0
34.15517000,-84.7030900,277.0
34.15524000,-84.7031200,278.0
34.15527000,-84.7031300,278.0
34.15530000,-84.7031500,279.0
34.15535000,-84.7031600,279.0
34.15543000,-84.7032200,280.0
34.15548000,-84.7032300,281.0
34.15553000,-84.7032200,281.0
34.15557000,-84.7032300,282.0
34.15560000,-84.7032500,282.0
34.15567000,-84.7033200,282.0
34.15570000,-84.7033400,283.0
34.15578000,-84.7034100,283.0
34.15591000,-84.7034500,283.0
34.15595000,-84.7034500,283.0
34.15598000,-84.7034700,283.0
34.15601000,-84.7034800,283.0
34.15602000,-84.7034900,283.0
34.15605000,-84.7035100,283.0
34.15609000,-84.7035200,283.0
34.15615000,-84.7035600,283.0
34.15618000,-84.7035800,284.0
34.15626000,-84.7036000,284.0
34.15631000,-84.7036000,284.0
34.15635000,-84.7036200,284.0
34.15648000,-84.7037400,286.0
34.15659000,-84.7038100,286.0
34.15664000,-84.7038600,286.0
34.15671000,-84.7039900,286.0
34.15674000,-84.7040700,286.0
34.15675000,-84.7040800,286.0
34.15675000,-84.7041400,286.0
34.15677000,-84.7042200,285.0
34.15680000,-84.7043300,284.0
34.15680000,-84.7043700,284.0
34.15682000,-84.7044200,284.0
34.15686000,-84.7044600,283.0
34.15705000,-84.7045700,283.0
34.15714000,-84.7046400,282.0
34.15716000,-84.7046800,282.0
34.15723000,-84.7048400,283.0
34.15724000,-84.7048700,283.0
34.15724000,-84.7048900,283.0
34.15723000,-84.7049100,283.0
34.15722000,-84.7049700,283.0
34.15720000,-84.7050400,284.0
34.15720000,-84.7051100,284.0
34.15721000,-84.7051600,284.0
34.15726000,-84.7052300,284.0
34.15728000,-84.7053000,285.0
34.15728000,-84.7053500,285.0
34.15725000,-84.7054300,285.0
34.15725000,-84.7054600,285.0
34.15724000,-84.7055000,285.0
34.15724000,-84.7055400,285.0
34.15724000,-84.7055800,286.0
34.15724000,-84.7056100,286.0
34.15728000,-84.7056500,286.0
34.15735000,-84.7056900,286.0
34.15743000,-84.7057100,285.0
34.15751000,-84.7057100,285.0
