Latitude,Longitude,Elevation
34.24511000,-84.1388600,439.0
34.24508000,-84.1388100,438.0
34.24503000,-84.1388300,438.0
34.24500000,-84.1388700,438.0
34.24499000,-84.1389400,438.0
34.24498000,-84.1389900,438.0
34.24498000,-84.1390700,438.0
34.24498000,-84.1391400,438.0
34.24498000,-84.1392000,438.0
34.24498000,-84.1392700,438.0
34.24498000,-84.1393500,437.0
34.24500000,-84.1394300,437.0
34.24501000,-84.1394800,436.0
34.24501000,-84.1395400,435.0
34.24494000,-84.1395700,435.0
34.24487000,-84.1395800,434.0
34.24482000,-84.1395900,434.0
34.24477000,-84.1395900,434.0
34.24471000,-84.1396100,433.0
34.24467000,-84.1396500,432.0
34.24463000,-84.1396800,431.0
34.24460000,-84.1397300,429.0
34.24457000,-84.1397800,429.0
34.24454000,-84.1398200,428.0
34.24451000,-84.1399000,427.0
34.24449000,-84.1399600,426.0
34.24448000,-84.1400100,426.0
34.24449000,-84.1400800,427.0
34.24449000,-84.1401400,427.0
34.24450000,-84.1402000,427.0
34.24452000,-84.1402700,428.0
34.24457000,-84.1403500,429.0
34.24457000,-84.1404100,429.0
34.24454000,-84.1404500,428.0
34.24451000,-84.1405000,427.0
34.24449000,-84.1405600,426.0
34.24448000,-84.1406200,425.0
34.24447000,-84.1406800,424.0
34.24449000,-84.1407500,425.0
34.24451000,-84.1408100,425.0
34.24453000,-84.1408700,425.0
34.24454000,-84.1409300,425.0
34.24456000,-84.1410000,425.0
34.24457000,-84.1410900,425.0
34.24457000,-84.1411500,424.0
34.24459000,-84.1412100,425.0
34.24461000,-84.1412600,425.0
34.24464000,-84.1413100,426.0
34.24467000,-84.1413600,427.0
34.24470000,-84.1414000,427.0
34.24474000,-84.1414500,428.0
34.24479000,-84.1415000,428.0
34.24484000,-84.1415500,428.0
34.24487000,-84.1416000,428.0
34.24491000,-84.1416800,428.0
34.24495000,-84.1417400,427.0
34.24499000,-84.1417900,427.0
34.24504000,-84.1418300,426.0
34.24509000,-84.1418700,426.0
34.24515000,-84.1419100,426.0
34.24519000,-84.1419500,425.0
34.24525000,-84.1419700,426.0
34.24530000,-84.1419900,426.0
34.24537000,-84.1420200,427.0
34.24542000,-84.1420400,428.0
34.24547000,-84.1420700,428.0
34.24552000,-84.1420900,429.0
34.24557000,-84.1421200,429.0
34.24564000,-84.1421400,430.0
34.24569000,-84.1421500,430.0
