Latitude,Longitude,Elevation
34.24507000,-84.1388300,438.0
34.24513000,-84.1388300,439.0
34.24518000,-84.1388300,439.0
34.24523000,-84.1388400,439.0
34.24528000,-84.1388600,440.0
34.24533000,-84.1388800,440.0
34.24537000,-84.1389300,440.0
34.24541000,-84.1389600,440.0
34.24544000,-84.1390200,440.0
34.24544000,-84.1390400,440.0
34.24547000,-84.1390800,440.0
34.24552000,-84.1391000,440.0
34.24557000,-84.1391000,441.0
34.24562000,-84.1390800,441.0
34.24567000,-84.1390500,442.0
34.24570000,-84.1390200,442.0
34.24573000,-84.1389700,442.0
34.24577000,-84.1389300,442.0
34.24581000,-84.1389100,442.0
34.24582000,-84.1389100,442.0
34.24584000,-84.1389100,443.0
34.24589000,-84.1389100,443.0
34.24593000,-84.1389000,443.0
34.24598000,-84.1388800,443.0
34.24602000,-84.1388700,443.0
34.24607000,-84.1388500,443.0
34.24612000,-84.1388200,444.0
34.24616000,-84.1387900,444.0
34.24621000,-84.1387700,445.0
34.24625000,-84.1387600,445.0
34.24630000,-84.1387500,445.0
34.24634000,-84.1387400,446.0
34.24639000,-84.1387100,446.0
34.24643000,-84.1386800,446.0
34.24649000,-84.1386500,447.0
34.24654000,-84.1386000,447.0
34.24658000,-84.1385700,448.0
34.24658000,-84.1385200,448.0
34.24655000,-84.1384800,448.0
34.24651000,-84.1384500,448.0
34.24648000,-84.1384100,448.0
34.24645000,-84.1383600,448.0
34.24643000,-84.1383100,448.0
34.24641000,-84.1383000,448.0
34.24641000,-84.1382300,448.0
34.24640000,-84.1381700,448.0
34.24639000,-84.1381100,448.0
34.24637000,-84.1380500,448.0
34.24634000,-84.1379900,448.0
34.24632000,-84.1379400,447.0
34.24631000,-84.1378800,447.0
34.24629000,-84.1378200,446.0
34.24628000,-84.1378100,446.0
34.24628000,-84.1377300,446.0
34.24628000,-84.1376700,446.0
34.24628000,-84.1376000,446.0
34.24628000,-84.1375400,445.0
34.24628000,-84.1374700,445.0
34.24627000,-84.1374200,445.0
34.24626000,-84.1373700,445.0
34.24625000,-84.1373100,445.0
34.24624000,-84.1372500,446.0
34.24626000,-84.1372000,446.0
34.24627000,-84.1371900,446.0
34.24631000,-84.1371300,446.0
34.24634000,-84.1370800,446.0
34.24637000,-84.1370400,446.0
34.24641000,-84.1370000,447.0
34.24645000,-84.1369600,447.0
34.24649000,-84.1369400,448.0
34.24653000,-84.1369200,448.0
34.24657000,-84.1368900,448.0
34.24661000,-84.1368600,449.0
34.24665000,-84.1368200,449.0
34.24668000,-84.1367800,449.0
34.24672000,-84.1367600,450.0
34.24677000,-84.1367600,451.0
34.24680000,-84.1368000,451.0
34.24681000,-84.1368500,452.0
34.24683000,-84.1369100,453.0
34.24683000,-84.1369700,453.0
34.24684000,-84.1370300,453.0
34.24685000,-84.1370900,453.0
34.24686000,-84.1371600,453.0
34.24688000,-84.1372400,454.0
34.24690000,-84.1373000,454.0
34.24692000,-84.1373600,454.0
34.24693000,-84.1374200,454.0
34.24695000,-84.1374800,454.0
34.24698000,-84.1375400,455.0
34.24702000,-84.1375700,456.0
34.24707000,-84.1375700,458.0
34.24711000,-84.1375300,459.0
34.24713000,-84.1374700,460.0
34.24714000,-84.1374200,460.0
34.24714000,-84.1373600,460.0
34.24718000,-84.1373100,462.0
34.24720000,-84.1372600,462.0
34.24722000,-84.1372100,462.0
34.24724000,-84.1371500,462.0
34.24726000,-84.1371000,462.0
34.24728000,-84.1370500,462.0
34.24731000,-84.1370000,463.0
34.24733000,-84.1369700,463.0
34.24733000,-84.1369500,463.0
34.24737000,-84.1369000,463.0
34.24743000,-84.1368400,464.0
34.24747000,-84.1367900,464.0
34.24751000,-84.1367400,465.0
34.24754000,-84.1367000,465.0
34.24759000,-84.1366500,466.0
34.24763000,-84.1366100,466.0
34.24769000,-84.1365400,467.0
34.24774000,-84.1364800,467.0
34.24778000,-84.1364300,467.0
34.24782000,-84.1364100,469.0
34.24787000,-84.1363800,471.0
34.24791000,-84.1363500,472.0
34.24796000,-84.1363200,474.0
34.24802000,-84.1362900,476.0
34.24808000,-84.1362600,477.0
34.24813000,-84.1362300,477.0
34.24818000,-84.1362100,477.0
34.24826000,-84.1361900,478.0
34.24830000,-84.1361700,479.0
34.24836000,-84.1361500,479.0
34.24842000,-84.1361400,478.0
34.24852000,-84.1361400,478.0
34.24860000,-84.1361600,477.0
34.24864000,-84.1361800,478.0
34.24869000,-84.1362000,479.0
34.24874000,-84.1362400,480.0
34.24879000,-84.1362700,481.0
34.24883000,-84.1362900,482.0
34.24888000,-84.1363200,484.0
34.24893000,-84.1363300,485.0
34.24898000,-84.1363200,487.0
34.24899000,-84.1362700,486.0
34.24901000,-84.1362100,485.0
34.24902000,-84.1361800,485.0
34.24903000,-84.1361600,485.0
34.24905000,-84.1361000,485.0
34.24909000,-84.1360300,486.0
34.24911000,-84.1359900,487.0
34.24914000,-84.1359400,488.0
34.24916000,-84.1358900,488.0
34.24918000,-84.1358400,489.0
34.24921000,-84.1357900,490.0
34.24923000,-84.1357300,491.0
34.24924000,-84.1356900,491.0
34.24925000,-84.1356800,492.0
34.24927000,-84.1356300,492.0
34.24931000,-84.1355700,494.0
34.24933000,-84.1355200,494.0
34.24935000,-84.1354600,494.0
34.24935000,-84.1354200,494.0
34.24935000,-84.1354100,494.0
34.24939000,-84.1353500,495.0
34.24942000,-84.1352900,496.0
34.24944000,-84.1352400,496.0
34.24946000,-84.1351900,496.0
34.24947000,-84.1351400,496.0
34.24948000,-84.1350600,496.0
34.24945000,-84.1349200,495.0
34.24944000,-84.1348600,494.0
34.24943000,-84.1348100,494.0
34.24943000,-84.1347400,494.0
34.24943000,-84.1346800,494.0
34.24942000,-84.1346200,494.0
34.24942000,-84.1346100,494.0
34.24942000,-84.1345800,494.0
34.24943000,-84.1344800,495.0
34.24943000,-84.1344100,496.0
34.24943000,-84.1343500,496.0
34.24944000,-84.1342800,497.0
34.24944000,-84.1342300,498.0
34.24944000,-84.1341500,499.0
34.24944000,-84.1341400,499.0
34.24945000,-84.1340800,499.0
34.24946000,-84.1340300,500.0
34.24947000,-84.1339700,500.0
34.24950000,-84.1339300,501.0
34.24955000,-84.1339200,501.0
34.24957000,-84.1339700,501.0
34.24958000,-84.1340300,501.0
34.24959000,-84.1340500,501.0
34.24959000,-84.1341100,501.0
34.24961000,-84.1341700,501.0
34.24964000,-84.1342300,501.0
34.24966000,-84.1342900,502.0
34.24968000,-84.1343400,503.0
34.24971000,-84.1343900,504.0
34.24974000,-84.1344300,505.0
34.24975000,-84.1344400,505.0
34.24977000,-84.1345000,506.0
34.24980000,-84.1345600,508.0
34.24983000,-84.1346100,508.0
34.24985000,-84.1346500,509.0
34.24988000,-84.1347100,510.0
34.24990000,-84.1347700,509.0
34.24992000,-84.1347900,509.0
34.24994000,-84.1348500,509.0
34.24997000,-84.1349000,509.0
34.24999000,-84.1349500,508.0
34.25001000,-84.1350100,507.0
34.25001000,-84.1350200,507.0
34.25005000,-84.1350600,506.0
34.25009000,-84.1350700,505.0
34.25014000,-84.1350600,504.0
34.25016000,-84.1350100,504.0
34.25019000,-84.1349600,504.0
34.25020000,-84.1349000,506.0
34.25020000,-84.1348500,507.0
34.25018000,-84.1347900,509.0
34.25018000,-84.1347700,509.0
34.25018000,-84.1347500,510.0
34.25021000,-84.1347000,510.0
34.25023000,-84.1346500,511.0
34.25025000,-84.1345900,512.0
34.25027000,-84.1345500,513.0
34.25025000,-84.1345900,512.0
34.25023000,-84.1346500,511.0
34.25021000,-84.1347000,510.0
34.25018000,-84.1347500,510.0
34.25018000,-84.1347700,509.0
34.25018000,-84.1347900,509.0
34.25020000,-84.1348500,507.0
34.25020000,-84.1349000,506.0
34.25019000,-84.1349600,504.0
34.25016000,-84.1350100,504.0
34.25014000,-84.1350600,504.0
34.25009000,-84.1350700,505.0
34.25005000,-84.1350600,506.0
34.25001000,-84.1350200,507.0
34.25001000,-84.1350100,507.0
34.24999000,-84.1349500,508.0
34.24997000,-84.1349000,509.0
34.24994000,-84.1348500,509.0
34.24992000,-84.1347900,509.0
34.24990000,-84.1347700,509.0
34.24988000,-84.1347100,510.0
34.24985000,-84.1346500,509.0
34.24983000,-84.1346100,508.0
34.24980000,-84.1345600,508.0
34.24977000,-84.1345000,506.0
34.24975000,-84.1344400,505.0
34.24974000,-84.1344300,505.0
34.24971000,-84.1343900,504.0
34.24968000,-84.1343400,503.0
34.24966000,-84.1342900,502.0
34.24964000,-84.1342300,501.0
34.24961000,-84.1341700,501.0
34.24959000,-84.1341100,501.0
34.24959000,-84.1340500,501.0
34.24958000,-84.1340300,501.0
34.24957000,-84.1339700,501.0
34.24955000,-84.1339200,501.0
34.24950000,-84.1339300,501.0
34.24947000,-84.1339700,500.0
34.24946000,-84.1340300,500.0
34.24945000,-84.1340800,499.0
34.24944000,-84.1341400,499.0
34.24944000,-84.1341500,499.0
34.24944000,-84.1342300,498.0
34.24944000,-84.1342800,497.0
34.24943000,-84.1343500,496.0
34.24943000,-84.1344100,496.0
34.24943000,-84.1344800,495.0
34.24942000,-84.1345800,494.0
34.24942000,-84.1346100,494.0
34.24942000,-84.1346200,494.0
34.24943000,-84.1346800,494.0
34.24943000,-84.1347400,494.0
34.24943000,-84.1348100,494.0
34.24944000,-84.1348600,494.0
34.24945000,-84.1349200,495.0
34.24948000,-84.1350600,496.0
34.24947000,-84.1351400,496.0
34.24946000,-84.1351900,496.0
34.24944000,-84.1352400,496.0
34.24942000,-84.1352900,496.0
34.24939000,-84.1353500,495.0
34.24935000,-84.1354100,494.0
34.24935000,-84.1354200,494.0
34.24935000,-84.1354600,494.0
34.24933000,-84.1355200,494.0
34.24931000,-84.1355700,494.0
34.24927000,-84.1356300,492.0
34.24925000,-84.1356800,492.0
34.24924000,-84.1356900,491.0
34.24923000,-84.1357300,491.0
34.24921000,-84.1357900,490.0
34.24918000,-84.1358400,489.0
34.24916000,-84.1358900,488.0
34.24914000,-84.1359400,488.0
34.24911000,-84.1359900,487.0
34.24909000,-84.1360300,486.0
34.24905000,-84.1361000,485.0
34.24903000,-84.1361600,485.0
34.24902000,-84.1361800,485.0
34.24901000,-84.1362100,485.0
34.24899000,-84.1362700,486.0
34.24898000,-84.1363200,487.0
34.24893000,-84.1363300,485.0
34.24888000,-84.1363200,484.0
34.24883000,-84.1362900,482.0
34.24879000,-84.1362700,481.0
34.24874000,-84.1362400,480.0
34.24869000,-84.1362000,479.0
34.24864000,-84.1361800,478.0
34.24860000,-84.1361600,477.0
34.24852000,-84.1361400,478.0
34.24842000,-84.1361400,478.0
34.24836000,-84.1361500,479.0
34.24830000,-84.1361700,479.0
34.24826000,-84.1361900,478.0
34.24818000,-84.1362100,477.0
34.24813000,-84.1362300,477.0
34.24808000,-84.1362600,477.0
34.24802000,-84.1362900,476.0
34.24796000,-84.1363200,474.0
34.24791000,-84.1363500,472.0
34.24787000,-84.1363800,471.0
34.24782000,-84.1364100,469.0
34.24778000,-84.1364300,467.0
