Latitude,Longitude,Elevation
34.13973000,-84.7005800,286.0
34.13973000,-84.7006700,285.0
34.13976000,-84.7007900,285.0
34.13976000,-84.7009400,284.0
34.13967000,-84.7010300,284.0
34.13952000,-84.7011400,284.0
34.13946000,-84.7011800,284.0
34.13939000,-84.7012600,285.0
34.13912000,-84.7014600,284.0
34.13909000,-84.7014000,284.0
34.13908000,-84.7013100,284.0
34.13917000,-84.7011000,285.0
34.13930000,-84.7009000,285.0
34.13934000,-84.7006800,285.0
34.13934000,-84.7005300,285.0
34.13928000,-84.7003600,285.0
34.13922000,-84.7002800,285.0
34.13914000,-84.7003400,286.0
34.13908000,-84.7004100,286.0
34.13905000,-84.7005000,286.0
34.13904000,-84.7005600,285.0
34.13901000,-84.7006300,285.0
34.13896000,-84.7007200,285.0
34.13886000,-84.7008400,284.0
34.13883000,-84.7008900,284.0
34.13873000,-84.7009900,283.0
34.13861000,-84.7010600,282.0
34.13855000,-84.7010900,281.0
34.13847000,-84.7010800,281.0
34.13842000,-84.7010700,281.0
34.13838000,-84.7010500,281.0
34.13833000,-84.7010200,280.0
34.13828000,-84.7009700,280.0
34.13819000,-84.7008600,280.0
34.13812000,-84.7007500,280.0
34.13808000,-84.7006400,280.0
34.13805000,-84.7005500,280.0
34.13805000,-84.7004800,280.0
34.13806000,-84.7004000,280.0
34.13806000,-84.7003300,280.0
34.13806000,-84.7002900,280.0
34.13803000,-84.7002200,281.0
34.13800000,-84.7001900,281.0
34.13798000,-84.7001600,281.0
34.13795000,-84.7001300,282.0
34.13791000,-84.7000900,282.0
34.13785000,-84.7000400,283.0
34.13774000,-84.6999800,283.0
34.13762000,-84.6999500,283.0
34.13755000,-84.6999200,283.0
34.13742000,-84.6999000,282.0
34.13733000,-84.6999000,282.0
34.13726000,-84.6998900,281.0
34.13720000,-84.6998700,281.0
34.13706000,-84.6998300,280.0
34.13690000,-84.6997800,280.0
34.13668000,-84.6997100,279.0
34.13659000,-84.6996900,280.0
34.13651000,-84.6996700,280.0
34.13642000,-84.6996400,280.0
34.13638000,-84.6996200,280.0
34.13634000,-84.6995800,280.0
34.13631000,-84.6995400,280.0
34.13628000,-84.6995000,280.0
34.13625000,-84.6994700,280.0
34.13620000,-84.6994200,279.0
34.13604000,-84.6993500,279.0
34.13595000,-84.6993200,278.0
34.13586000,-84.6993200,277.0
