Latitude,Longitude,Elevation
33.99507000,-84.3325100,322.0
33.99520000,-84.3324500,321.0
33.99524000,-84.3324200,321.0
33.99528000,-84.3323900,321.0
33.99531000,-84.3323500,321.0
33.99534000,-84.3322900,321.0
33.99535000,-84.3322400,320.0
33.99537000,-84.3321900,320.0
33.99539000,-84.3321400,319.0
33.99542000,-84.3320900,319.0
33.99545000,-84.3320500,318.0
33.99550000,-84.3320200,318.0
33.99555000,-84.3320000,318.0
33.99561000,-84.3319700,317.0
33.99565000,-84.3319400,317.0
33.99570000,-84.3319100,317.0
33.99574000,-84.3318700,317.0
33.99577000,-84.3318300,317.0
33.99581000,-84.3317800,317.0
33.99584000,-84.3317300,316.0
33.99587000,-84.3316700,316.0
33.99590000,-84.3316200,316.0
33.99591000,-84.3315700,316.0
33.99593000,-84.3315100,317.0
33.99596000,-84.3314500,316.0
33.99598000,-84.3314000,316.0
33.99601000,-84.3313400,315.0
33.99604000,-84.3313000,315.0
33.99607000,-84.3312400,313.0
33.99609000,-84.3311800,313.0
33.99611000,-84.3311300,312.0
33.99612000,-84.3310700,311.0
33.99613000,-84.3310000,310.0
33.99614000,-84.3309200,309.0
33.99616000,-84.3308700,308.0
33.99617000,-84.3308000,307.0
33.99620000,-84.3307500,307.0
33.99624000,-84.3307100,306.0
33.99628000,-84.3306600,306.0
33.99633000,-84.3306400,305.0
33.99638000,-84.3306100,305.0
33.99643000,-84.3305700,305.0
33.99646000,-84.3305200,304.0
33.99652000,-84.3304500,303.0
33.99655000,-84.3303900,302.0
33.99657000,-84.3303400,302.0
33.99660000,-84.3302800,301.0
33.99661000,-84.3302100,300.0
33.99664000,-84.3301500,299.0
33.99664000,-84.3300900,299.0
33.99663000,-84.3300200,298.0
33.99661000,-84.3299600,298.0
33.99657000,-84.3299200,298.0
33.99653000,-84.3298900,298.0
33.99649000,-84.3298400,299.0
33.99647000,-84.3297800,299.0
33.99647000,-84.3297000,298.0
33.99648000,-84.3296300,297.0
33.99648000,-84.3295800,297.0
33.99651000,-84.3295200,296.0
33.99654000,-84.3294800,296.0
33.99654000,-84.3294100,295.0
33.99654000,-84.3293500,294.0
33.99651000,-84.3293100,294.0
33.99646000,-84.3292500,293.0
33.99642000,-84.3292100,293.0
33.99635000,-84.3291900,293.0
33.99631000,-84.3291800,294.0
33.99625000,-84.3291800,295.0
33.99622000,-84.3292300,295.0
33.99619000,-84.3292700,296.0
33.99616000,-84.3293300,297.0
33.99615000,-84.3293900,298.0
33.99613000,-84.3294400,298.0
33.99613000,-84.3295100,299.0
33.99612000,-84.3295700,299.0
33.99611000,-84.3296200,300.0
33.99609000,-84.3296700,301.0
33.99605000,-84.3297100,301.0
33.99601000,-84.3297500,302.0
33.99596000,-84.3297700,303.0
33.99591000,-84.3297700,304.0
33.99586000,-84.3297700,305.0
33.99581000,-84.3297600,306.0
33.99577000,-84.3297300,306.0
33.99575000,-84.3296800,306.0
33.99577000,-84.3296300,305.0
33.99581000,-84.3295900,305.0
33.99585000,-84.3295500,304.0
33.99588000,-84.3295100,303.0
33.99589000,-84.3294400,302.0
33.99589000,-84.3293700,302.0
33.99590000,-84.3293100,301.0
33.99588000,-84.3292300,301.0
33.99587000,-84.3291600,301.0
33.99587000,-84.3290800,301.0
33.99587000,-84.3290100,300.0
33.99587000,-84.3289400,300.0
33.99587000,-84.3288800,300.0
33.99588000,-84.3288100,299.0
33.99588000,-84.3287400,299.0
33.99588000,-84.3286700,299.0
33.99588000,-84.3285900,298.0
33.99587000,-84.3285300,298.0
33.99586000,-84.3284600,298.0
33.99584000,-84.3283900,299.0
33.99583000,-84.3283300,299.0
33.99579000,-84.3282800,300.0
33.99576000,-84.3282400,301.0
33.99572000,-84.3282100,302.0
33.99568000,-84.3281800,303.0
33.99565000,-84.3281300,303.0
33.99564000,-84.3280700,303.0
33.99566000,-84.3280300,302.0
33.99568000,-84.3279700,301.0
33.99568000,-84.3279600,301.0
33.99580000,-84.3279000,298.0
33.99585000,-84.3279100,297.0
33.99589000,-84.3279600,297.0
33.99593000,-84.3279900,296.0
