Latitude,Longitude,Elevation
33.93337000,-84.6048200,340.0
33.93342000,-84.6046700,339.0
33.93344000,-84.6045800,339.0
33.93353000,-84.6044000,338.0
33.93363000,-84.6041600,339.0
33.93369000,-84.6040800,339.0
33.93372000,-84.6040400,339.0
33.93375000,-84.6040000,339.0
33.93378000,-84.6039500,339.0
33.93380000,-84.6039000,339.0
33.93382000,-84.6038500,339.0
33.93383000,-84.6037900,339.0
33.93383000,-84.6037300,339.0
33.93382000,-84.6036700,338.0
33.93382000,-84.6036100,338.0
33.93381000,-84.6035600,338.0
33.93381000,-84.6034900,338.0
33.93380000,-84.6034300,337.0
33.93380000,-84.6033800,337.0
33.93379000,-84.6033200,337.0
33.93379000,-84.6032600,337.0
33.93379000,-84.6032400,337.0
33.93376000,-84.6028300,335.0
33.93374000,-84.6027700,335.0
33.93374000,-84.6027100,335.0
33.93373000,-84.6026500,336.0
33.93371000,-84.6026000,336.0
33.93370000,-84.6025400,336.0
33.93368000,-84.6024900,337.0
33.93367000,-84.6024400,337.0
33.93366000,-84.6023800,337.0
33.93364000,-84.6023200,338.0
33.93363000,-84.6022700,338.0
33.93362000,-84.6022100,339.0
33.93361000,-84.6021500,339.0
33.93361000,-84.6021000,339.0
33.93361000,-84.6020400,339.0
33.93361000,-84.6019800,339.0
33.93362000,-84.6019200,338.0
33.93361000,-84.6018700,338.0
33.93360000,-84.6018200,337.0
33.93357000,-84.6016400,335.0
33.93354000,-84.6014400,334.0
33.93360000,-84.6014100,334.0
33.93371000,-84.6014000,334.0
33.93383000,-84.6013900,335.0
33.93401000,-84.6013300,335.0
33.93411000,-84.6012900,334.0
33.93418000,-84.6012700,334.0
33.93425000,-84.6011900,333.0
33.93428000,-84.6010700,332.0
33.93431000,-84.6010100,331.0
33.93432000,-84.6009400,330.0
33.93433000,-84.6008500,330.0
33.93432000,-84.6007700,329.0
33.93432000,-84.6006600,327.0
33.93434000,-84.6005500,326.0
33.93435000,-84.6004900,325.0
33.93429000,-84.6002800,323.0
33.93423000,-84.6001900,322.0
33.93423000,-84.6001300,322.0
33.93423000,-84.6000700,322.0
33.93424000,-84.6000100,322.0
33.93425000,-84.5999500,322.0
33.93426000,-84.5998900,323.0
33.93427000,-84.5998300,324.0
33.93429000,-84.5997800,324.0
33.93431000,-84.5997200,325.0
33.93432000,-84.5996600,326.0
33.93435000,-84.5996000,328.0
33.93437000,-84.5995500,329.0
33.93438000,-84.5994900,330.0
33.93440000,-84.5994200,331.0
33.93441000,-84.5993600,333.0
33.93442000,-84.5993100,334.0
33.93442000,-84.5992500,335.0
33.93442000,-84.5992000,336.0
33.93442000,-84.5991300,338.0
33.93442000,-84.5990800,339.0
33.93442000,-84.5990200,340.0
33.93443000,-84.5989700,341.0
33.93446000,-84.5989200,342.0
33.93450000,-84.5988900,343.0
33.93456000,-84.5989000,343.0
33.93461000,-84.5989100,343.0
33.93465000,-84.5989300,343.0
33.93468000,-84.5989500,343.0
