Latitude,Longitude,Elevation
33.98276000,-84.5780600,359.0
33.98273000,-84.5780600,360.0
33.98275000,-84.5780300,359.0
33.98276000,-84.5779900,360.0
33.98276000,-84.5778100,361.0
33.98277000,-84.5777500,362.0
33.98277000,-84.5774600,362.0
33.98278000,-84.5774000,363.0
33.98283000,-84.5772900,362.0
33.98285000,-84.5772100,362.0
33.98285000,-84.5771000,363.0
33.98286000,-84.5770300,363.0
33.98288000,-84.5769900,363.0
33.98292000,-84.5769300,361.0
33.98297000,-84.5768700,360.0
33.98301000,-84.5767700,359.0
33.98303000,-84.5767100,358.0
33.98304000,-84.5766800,358.0
33.98304000,-84.5766200,358.0
33.98306000,-84.5765200,358.0
33.98306000,-84.5764500,359.0
33.98308000,-84.5763400,359.0
33.98308000,-84.5762400,360.0
33.98310000,-84.5761200,360.0
33.98311000,-84.5760700,360.0
33.98311000,-84.5760200,360.0
33.98313000,-84.5759700,360.0
33.98313000,-84.5759100,360.0
33.98314000,-84.5758400,359.0
33.98315000,-84.5758000,359.0
33.98314000,-84.5757500,360.0
33.98314000,-84.5754500,360.0
33.98313000,-84.5754000,361.0
33.98313000,-84.5753600,361.0
33.98312000,-84.5753000,361.0
33.98312000,-84.5751300,362.0
33.98313000,-84.5750400,361.0
33.98315000,-84.5749600,361.0
33.98316000,-84.5748500,361.0
33.98318000,-84.5747500,361.0
33.98320000,-84.5746400,362.0
33.98320000,-84.5746000,362.0
33.98323000,-84.5745000,362.0
33.98324000,-84.5744400,363.0
33.98326000,-84.5743500,362.0
33.98326000,-84.5743100,362.0
33.98326000,-84.5742400,363.0
33.98327000,-84.5742000,363.0
33.98327000,-84.5741200,363.0
33.98326000,-84.5740500,363.0
33.98323000,-84.5739600,364.0
33.98321000,-84.5738900,365.0
33.98320000,-84.5738600,366.0
33.98318000,-84.5738200,367.0
33.98317000,-84.5737900,368.0
33.98313000,-84.5736800,371.0
33.98308000,-84.5736200,374.0
33.98303000,-84.5735700,376.0
33.98293000,-84.5735200,378.0
33.98288000,-84.5734600,379.0
33.98282000,-84.5733500,381.0
33.98279000,-84.5732300,381.0
33.98277000,-84.5731800,381.0
33.98274000,-84.5731200,381.0
33.98272000,-84.5730900,381.0
33.98268000,-84.5730600,381.0
33.98266000,-84.5730400,381.0
33.98264000,-84.5730300,381.0
33.98262000,-84.5730300,381.0
33.98255000,-84.5730400,382.0
33.98251000,-84.5730300,382.0
33.98240000,-84.5730300,383.0
33.98237000,-84.5730500,383.0
33.98229000,-84.5731300,384.0
33.98228000,-84.5731400,385.0
33.98223000,-84.5731600,385.0
33.98216000,-84.5731600,386.0
33.98214000,-84.5731400,386.0
33.98212000,-84.5731100,386.0
33.98207000,-84.5729900,386.0
33.98206000,-84.5729700,386.0
33.98202000,-84.5729000,386.0
33.98199000,-84.5728400,386.0
33.98196000,-84.5728000,386.0
33.98194000,-84.5727600,386.0
33.98191000,-84.5727100,386.0
33.98189000,-84.5726100,386.0
33.98185000,-84.5725500,386.0
33.98182000,-84.5725100,386.0
33.98178000,-84.5724800,386.0
33.98173000,-84.5724200,386.0
33.98169000,-84.5723700,387.0
33.98165000,-84.5723300,387.0
33.98159000,-84.5722200,387.0
33.98155000,-84.5721600,387.0
33.98149000,-84.5720500,387.0
33.98145000,-84.5719800,388.0
33.98142000,-84.5719400,388.0
33.98140000,-84.5719000,388.0
33.98135000,-84.5718300,389.0
33.98130000,-84.5717500,389.0
33.98121000,-84.5716200,390.0
33.98114000,-84.5715700,391.0
33.98113000,-84.5715500,391.0
33.98111000,-84.5715500,391.0
33.98100000,-84.5714600,392.0
33.98096000,-84.5714400,392.0
33.98091000,-84.5714000,392.0
33.98088000,-84.5713600,391.0
33.98084000,-84.5713000,390.0
33.98080000,-84.5712500,390.0
33.98078000,-84.5712000,389.0
33.98076000,-84.5711500,389.0
33.98073000,-84.5711000,389.0
33.98071000,-84.5710800,389.0
33.98069000,-84.5710500,389.0
33.98064000,-84.5710300,390.0
33.98060000,-84.5710200,390.0
33.98057000,-84.5710200,391.0
33.98054000,-84.5710200,391.0
33.98051000,-84.5710200,391.0
33.98046000,-84.5710300,392.0
33.98030000,-84.5711000,395.0
33.98024000,-84.5711100,396.0
33.98020000,-84.5711100,396.0
33.98015000,-84.5711000,396.0
33.98011000,-84.5710700,395.0
33.98005000,-84.5710300,394.0
33.98001000,-84.5709900,393.0
33.97996000,-84.5709600,393.0
33.97992000,-84.5709300,392.0
33.97986000,-84.5708700,391.0
33.97976000,-84.5707200,390.0
33.97966000,-84.5706000,389.0
33.97961000,-84.5705300,389.0
33.97951000,-84.5703700,388.0
33.97943000,-84.5702500,387.0
33.97937000,-84.5701700,387.0
33.97933000,-84.5701200,386.0
33.97928000,-84.5700700,386.0
33.97921000,-84.5700400,386.0
33.97913000,-84.5700200,386.0
33.97904000,-84.5700100,386.0
33.97898000,-84.5700300,386.0
33.97891000,-84.5700500,386.0
33.97885000,-84.5700800,386.0
33.97877000,-84.5701200,386.0
33.97873000,-84.5701300,385.0
33.97864000,-84.5701800,385.0
33.97860000,-84.5702100,385.0
33.97858000,-84.5702400,385.0
33.97855000,-84.5702600,385.0
33.97850000,-84.5703300,384.0
33.97841000,-84.5704300,384.0
33.97835000,-84.5704800,384.0
33.97825000,-84.5705500,383.0
33.97814000,-84.5706000,383.0
33.97804000,-84.5706300,382.0
33.97792000,-84.5706500,382.0
33.97783000,-84.5706700,382.0
33.97775000,-84.5706700,381.0
33.97770000,-84.5706700,381.0
33.97765000,-84.5706600,380.0
33.97758000,-84.5706600,380.0
33.97755000,-84.5706500,379.0
33.97754000,-84.5706500,379.0
33.97751000,-84.5706500,379.0
33.97743000,-84.5706500,378.0
33.97738000,-84.5706400,377.0
33.97731000,-84.5706400,377.0
33.97728000,-84.5706300,376.0
