Latitude,Longitude,Elevation
33.96349000,-84.5936100,326.0
33.96358000,-84.5935800,327.0
33.96361000,-84.5935500,328.0
33.96364000,-84.5935000,330.0
33.96365000,-84.5934400,331.0
33.96365000,-84.5933800,331.0
33.96366000,-84.5933200,332.0
33.96368000,-84.5932700,334.0
33.96369000,-84.5932100,335.0
33.96371000,-84.5931400,337.0
33.96373000,-84.5930800,338.0
33.96375000,-84.5930200,340.0
33.96377000,-84.5929700,341.0
33.96378000,-84.5929200,342.0
33.96380000,-84.5928600,343.0
33.96381000,-84.5928100,344.0
33.96383000,-84.5927600,344.0
33.96386000,-84.5927100,345.0
33.96388000,-84.5926500,345.0
33.96390000,-84.5926000,346.0
33.96393000,-84.5925500,346.0
33.96396000,-84.5925000,347.0
33.96398000,-84.5924500,347.0
33.96401000,-84.5924100,348.0
33.96405000,-84.5923700,349.0
33.96408000,-84.5923300,350.0
33.96412000,-84.5923000,351.0
33.96416000,-84.5922700,352.0
33.96420000,-84.5922400,353.0
33.96424000,-84.5922200,354.0
33.96426000,-84.5922200,355.0
33.96434000,-84.5922000,356.0
33.96439000,-84.5921900,358.0
33.96444000,-84.5921800,359.0
33.96448000,-84.5921600,360.0
33.96453000,-84.5921300,361.0
33.96457000,-84.5921000,362.0
33.96461000,-84.5920700,363.0
33.96464000,-84.5920300,363.0
33.96467000,-84.5919900,364.0
33.96470000,-84.5919400,365.0
33.96473000,-84.5919000,366.0
33.96475000,-84.5918500,366.0
33.96477000,-84.5918100,367.0
33.96479000,-84.5917200,367.0
33.96481000,-84.5916600,368.0
33.96483000,-84.5916100,368.0
33.96486000,-84.5915700,369.0
33.96491000,-84.5915400,370.0
33.96495000,-84.5915100,370.0
33.96498000,-84.5914700,371.0
33.96500000,-84.5914200,372.0
33.96500000,-84.5913600,373.0
33.96501000,-84.5913100,373.0
33.96501000,-84.5912500,374.0
33.96504000,-84.5912000,374.0
33.96506000,-84.5911600,374.0
33.96508000,-84.5911100,375.0
33.96509000,-84.5910500,376.0
33.96512000,-84.5910200,376.0
33.96517000,-84.5909900,377.0
33.96521000,-84.5909700,377.0
33.96524000,-84.5909200,378.0
33.96527000,-84.5908700,378.0
33.96528000,-84.5908200,379.0
33.96529000,-84.5907600,379.0
33.96530000,-84.5907500,379.0
33.96539000,-84.5903100,380.0
33.96541000,-84.5902500,380.0
33.96543000,-84.5902000,380.0
33.96544000,-84.5901500,381.0
33.96546000,-84.5900900,381.0
33.96547000,-84.5900300,381.0
33.96549000,-84.5899800,382.0
33.96550000,-84.5899300,382.0
33.96552000,-84.5898800,382.0
33.96555000,-84.5898200,383.0
33.96557000,-84.5897700,383.0
33.96559000,-84.5897100,384.0
33.96560000,-84.5896600,384.0
33.96562000,-84.5896100,384.0
33.96564000,-84.5895500,384.0
33.96566000,-84.5895000,384.0
33.96568000,-84.5894400,384.0
33.96569000,-84.5894300,384.0
33.96574000,-84.5892800,384.0
33.96576000,-84.5892300,384.0
