Latitude,Longitude,Elevation
33.98310000,-84.5786000,353.0
33.98308000,-84.5786200,353.0
33.98299000,-84.5784900,354.0
33.98296000,-84.5784500,355.0
33.98293000,-84.5784000,355.0
33.98290000,-84.5783500,355.0
33.98289000,-84.5783200,356.0
33.98286000,-84.5783000,356.0
33.98280000,-84.5782800,356.0
33.98274000,-84.5782600,357.0
33.98269000,-84.5782400,358.0
33.98261000,-84.5781900,360.0
33.98249000,-84.5780700,364.0
33.98246000,-84.5780300,366.0
33.98243000,-84.5780200,367.0
33.98241000,-84.5780200,367.0
33.98238000,-84.5780200,368.0
33.98234000,-84.5780300,369.0
33.98229000,-84.5780300,370.0
33.98223000,-84.5780100,371.0
33.98218000,-84.5779700,372.0
33.98210000,-84.5778900,374.0
33.98206000,-84.5778400,375.0
33.98203000,-84.5777500,375.0
33.98201000,-84.5776400,376.0
33.98201000,-84.5775000,377.0
33.98202000,-84.5774500,377.0
33.98202000,-84.5773500,378.0
33.98201000,-84.5773100,379.0
33.98201000,-84.5772700,380.0
33.98201000,-84.5772300,380.0
33.98201000,-84.5771500,382.0
33.98201000,-84.5770500,384.0
33.98201000,-84.5770200,385.0
33.98200000,-84.5769700,386.0
33.98200000,-84.5768900,388.0
33.98198000,-84.5768000,390.0
33.98197000,-84.5767400,391.0
33.98198000,-84.5767100,391.0
33.98198000,-84.5766900,391.0
33.98198000,-84.5766600,392.0
33.98198000,-84.5765500,393.0
33.98197000,-84.5764900,394.0
33.98198000,-84.5764500,394.0
33.98198000,-84.5763400,396.0
33.98199000,-84.5762700,396.0
33.98199000,-84.5762300,397.0
33.98198000,-84.5762000,397.0
33.98197000,-84.5761500,398.0
33.98195000,-84.5760900,399.0
33.98192000,-84.5760100,400.0
33.98191000,-84.5759600,401.0
33.98188000,-84.5758700,402.0
33.98186000,-84.5757900,402.0
33.98186000,-84.5757600,402.0
33.98186000,-84.5756700,402.0
33.98184000,-84.5756000,402.0
33.98183000,-84.5755400,402.0
33.98184000,-84.5754900,402.0
33.98182000,-84.5754100,402.0
33.98182000,-84.5753700,402.0
33.98179000,-84.5752700,402.0
33.98179000,-84.5752500,403.0
33.98178000,-84.5752100,403.0
33.98176000,-84.5751700,404.0
33.98173000,-84.5751100,405.0
33.98168000,-84.5750400,406.0
33.98164000,-84.5749800,407.0
33.98153000,-84.5748700,412.0
33.98148000,-84.5748300,413.0
33.98145000,-84.5748200,414.0
33.98142000,-84.5748200,415.0
33.98139000,-84.5748300,416.0
33.98136000,-84.5748700,417.0
33.98132000,-84.5748800,418.0
33.98124000,-84.5748100,420.0
33.98119000,-84.5747600,421.0
33.98116000,-84.5747500,422.0
33.98115000,-84.5747500,422.0
33.98114000,-84.5747600,422.0
33.98115000,-84.5748200,422.0
33.98116000,-84.5748800,422.0
33.98117000,-84.5749600,422.0
33.98117000,-84.5750200,423.0
33.98116000,-84.5750900,424.0
33.98113000,-84.5751800,426.0
33.98110000,-84.5752100,428.0
33.98109000,-84.5752200,428.0
33.98105000,-84.5752300,430.0
33.98101000,-84.5752400,431.0
33.98096000,-84.5752300,433.0
33.98092000,-84.5752100,434.0
33.98086000,-84.5751500,435.0
33.98084000,-84.5751200,436.0
33.98083000,-84.5750800,435.0
33.98081000,-84.5750100,435.0
33.98079000,-84.5748400,433.0
33.98077000,-84.5747300,431.0
33.98075000,-84.5746500,431.0
