Latitude,Longitude,Elevation
33.98515000,-84.5827600,349.0
33.98548000,-84.5822000,348.0
33.98554000,-84.5820700,349.0
33.98554000,-84.5820100,350.0
33.98554000,-84.5819600,350.0
33.98555000,-84.5819000,351.0
33.98556000,-84.5818400,351.0
33.98558000,-84.5817900,352.0
33.98559000,-84.5817300,352.0
33.98557000,-84.5816500,352.0
33.98556000,-84.5816000,352.0
33.98555000,-84.5815700,353.0
33.98532000,-84.5806100,359.0
33.98503000,-84.5795200,357.0
33.98489000,-84.5789400,351.0
33.98474000,-84.5783600,350.0
33.98459000,-84.5778400,351.0
33.98456000,-84.5777100,351.0
33.98454000,-84.5776500,352.0
33.98454000,-84.5775900,352.0
33.98452000,-84.5775300,353.0
33.98450000,-84.5774800,353.0
33.98445000,-84.5774900,353.0
33.98442000,-84.5775300,352.0
33.98440000,-84.5775900,352.0
33.98440000,-84.5776000,352.0
33.98418000,-84.5779300,349.0
33.98398000,-84.5782300,349.0
33.98390000,-84.5783200,349.0
33.98385000,-84.5783300,350.0
33.98381000,-84.5783200,350.0
33.98376000,-84.5783000,350.0
33.98371000,-84.5782800,351.0
33.98366000,-84.5782600,351.0
33.98362000,-84.5782500,351.0
33.98360000,-84.5782500,352.0
33.98344000,-84.5782600,352.0
33.98339000,-84.5782800,352.0
33.98335000,-84.5783100,353.0
33.98331000,-84.5783400,353.0
33.98326000,-84.5783400,353.0
33.98323000,-84.5783000,354.0
33.98321000,-84.5782500,354.0
33.98315000,-84.5782000,355.0
33.98310000,-84.5781900,356.0
33.98305000,-84.5782000,356.0
33.98299000,-84.5782000,356.0
33.98295000,-84.5782100,356.0
33.98290000,-84.5782300,356.0
33.98285000,-84.5782600,356.0
33.98281000,-84.5782800,356.0
33.98280000,-84.5782800,356.0
33.98268000,-84.5782300,358.0
33.98263000,-84.5782100,359.0
33.98257000,-84.5781800,361.0
33.98253000,-84.5781400,362.0
33.98247000,-84.5780500,365.0
33.98245000,-84.5780000,366.0
33.98245000,-84.5779300,367.0
33.98246000,-84.5778900,367.0
33.98249000,-84.5776600,368.0
33.98250000,-84.5776100,368.0
33.98251000,-84.5775500,368.0
33.98253000,-84.5774900,368.0
33.98254000,-84.5774400,368.0
33.98254000,-84.5774300,368.0
33.98267000,-84.5772100,367.0
33.98270000,-84.5771700,367.0
33.98274000,-84.5771300,366.0
33.98276000,-84.5770800,366.0
33.98285000,-84.5768900,364.0
33.98288000,-84.5768300,364.0
33.98290000,-84.5767800,363.0
33.98291000,-84.5767000,364.0
33.98291000,-84.5766800,364.0
33.98295000,-84.5763500,364.0
33.98295000,-84.5762900,364.0
33.98295000,-84.5762100,364.0
33.98295000,-84.5761500,364.0
33.98294000,-84.5761000,365.0
33.98293000,-84.5760400,365.0
33.98292000,-84.5759800,365.0
33.98291000,-84.5759500,365.0
33.98280000,-84.5756000,369.0
33.98279000,-84.5755400,369.0
33.98278000,-84.5754900,370.0
33.98273000,-84.5751700,376.0
33.98272000,-84.5751100,377.0
33.98272000,-84.5750500,378.0
