Latitude,Longitude,Elevation
33.67225000,-84.1161900,280.0
33.67223000,-84.1162800,279.0
33.67223000,-84.1163400,278.0
33.67223000,-84.1164000,277.0
33.67222000,-84.1164600,278.0
33.67220000,-84.1165100,278.0
33.67219000,-84.1165700,278.0
33.67215000,-84.1166600,278.0
33.67212000,-84.1167300,278.0
33.67211000,-84.1167900,278.0
33.67209000,-84.1168500,278.0
33.67207000,-84.1169100,278.0
33.67203000,-84.1169600,279.0
33.67201000,-84.1170100,279.0
33.67200000,-84.1170700,279.0
33.67203000,-84.1171300,279.0
33.67209000,-84.1172800,279.0
33.67212000,-84.1173400,279.0
33.67213000,-84.1174000,279.0
33.67214000,-84.1174700,278.0
33.67218000,-84.1175300,278.0
33.67221000,-84.1175700,278.0
33.67224000,-84.1176200,278.0
33.67227000,-84.1176600,278.0
33.67228000,-84.1176900,278.0
33.67228000,-84.1177100,278.0
33.67226000,-84.1177600,278.0
33.67223000,-84.1178000,278.0
33.67219000,-84.1178300,277.0
33.67215000,-84.1178600,277.0
33.67212000,-84.1178900,277.0
33.67208000,-84.1179200,277.0
33.67204000,-84.1179500,276.0
33.67200000,-84.1179900,276.0
33.67196000,-84.1180200,276.0
33.67192000,-84.1180400,276.0
33.67192000,-84.1180500,276.0
33.67176000,-84.1181600,275.0
33.67161000,-84.1182800,274.0
33.67137000,-84.1184300,273.0
33.67120000,-84.1185400,271.0
33.67108000,-84.1186100,271.0
33.67104000,-84.1186400,271.0
33.67101000,-84.1186700,270.0
33.67100000,-84.1186700,270.0
33.67093000,-84.1187200,270.0
33.67084000,-84.1188000,271.0
33.67078000,-84.1188500,271.0
33.67074000,-84.1188500,272.0
33.67070000,-84.1188300,272.0
33.67066000,-84.1188000,273.0
33.67062000,-84.1187700,273.0
33.67057000,-84.1187500,273.0
33.67056000,-84.1187500,273.0
33.67049000,-84.1187500,273.0
33.67044000,-84.1187300,273.0
33.67039000,-84.1187200,273.0
33.67035000,-84.1187000,273.0
33.67030000,-84.1186800,273.0
33.67026000,-84.1186700,273.0
33.67021000,-84.1186500,273.0
33.67017000,-84.1186400,273.0
33.67012000,-84.1186200,272.0
33.67009000,-84.1186600,272.0
33.67006000,-84.1186700,272.0
33.67002000,-84.1186900,272.0
33.66998000,-84.1187200,271.0
33.66994000,-84.1187500,271.0
33.66992000,-84.1187600,271.0
33.66990000,-84.1187700,271.0
33.66986000,-84.1187900,270.0
33.66981000,-84.1188100,270.0
33.66976000,-84.1188300,270.0
33.66972000,-84.1188400,269.0
33.66967000,-84.1188400,269.0
33.66962000,-84.1188500,269.0
33.66958000,-84.1188700,269.0
33.66954000,-84.1188800,269.0
33.66948000,-84.1189000,270.0
33.66944000,-84.1189200,270.0
33.66941000,-84.1189400,270.0
33.66925000,-84.1190200,270.0
33.66921000,-84.1190500,270.0
33.66917000,-84.1190700,270.0
33.66912000,-84.1191000,270.0
33.66908000,-84.1191300,270.0
33.66904000,-84.1191600,270.0
33.66900000,-84.1192000,270.0
33.66896000,-84.1192400,270.0
33.66892000,-84.1192800,270.0
33.66889000,-84.1193100,270.0
33.66886000,-84.1193500,270.0
33.66882000,-84.1194000,270.0
33.66880000,-84.1194200,270.0
33.66848000,-84.1197900,267.0
33.66815000,-84.1201600,266.0
33.66798000,-84.1203700,265.0
33.66795000,-84.1204300,265.0
33.66789000,-84.1204900,265.0
33.66786000,-84.1205300,265.0
33.66782000,-84.1205800,264.0
33.66779000,-84.1206400,264.0
33.66774000,-84.1206900,264.0
33.66770000,-84.1207100,264.0
33.66765000,-84.1207300,264.0
33.66764000,-84.1207400,264.0
33.66758000,-84.1207500,264.0
33.66753000,-84.1207200,264.0
33.66749000,-84.1206800,264.0
33.66745000,-84.1206600,264.0
33.66739000,-84.1206900,264.0
33.66735000,-84.1207300,264.0
33.66731000,-84.1207700,264.0
33.66727000,-84.1208200,264.0
33.66724000,-84.1208500,264.0
33.66701000,-84.1211100,261.0
33.66682000,-84.1213200,261.0
33.66679000,-84.1213500,261.0
33.66675000,-84.1213900,261.0
33.66671000,-84.1214300,261.0
33.66667000,-84.1214700,261.0
33.66664000,-84.1215000,262.0
33.66660000,-84.1215400,262.0
33.66656000,-84.1215800,262.0
33.66653000,-84.1216200,262.0
33.66652000,-84.1216300,262.0
33.66639000,-84.1217100,262.0
33.66634000,-84.1217400,261.0
33.66630000,-84.1217600,261.0
33.66625000,-84.1217900,260.0
33.66621000,-84.1218100,260.0
33.66617000,-84.1218400,260.0
33.66612000,-84.1218700,259.0
33.66608000,-84.1219100,259.0
33.66604000,-84.1219400,259.0
33.66601000,-84.1219800,259.0
33.66597000,-84.1220200,258.0
33.66597000,-84.1220400,258.0
33.66590000,-84.1221200,258.0
33.66587000,-84.1221600,258.0
33.66583000,-84.1221900,257.0
33.66575000,-84.1222400,257.0
33.66571000,-84.1222700,257.0
33.66566000,-84.1223000,256.0
33.66562000,-84.1223500,256.0
33.66561000,-84.1223800,256.0
33.66557000,-84.1224400,255.0
33.66552000,-84.1224700,255.0
33.66547000,-84.1224800,254.0
33.66543000,-84.1224900,254.0
33.66538000,-84.1225100,253.0
33.66534000,-84.1225300,253.0
33.66530000,-84.1225500,252.0
33.66474000,-84.1226600,252.0
33.66466000,-84.1226700,251.0
33.66457000,-84.1226800,251.0
33.66452000,-84.1226800,251.0
33.66448000,-84.1226800,250.0
33.66443000,-84.1226700,250.0
33.66438000,-84.1226700,250.0
33.66433000,-84.1226700,250.0
33.66429000,-84.1226800,250.0
33.66424000,-84.1226800,250.0
33.66419000,-84.1226800,250.0
33.66416000,-84.1226900,251.0
33.66407000,-84.1227100,251.0
33.66371000,-84.1227800,252.0
33.66344000,-84.1228100,252.0
33.66323000,-84.1228700,251.0
33.66318000,-84.1228800,251.0
33.66317000,-84.1228900,251.0
33.66308000,-84.1229100,250.0
33.66303000,-84.1229300,250.0
33.66299000,-84.1229600,250.0
33.66295000,-84.1229800,250.0
33.66295000,-84.1229900,250.0
33.66291000,-84.1230200,250.0
33.66289000,-84.1230300,250.0
33.66284000,-84.1230500,250.0
33.66280000,-84.1230700,250.0
33.66278000,-84.1230900,250.0
33.66267000,-84.1231700,250.0
33.66253000,-84.1232500,248.0
33.66249000,-84.1232700,248.0
