Latitude,Longitude,Elevation
33.93328000,-84.6048800,339.0
33.93330000,-84.6048900,339.0
33.93315000,-84.6048100,339.0
33.93310000,-84.6047900,339.0
33.93304000,-84.6047800,339.0
33.93299000,-84.6047600,339.0
33.93291000,-84.6047300,339.0
33.93285000,-84.6046900,338.0
33.93276000,-84.6046500,338.0
33.93271000,-84.6046100,337.0
33.93267000,-84.6045800,337.0
33.93261000,-84.6045500,337.0
33.93256000,-84.6045100,337.0
33.93251000,-84.6044800,337.0
33.93247000,-84.6044500,337.0
33.93243000,-84.6044300,337.0
33.93238000,-84.6044000,337.0
33.93232000,-84.6043700,337.0
33.93227000,-84.6043400,337.0
33.93223000,-84.6043000,337.0
33.93218000,-84.6042600,337.0
33.93213000,-84.6042100,337.0
33.93208000,-84.6041500,337.0
33.93204000,-84.6040900,336.0
33.93202000,-84.6040300,336.0
33.93199000,-84.6039600,336.0
33.93196000,-84.6038700,335.0
33.93194000,-84.6038100,336.0
33.93192000,-84.6037300,336.0
33.93190000,-84.6036600,337.0
33.93188000,-84.6036100,337.0
33.93185000,-84.6035200,338.0
33.93182000,-84.6034200,339.0
33.93179000,-84.6033500,339.0
33.93175000,-84.6032800,340.0
33.93172000,-84.6032100,340.0
33.93169000,-84.6031700,341.0
33.93163000,-84.6030900,341.0
33.93159000,-84.6030200,341.0
33.93155000,-84.6029600,341.0
33.93152000,-84.6029000,341.0
33.93147000,-84.6028300,341.0
33.93144000,-84.6027800,341.0
33.93143000,-84.6027100,341.0
33.93143000,-84.6026500,340.0
33.93144000,-84.6025900,340.0
33.93145000,-84.6025100,339.0
33.93147000,-84.6024400,338.0
33.93147000,-84.6023800,337.0
33.93147000,-84.6023200,336.0
33.93145000,-84.6022600,336.0
33.93142000,-84.6021600,335.0
33.93139000,-84.6020900,334.0
33.93134000,-84.6020400,333.0
33.93130000,-84.6020000,333.0
33.93113000,-84.6018700,330.0
33.93109000,-84.6018500,330.0
33.93103000,-84.6017800,329.0
33.93099000,-84.6017300,328.0
33.93092000,-84.6016500,326.0
33.93089000,-84.6015900,325.0
33.93086000,-84.6015400,324.0
33.93083000,-84.6014900,323.0
33.93081000,-84.6014300,322.0
33.93084000,-84.6013700,321.0
33.93090000,-84.6013000,321.0
33.93097000,-84.6012700,321.0
33.93104000,-84.6012700,321.0
33.93109000,-84.6012700,321.0
33.93114000,-84.6012300,321.0
33.93117000,-84.6011900,321.0
33.93118000,-84.6011100,320.0
33.93119000,-84.6010200,320.0
33.93118000,-84.6009400,319.0
33.93118000,-84.6008700,319.0
33.93117000,-84.6007600,318.0
33.93116000,-84.6006800,318.0
33.93114000,-84.6005700,317.0
33.93113000,-84.6004800,316.0
33.93113000,-84.6003900,316.0
33.93113000,-84.6002800,316.0
33.93113000,-84.6002000,315.0
33.93114000,-84.6000500,314.0
33.93115000,-84.6000000,314.0
33.93116000,-84.5999200,313.0
33.93117000,-84.5998600,313.0
33.93117000,-84.5997700,312.0
33.93118000,-84.5997000,312.0
33.93119000,-84.5996500,312.0
33.93121000,-84.5995800,312.0
33.93124000,-84.5994800,312.0
33.93128000,-84.5993900,312.0
33.93132000,-84.5993300,312.0
33.93134000,-84.5992600,312.0
33.93135000,-84.5992600,312.0
33.93145000,-84.5990500,312.0
33.93148000,-84.5990100,312.0
33.93155000,-84.5989600,313.0
33.93162000,-84.5989300,314.0
33.93170000,-84.5989100,315.0
33.93175000,-84.5988900,315.0
33.93180000,-84.5988700,316.0
33.93185000,-84.5988500,316.0
33.93189000,-84.5988100,316.0
33.93194000,-84.5987700,317.0
33.93198000,-84.5987200,317.0
33.93202000,-84.5986700,317.0
33.93207000,-84.5985800,318.0
33.93212000,-84.5985200,318.0
33.93219000,-84.5983900,319.0
33.93228000,-84.5982500,322.0
33.93231000,-84.5982000,322.0
33.93235000,-84.5981500,323.0
33.93238000,-84.5980900,324.0
33.93242000,-84.5980100,325.0
33.93244000,-84.5979500,325.0
33.93246000,-84.5978800,326.0
33.93248000,-84.5978200,327.0
33.93251000,-84.5977600,328.0
33.93256000,-84.5976800,328.0
33.93261000,-84.5976400,329.0
33.93267000,-84.5975900,329.0
33.93271000,-84.5975600,330.0
33.93276000,-84.5975300,330.0
33.93282000,-84.5974900,331.0
33.93285000,-84.5974500,331.0
33.93289000,-84.5974000,331.0
33.93295000,-84.5973100,332.0
33.93300000,-84.5972400,332.0
33.93318000,-84.5970000,333.0
33.93325000,-84.5969000,333.0
33.93336000,-84.5968200,333.0
33.93343000,-84.5967300,333.0
33.93350000,-84.5965700,332.0
33.93356000,-84.5964300,332.0
33.93366000,-84.5963100,331.0
33.93373000,-84.5962600,331.0
33.93378000,-84.5962200,332.0
33.93383000,-84.5962000,332.0
33.93389000,-84.5961600,332.0
33.93398000,-84.5961200,332.0
33.93404000,-84.5961100,332.0
33.93409000,-84.5960900,332.0
33.93413000,-84.5960600,332.0
33.93418000,-84.5960200,332.0
33.93423000,-84.5959800,331.0
33.93426000,-84.5959300,331.0
33.93429000,-84.5958700,330.0
33.93438000,-84.5956700,329.0
33.93438000,-84.5955600,328.0
33.93435000,-84.5953600,328.0
33.93429000,-84.5951000,328.0
33.93423000,-84.5949500,328.0
33.93417000,-84.5948400,328.0
33.93408000,-84.5947200,327.0
33.93394000,-84.5946000,326.0
33.93388000,-84.5945400,325.0
33.93381000,-84.5944900,324.0
33.93377000,-84.5944500,324.0
33.93372000,-84.5944100,324.0
33.93367000,-84.5943500,324.0
33.93362000,-84.5943000,324.0
33.93358000,-84.5942500,325.0
33.93353000,-84.5942000,325.0
33.93348000,-84.5941400,326.0
33.93344000,-84.5940900,327.0
33.93340000,-84.5940400,327.0
33.93333000,-84.5939800,328.0
33.93328000,-84.5939300,328.0
33.93325000,-84.5938900,329.0
33.93320000,-84.5938400,329.0
33.93316000,-84.5938000,329.0
33.93311000,-84.5937500,329.0
33.93303000,-84.5937000,328.0
33.93298000,-84.5936600,328.0
33.93292000,-84.5936300,328.0
33.93287000,-84.5936200,327.0
33.93282000,-84.5936000,327.0
33.93276000,-84.5935900,326.0
33.93271000,-84.5935900,326.0
33.93269000,-84.5935900,326.0
33.93239000,-84.5935400,324.0
33.93224000,-84.5935200,323.0
33.93208000,-84.5935200,321.0
33.93192000,-84.5935400,319.0
33.93182000,-84.5935600,318.0
33.93171000,-84.5935800,316.0
33.93161000,-84.5936100,316.0
33.93145000,-84.5936500,316.0
33.93138000,-84.5936900,316.0
33.93129000,-84.5937100,316.0
33.93124000,-84.5937300,316.0
33.93117000,-84.5937400,316.0
33.93111000,-84.5937600,316.0
33.93104000,-84.5938000,316.0
33.93098000,-84.5938500,316.0
33.93092000,-84.5938800,315.0
33.93086000,-84.5939100,315.0
33.93080000,-84.5939000,314.0
33.93073000,-84.5938900,314.0
33.93053000,-84.5938700,314.0
33.93046000,-84.5938400,314.0
33.93031000,-84.5938000,314.0
33.93016000,-84.5937800,314.0
33.93010000,-84.5937700,315.0
33.93004000,-84.5937700,315.0
33.92995000,-84.5937600,315.0
33.92987000,-84.5937300,316.0
33.92982000,-84.5937100,316.0
33.92977000,-84.5936900,317.0
33.92972000,-84.5936600,317.0
33.92967000,-84.5936500,317.0
33.92961000,-84.5936200,317.0
33.92957000,-84.5936000,317.0
33.92952000,-84.5935900,317.0
33.92945000,-84.5935800,317.0
33.92939000,-84.5935700,317.0
33.92934000,-84.5935000,316.0
33.92930000,-84.5934400,315.0
33.92926000,-84.5933700,315.0
33.92921000,-84.5932800,314.0
33.92915000,-84.5932200,313.0
33.92911000,-84.5931800,313.0
33.92908000,-84.5931300,313.0
33.92904000,-84.5931000,313.0
33.92900000,-84.5930500,313.0
33.92898000,-84.5929900,313.0
33.92895000,-84.5929100,313.0
33.92890000,-84.5927500,313.0
33.92885000,-84.5926100,314.0
33.92883000,-84.5925400,314.0
33.92879000,-84.5924700,313.0
33.92877000,-84.5924100,313.0
33.92874000,-84.5923600,313.0
33.92870000,-84.5923000,313.0
33.92867000,-84.5922600,313.0
33.92866000,-84.5922500,313.0
33.92850000,-84.5921400,313.0
33.92845000,-84.5921100,313.0
33.92831000,-84.5921100,313.0
33.92823000,-84.5921100,314.0
33.92817000,-84.5921100,314.0
33.92811000,-84.5920900,314.0
33.92806000,-84.5920700,314.0
33.92800000,-84.5920500,315.0
33.92795000,-84.5920200,315.0
33.92791000,-84.5920000,316.0
33.92787000,-84.5919600,316.0
33.92784000,-84.5919200,316.0
33.92780000,-84.5918400,316.0
33.92776000,-84.5917300,314.0
33.92772000,-84.5916200,313.0
33.92770000,-84.5915500,312.0
33.92767000,-84.5915000,312.0
33.92764000,-84.5914500,312.0
33.92761000,-84.5914100,312.0
33.92758000,-84.5913600,312.0
33.92752000,-84.5913100,312.0
33.92747000,-84.5912900,312.0
33.92740000,-84.5912800,312.0
33.92736000,-84.5913100,312.0
33.92727000,-84.5913700,313.0
33.92722000,-84.5914000,314.0
33.92716000,-84.5914400,314.0
33.92712000,-84.5914700,314.0
33.92706000,-84.5915000,314.0
33.92696000,-84.5915300,314.0
33.92695000,-84.5915300,314.0
33.92680000,-84.5915500,312.0
33.92671000,-84.5915500,312.0
33.92659000,-84.5915000,310.0
33.92650000,-84.5914000,308.0
33.92645000,-84.5913100,308.0
33.92642000,-84.5912400,307.0
33.92639000,-84.5911100,308.0
33.92634000,-84.5909300,307.0
33.92630000,-84.5908500,307.0
33.92625000,-84.5908100,307.0
33.92618000,-84.5907500,306.0
33.92610000,-84.5906800,306.0
33.92606000,-84.5906200,306.0
33.92601000,-84.5905400,307.0
33.92597000,-84.5904600,307.0
33.92594000,-84.5903800,308.0
33.92592000,-84.5903300,308.0
33.92589000,-84.5902600,309.0
33.92588000,-84.5901800,310.0
33.92588000,-84.5901100,311.0
33.92588000,-84.5900300,312.0
33.92585000,-84.5898900,313.0
33.92582000,-84.5898100,314.0
33.92578000,-84.5897200,314.0
33.92573000,-84.5896400,314.0
33.92570000,-84.5895900,314.0
33.92556000,-84.5895600,314.0
33.92549000,-84.5895200,314.0
33.92537000,-84.5895000,314.0
33.92529000,-84.5895000,313.0
33.92521000,-84.5895000,313.0
33.92517000,-84.5894700,313.0
33.92507000,-84.5893300,313.0
33.92502000,-84.5891400,313.0
33.92500000,-84.5890200,312.0
33.92498000,-84.5888900,312.0
33.92495000,-84.5887900,312.0
33.92490000,-84.5887000,312.0
33.92485000,-84.5886600,312.0
33.92477000,-84.5886600,312.0
33.92470000,-84.5886700,313.0
33.92462000,-84.5886900,314.0
33.92452000,-84.5887100,315.0
33.92439000,-84.5887500,316.0
33.92417000,-84.5887700,318.0
33.92417000,-84.5887800,318.0
33.92393000,-84.5887800,320.0
33.92386000,-84.5887600,320.0
33.92379000,-84.5887200,320.0
33.92375000,-84.5887000,320.0
33.92368000,-84.5887100,320.0
33.92360000,-84.5887300,320.0
33.92356000,-84.5887600,320.0
33.92342000,-84.5888500,320.0
33.92320000,-84.5891000,321.0
33.92311000,-84.5891600,321.0
33.92294000,-84.5892400,321.0
33.92287000,-84.5892700,322.0
33.92281000,-84.5892700,322.0
33.92268000,-84.5892600,322.0
33.92254000,-84.5892200,322.0
33.92248000,-84.5892000,322.0
33.92239000,-84.5891900,321.0
33.92229000,-84.5891900,321.0
33.92220000,-84.5891900,321.0
33.92216000,-84.5891900,321.0
33.92194000,-84.5892200,323.0
33.92186000,-84.5892500,324.0
33.92177000,-84.5892900,325.0
33.92171000,-84.5892900,325.0
33.92163000,-84.5892900,326.0
33.92155000,-84.5892500,326.0
33.92146000,-84.5892000,326.0
33.92135000,-84.5891700,326.0
33.92127000,-84.5891500,327.0
33.92117000,-84.5891300,329.0
33.92107000,-84.5891200,330.0
33.92090000,-84.5891000,332.0
33.92078000,-84.5891200,333.0
33.92077000,-84.5891200,333.0
33.92064000,-84.5891900,334.0
33.92053000,-84.5892300,334.0
33.92042000,-84.5893000,334.0
33.92034000,-84.5893700,333.0
33.92029000,-84.5894100,333.0
33.92023000,-84.5894500,333.0
33.92018000,-84.5894900,333.0
33.92003000,-84.5895600,332.0
33.91993000,-84.5896000,332.0
33.91984000,-84.5896300,332.0
33.91970000,-84.5896300,333.0
33.91960000,-84.5896100,333.0
33.91958000,-84.5896100,333.0
33.91939000,-84.5895900,333.0
33.91930000,-84.5895900,334.0
33.91921000,-84.5896000,334.0
33.91913000,-84.5895800,334.0
33.91904000,-84.5895000,334.0
33.91895000,-84.5894300,334.0
33.91884000,-84.5893500,333.0
33.91876000,-84.5893100,332.0
33.91869000,-84.5892800,331.0
33.91862000,-84.5893000,329.0
33.91859000,-84.5893500,329.0
33.91859000,-84.5894600,328.0
33.91861000,-84.5896400,329.0
33.91864000,-84.5897100,330.0
33.91865000,-84.5898000,330.0
33.91866000,-84.5898800,330.0
33.91867000,-84.5899700,330.0
33.91868000,-84.5900800,330.0
33.91869000,-84.5902100,329.0
33.91870000,-84.5903800,328.0
33.91869000,-84.5905100,328.0
33.91868000,-84.5905900,328.0
33.91868000,-84.5907100,328.0
33.91870000,-84.5907900,328.0
33.91870000,-84.5908900,328.0
33.91868000,-84.5910000,329.0
33.91865000,-84.5911500,329.0
33.91863000,-84.5912100,329.0
33.91858000,-84.5912600,329.0
33.91853000,-84.5912900,329.0
33.91851000,-84.5914000,328.0
33.91854000,-84.5915100,328.0
33.91858000,-84.5915900,328.0
33.91858000,-84.5916000,328.0
33.91855000,-84.5918400,329.0
33.91852000,-84.5919300,329.0
33.91849000,-84.5920800,329.0
33.91847000,-84.5922200,330.0
33.91845000,-84.5923100,330.0
33.91843000,-84.5923900,330.0
33.91840000,-84.5925200,329.0
33.91836000,-84.5926200,329.0
33.91833000,-84.5926700,329.0
33.91828000,-84.5927500,330.0
33.91826000,-84.5928100,330.0
33.91823000,-84.5928800,331.0
33.91822000,-84.5929700,331.0
33.91822000,-84.5930500,330.0
33.91821000,-84.5931500,330.0
33.91818000,-84.5932900,331.0
33.91815000,-84.5933900,331.0
33.91810000,-84.5934800,332.0
33.91804000,-84.5935600,333.0
33.91799000,-84.5936100,333.0
33.91793000,-84.5936400,334.0
33.91786000,-84.5936600,335.0
33.91779000,-84.5936500,336.0
33.91777000,-84.5936400,336.0
33.91758000,-84.5936100,339.0
33.91746000,-84.5936000,339.0
33.91733000,-84.5936700,338.0
33.91715000,-84.5937700,338.0
33.91700000,-84.5937900,338.0
33.91691000,-84.5937700,339.0
33.91681000,-84.5937400,339.0
33.91664000,-84.5937300,340.0
33.91651000,-84.5937400,339.0
33.91636000,-84.5937400,339.0
33.91626000,-84.5937400,339.0
33.91616000,-84.5937600,339.0
33.91608000,-84.5937600,339.0
33.91597000,-84.5937400,339.0
33.91588000,-84.5937200,339.0
33.91580000,-84.5936800,339.0
33.91572000,-84.5936300,339.0
33.91566000,-84.5935400,338.0
33.91560000,-84.5934200,337.0
33.91556000,-84.5933700,337.0
33.91555000,-84.5933700,337.0
33.91507000,-84.5928100,335.0
33.91488000,-84.5927100,336.0
33.91471000,-84.5926900,338.0
33.91453000,-84.5927300,339.0
33.91437000,-84.5927800,339.0
33.91415000,-84.5927600,337.0
33.91403000,-84.5927600,336.0
33.91395000,-84.5927600,336.0
33.91387000,-84.5927900,336.0
33.91381000,-84.5929000,336.0
33.91377000,-84.5930100,336.0
33.91373000,-84.5931200,335.0
33.91368000,-84.5932300,334.0
33.91361000,-84.5933300,334.0
33.91353000,-84.5934200,332.0
33.91340000,-84.5936000,331.0
33.91335000,-84.5937200,330.0
33.91328000,-84.5938500,329.0
33.91321000,-84.5939100,329.0
33.91314000,-84.5939800,330.0
33.91310000,-84.5940500,330.0
33.91305000,-84.5941700,331.0
33.91300000,-84.5943300,330.0
33.91300000,-84.5943400,330.0
33.91288000,-84.5944900,328.0
33.91281000,-84.5946500,327.0
33.91275000,-84.5947600,326.0
