Latitude,Longitude,Elevation
34.54931000,-83.9713700,381.0
34.54948000,-83.9713400,382.0
34.54952000,-83.9713100,382.0
34.54957000,-83.9713000,382.0
34.54962000,-83.9712800,382.0
34.54966000,-83.9712600,382.0
34.54971000,-83.9712400,382.0
34.54975000,-83.9712200,382.0
34.54980000,-83.9712000,382.0
34.54984000,-83.9711700,382.0
34.54988000,-83.9711400,382.0
34.54991000,-83.9710900,383.0
34.54994000,-83.9710500,383.0
34.54995000,-83.9709900,383.0
34.54995000,-83.9709300,383.0
34.54995000,-83.9708800,382.0
34.54995000,-83.9708100,382.0
34.54995000,-83.9707600,382.0
34.54995000,-83.9707000,382.0
34.54995000,-83.9706400,382.0
34.54997000,-83.9705900,382.0
34.54999000,-83.9705400,381.0
34.55002000,-83.9704900,382.0
34.55004000,-83.9704500,382.0
34.55016000,-83.9703500,382.0
34.55020000,-83.9703100,382.0
34.55024000,-83.9702900,382.0
34.55029000,-83.9702800,383.0
34.55033000,-83.9702600,383.0
34.55037000,-83.9702200,384.0
34.55041000,-83.9701800,384.0
34.55044000,-83.9701500,385.0
34.55048000,-83.9701100,385.0
34.55052000,-83.9700800,386.0
34.55056000,-83.9700500,386.0
34.55060000,-83.9700200,387.0
34.55064000,-83.9699900,387.0
34.55068000,-83.9699700,387.0
34.55073000,-83.9699400,387.0
34.55074000,-83.9699400,387.0
34.55091000,-83.9698300,388.0
34.55095000,-83.9698200,388.0
34.55100000,-83.9698100,388.0
34.55105000,-83.9698400,389.0
34.55109000,-83.9698700,389.0
34.55113000,-83.9698900,390.0
34.55118000,-83.9698900,390.0
34.55122000,-83.9698500,390.0
34.55125000,-83.9698100,390.0
34.55129000,-83.9697700,390.0
34.55133000,-83.9697400,390.0
34.55137000,-83.9697000,390.0
34.55140000,-83.9696600,390.0
34.55143000,-83.9696200,391.0
34.55146000,-83.9695700,391.0
34.55148000,-83.9695200,391.0
34.55150000,-83.9694700,390.0
34.55150000,-83.9694100,390.0
34.55149000,-83.9693500,390.0
