Latitude,Longitude,Elevation
34.15900000,-84.0701800,344.0
34.15898000,-84.0701900,345.0
34.15892000,-84.0701600,349.0
34.15887000,-84.0701500,351.0
34.15882000,-84.0701500,351.0
34.15879000,-84.0701500,351.0
34.15877000,-84.0701500,352.0
34.15873000,-84.0701600,352.0
34.15868000,-84.0701900,353.0
34.15864000,-84.0702200,353.0
34.15860000,-84.0702600,354.0
34.15857000,-84.0703000,353.0
34.15855000,-84.0703500,353.0
34.15853000,-84.0704000,353.0
34.15850000,-84.0704300,352.0
34.15849000,-84.0704200,352.0
34.15839000,-84.0705700,351.0
34.15832000,-84.0706200,352.0
34.15828000,-84.0706300,352.0
34.15808000,-84.0706100,354.0
34.15792000,-84.0707000,356.0
34.15782000,-84.0708400,358.0
34.15778000,-84.0709900,360.0
34.15786000,-84.0712300,356.0
34.15792000,-84.0714600,347.0
34.15789000,-84.0717000,357.0
34.15787000,-84.0719600,356.0
34.15793000,-84.0721900,354.0
34.15791000,-84.0723800,355.0
34.15789000,-84.0725600,355.0
34.15793000,-84.0726600,353.0
34.15799000,-84.0727600,351.0
34.15796000,-84.0728900,350.0
34.15793000,-84.0729800,349.0
34.15787000,-84.0731400,348.0
34.15764000,-84.0734500,348.0
34.15746000,-84.0737500,348.0
34.15726000,-84.0739800,345.0
34.15719000,-84.0741200,341.0
34.15722000,-84.0742000,339.0
34.15719000,-84.0743000,337.0
34.15714000,-84.0743700,336.0
34.15717000,-84.0744300,335.0
34.15726000,-84.0744500,333.0
34.15737000,-84.0744500,331.0
34.15751000,-84.0743700,331.0
34.15778000,-84.0742600,328.0
34.15793000,-84.0741500,326.0
34.15814000,-84.0739900,322.0
34.15825000,-84.0739600,319.0
34.15837000,-84.0739500,315.0
34.15840000,-84.0740200,312.0
34.15841000,-84.0741400,308.0
34.15839000,-84.0743100,304.0
34.15836000,-84.0744900,300.0
34.15829000,-84.0747400,295.0
34.15812000,-84.0750300,298.0
34.15808000,-84.0752100,298.0
34.15776000,-84.0755200,295.0
34.15765000,-84.0756900,291.0
34.15755000,-84.0758900,287.0
34.15747000,-84.0760400,287.0
34.15734000,-84.0762000,291.0
34.15714000,-84.0764100,299.0
34.15695000,-84.0767400,302.0
34.15692000,-84.0769200,299.0
34.15692000,-84.0771000,296.0
34.15687000,-84.0771700,296.0
34.15648000,-84.0777500,292.0
34.15623000,-84.0780800,295.0
34.15600000,-84.0783400,298.0
34.15592000,-84.0784100,299.0
34.15584000,-84.0784200,299.0
34.15578000,-84.0783500,302.0
34.15572000,-84.0782200,304.0
34.15569000,-84.0780800,306.0
34.15569000,-84.0779300,307.0
34.15570000,-84.0778100,306.0
34.15568000,-84.0777100,306.0
34.15565000,-84.0776500,306.0
34.15555000,-84.0775400,306.0
34.15550000,-84.0774000,308.0
34.15548000,-84.0772900,309.0
34.15548000,-84.0771900,310.0
34.15552000,-84.0771000,309.0
34.15557000,-84.0770300,308.0
34.15567000,-84.0769100,309.0
34.15579000,-84.0767200,310.0
34.15581000,-84.0765100,314.0
34.15575000,-84.0763400,317.0
34.15561000,-84.0762100,318.0
34.15547000,-84.0760900,321.0
34.15544000,-84.0760700,321.0
34.15532000,-84.0759000,324.0
34.15523000,-84.0756400,328.0
34.15513000,-84.0753900,331.0
34.15509000,-84.0752100,332.0
34.15513000,-84.0749600,332.0
34.15519000,-84.0747500,332.0
34.15519000,-84.0745900,332.0
34.15513000,-84.0744800,334.0
34.15508000,-84.0741300,339.0
34.15498000,-84.0737200,348.0
34.15481000,-84.0732800,351.0
34.15474000,-84.0729800,352.0
34.15473000,-84.0726600,351.0
34.15473000,-84.0723700,350.0
34.15477000,-84.0720800,350.0
34.15477000,-84.0718800,352.0
34.15482000,-84.0717000,354.0
34.15491000,-84.0714700,355.0
34.15488000,-84.0712900,355.0
34.15476000,-84.0710900,354.0
34.15467000,-84.0709500,354.0
34.15462000,-84.0708500,354.0
34.15461000,-84.0707700,353.0
34.15458000,-84.0706800,353.0
34.15449000,-84.0704700,352.0
34.15434000,-84.0702500,353.0
34.15427000,-84.0700900,353.0
34.15414000,-84.0699300,354.0
34.15395000,-84.0697700,354.0
34.15373000,-84.0696900,356.0
34.15362000,-84.0695900,356.0
34.15357000,-84.0694000,356.0
34.15348000,-84.0692800,358.0
34.15337000,-84.0691100,360.0
34.15330000,-84.0689500,361.0
34.15337000,-84.0688400,361.0
34.15347000,-84.0686100,360.0
34.15349000,-84.0684500,359.0
34.15341000,-84.0682400,359.0
34.15342000,-84.0679900,357.0
34.15351000,-84.0677100,356.0
34.15359000,-84.0674700,358.0
34.15362000,-84.0671700,360.0
34.15361000,-84.0669900,360.0
34.15366000,-84.0668100,356.0
34.15373000,-84.0667700,354.0
34.15383000,-84.0667300,351.0
34.15389000,-84.0666900,350.0
34.15397000,-84.0666300,349.0
