Latitude,Longitude,Elevation
34.56772000,-84.2450000,767.0
34.56768000,-84.2448600,766.0
34.56763000,-84.2447000,767.0
34.56759000,-84.2445700,769.0
34.56757000,-84.2445300,770.0
34.56752000,-84.2444300,773.0
34.56752000,-84.2444200,773.0
34.56747000,-84.2443100,774.0
34.56743000,-84.2442000,775.0
34.56734000,-84.2441500,774.0
34.56730000,-84.2440600,775.0
34.56724000,-84.2438600,775.0
34.56717000,-84.2435500,783.0
34.56734000,-84.2434000,788.0
34.56735000,-84.2433300,790.0
34.56732000,-84.2432500,792.0
34.56732000,-84.2432000,792.0
34.56735000,-84.2431800,793.0
34.56741000,-84.2431700,794.0
34.56749000,-84.2431700,795.0
34.56758000,-84.2431700,794.0
34.56765000,-84.2431700,794.0
34.56772000,-84.2432000,793.0
34.56778000,-84.2432600,791.0
34.56782000,-84.2432900,790.0
34.56786000,-84.2433200,789.0
34.56790000,-84.2433600,788.0
34.56795000,-84.2433900,786.0
34.56799000,-84.2434200,785.0
34.56802000,-84.2434400,784.0
34.56809000,-84.2434700,783.0
34.56815000,-84.2434800,783.0
34.56821000,-84.2434700,783.0
34.56825000,-84.2434100,785.0
34.56830000,-84.2433600,786.0
34.56835000,-84.2432900,787.0
34.56838000,-84.2432200,788.0
34.56840000,-84.2431600,790.0
34.56842000,-84.2430900,791.0
34.56845000,-84.2430600,791.0
34.56850000,-84.2430300,792.0
34.56854000,-84.2430100,793.0
34.56860000,-84.2429800,794.0
34.56862000,-84.2429800,794.0
34.56867000,-84.2429600,795.0
34.56873000,-84.2429500,795.0
34.56879000,-84.2429300,796.0
34.56884000,-84.2428800,797.0
34.56890000,-84.2428300,798.0
34.56893000,-84.2427700,800.0
34.56896000,-84.2427000,801.0
34.56899000,-84.2426200,803.0
34.56900000,-84.2425500,804.0
34.56904000,-84.2424800,806.0
34.56906000,-84.2424200,806.0
34.56910000,-84.2423200,807.0
34.56907000,-84.2422300,808.0
34.56902000,-84.2421600,809.0
34.56898000,-84.2421000,810.0
34.56898000,-84.2420200,810.0
34.56896000,-84.2419300,810.0
34.56896000,-84.2418600,810.0
34.56895000,-84.2417700,810.0
34.56898000,-84.2416800,811.0
34.56900000,-84.2416200,812.0
34.56906000,-84.2415500,815.0
34.56911000,-84.2415500,816.0
34.56918000,-84.2415500,816.0
34.56926000,-84.2415400,816.0
34.56934000,-84.2415600,815.0
34.56940000,-84.2415800,814.0
34.56956000,-84.2416500,811.0
34.56962000,-84.2416500,810.0
34.56967000,-84.2416600,809.0
34.56972000,-84.2416600,809.0
34.56983000,-84.2416500,807.0
34.56990000,-84.2416200,807.0
34.56998000,-84.2415800,807.0
34.57012000,-84.2415000,807.0
34.57019000,-84.2414400,807.0
34.57035000,-84.2413500,807.0
34.57044000,-84.2412900,809.0
34.57050000,-84.2412200,811.0
34.57057000,-84.2411200,813.0
34.57061000,-84.2410300,815.0
34.57065000,-84.2409200,816.0
34.57070000,-84.2407700,819.0
34.57075000,-84.2406900,819.0
34.57080000,-84.2405700,820.0
34.57083000,-84.2404400,822.0
34.57083000,-84.2403300,824.0
34.57081000,-84.2402200,826.0
34.57073000,-84.2400600,830.0
34.57066000,-84.2398900,834.0
34.57059000,-84.2397300,837.0
34.57056000,-84.2396300,839.0
34.57054000,-84.2395700,840.0
34.57053000,-84.2395100,842.0
34.57054000,-84.2393300,844.0
34.57059000,-84.2392200,844.0
34.57065000,-84.2391200,845.0
34.57070000,-84.2390300,845.0
34.57078000,-84.2389700,846.0
34.57090000,-84.2389800,844.0
34.57098000,-84.2389800,844.0
34.57116000,-84.2390200,842.0
34.57124000,-84.2390400,842.0
34.57134000,-84.2390100,842.0
34.57147000,-84.2389200,845.0
34.57149000,-84.2388600,847.0
34.57149000,-84.2387800,848.0
34.57146000,-84.2386300,850.0
34.57143000,-84.2384900,852.0
34.57140000,-84.2383900,854.0
34.57139000,-84.2382900,855.0
34.57135000,-84.2380700,857.0
34.57135000,-84.2378400,857.0
34.57135000,-84.2377000,857.0
34.57135000,-84.2375200,857.0
34.57135000,-84.2373700,857.0
34.57140000,-84.2371700,856.0
34.57147000,-84.2370500,856.0
34.57152000,-84.2369200,856.0
