Latitude,Longitude,Elevation
34.80686000,-84.2758900,579.0
34.80676000,-84.2760600,579.0
34.80673000,-84.2762000,581.0
34.80672000,-84.2762600,582.0
34.80672000,-84.2763200,583.0
34.80672000,-84.2763800,584.0
34.80674000,-84.2764300,584.0
34.80678000,-84.2764600,585.0
34.80683000,-84.2764500,585.0
34.80687000,-84.2764200,585.0
34.80691000,-84.2764000,585.0
34.80695000,-84.2763700,585.0
34.80700000,-84.2763300,585.0
34.80703000,-84.2763000,585.0
34.80707000,-84.2762600,584.0
34.80710000,-84.2762200,584.0
34.80715000,-84.2761900,584.0
34.80719000,-84.2761700,584.0
34.80724000,-84.2761700,584.0
34.80727000,-84.2761800,585.0
34.80742000,-84.2762300,587.0
34.80750000,-84.2762700,587.0
34.80755000,-84.2762900,588.0
34.80759000,-84.2763000,588.0
34.80764000,-84.2763200,589.0
34.80768000,-84.2763300,589.0
34.80773000,-84.2763300,590.0
34.80779000,-84.2763200,590.0
34.80783000,-84.2763100,590.0
34.80788000,-84.2763100,590.0
34.80793000,-84.2763100,590.0
34.80797000,-84.2763100,591.0
34.80819000,-84.2763200,591.0
34.80823000,-84.2763200,591.0
34.80828000,-84.2763300,591.0
34.80833000,-84.2763500,592.0
34.80837000,-84.2763600,591.0
34.80842000,-84.2763800,591.0
34.80850000,-84.2764100,590.0
34.80858000,-84.2764700,590.0
34.80868000,-84.2765000,587.0
34.80872000,-84.2765200,586.0
34.80876000,-84.2765600,585.0
34.80878000,-84.2766100,584.0
34.80881000,-84.2766500,583.0
34.80883000,-84.2767000,583.0
34.80885000,-84.2767600,582.0
34.80886000,-84.2768100,581.0
34.80886000,-84.2768700,581.0
34.80888000,-84.2769200,580.0
34.80888000,-84.2769800,580.0
34.80888000,-84.2770300,580.0
34.80890000,-84.2770900,579.0
34.80890000,-84.2771400,579.0
34.80888000,-84.2772000,579.0
34.80888000,-84.2772500,579.0
34.80890000,-84.2773000,579.0
34.80891000,-84.2773600,579.0
34.80890000,-84.2774100,579.0
34.80892000,-84.2774700,579.0
34.80894000,-84.2775200,579.0
34.80895000,-84.2775800,579.0
34.80898000,-84.2776200,578.0
34.80899000,-84.2776800,578.0
34.80901000,-84.2777300,578.0
34.80904000,-84.2777800,577.0
34.80906000,-84.2778300,577.0
34.80909000,-84.2778700,577.0
34.80912000,-84.2779200,576.0
34.80914000,-84.2779500,576.0
34.80927000,-84.2780700,575.0
34.80930000,-84.2781000,576.0
34.80934000,-84.2781300,576.0
34.80938000,-84.2781700,576.0
34.80942000,-84.2782000,576.0
34.80946000,-84.2782300,576.0
34.80950000,-84.2782500,577.0
34.80954000,-84.2782800,577.0
34.80957000,-84.2783100,577.0
34.80967000,-84.2783500,577.0
34.80972000,-84.2783700,577.0
34.80976000,-84.2784000,578.0
34.80981000,-84.2784300,579.0
34.80984000,-84.2784500,579.0
34.80989000,-84.2784800,580.0
34.80993000,-84.2784900,580.0
34.80997000,-84.2785200,580.0
34.81000000,-84.2785300,580.0
34.81010000,-84.2785600,581.0
34.81021000,-84.2785900,581.0
34.81033000,-84.2786000,581.0
34.81037000,-84.2786000,582.0
34.81042000,-84.2786000,582.0
34.81047000,-84.2786000,583.0
34.81051000,-84.2785900,583.0
34.81056000,-84.2785800,584.0
34.81060000,-84.2785800,585.0
