Latitude,Longitude,Elevation
34.66357000,-84.1840000,795.0
34.66359000,-84.1840400,794.0
34.66381000,-84.1839100,796.0
34.66392000,-84.1838700,795.0
34.66399000,-84.1838500,794.0
34.66406000,-84.1838000,794.0
34.66422000,-84.1836500,795.0
34.66443000,-84.1833900,796.0
34.66486000,-84.1830100,800.0
34.66503000,-84.1828400,800.0
34.66514000,-84.1827200,799.0
34.66535000,-84.1824100,794.0
34.66545000,-84.1821800,793.0
34.66554000,-84.1819000,794.0
34.66559000,-84.1817500,795.0
34.66564000,-84.1816300,796.0
34.66564000,-84.1815100,798.0
34.66570000,-84.1813700,799.0
34.66578000,-84.1812300,798.0
34.66589000,-84.1810900,798.0
34.66596000,-84.1809500,797.0
34.66605000,-84.1807300,797.0
34.66616000,-84.1805200,797.0
34.66627000,-84.1802900,796.0
34.66633000,-84.1800800,798.0
34.66635000,-84.1799400,799.0
34.66641000,-84.1797700,800.0
34.66643000,-84.1796400,802.0
34.66653000,-84.1794600,803.0
34.66659000,-84.1793700,803.0
34.66659000,-84.1791100,807.0
34.66660000,-84.1790400,808.0
34.66673000,-84.1786600,811.0
34.66685000,-84.1783200,813.0
34.66698000,-84.1780200,814.0
34.66704000,-84.1778100,813.0
34.66706000,-84.1776700,812.0
34.66708000,-84.1775600,812.0
34.66708000,-84.1774600,812.0
34.66708000,-84.1772500,813.0
34.66706000,-84.1771100,815.0
34.66703000,-84.1769600,817.0
34.66700000,-84.1768500,819.0
34.66702000,-84.1767500,820.0
34.66710000,-84.1766500,818.0
34.66713000,-84.1765700,818.0
34.66713000,-84.1764200,820.0
34.66713000,-84.1761800,823.0
34.66712000,-84.1759600,825.0
34.66721000,-84.1757300,826.0
34.66722000,-84.1756300,827.0
34.66723000,-84.1755100,829.0
34.66720000,-84.1754200,831.0
34.66718000,-84.1753500,833.0
34.66716000,-84.1752500,835.0
34.66714000,-84.1751600,836.0
34.66713000,-84.1750900,838.0
34.66712000,-84.1750000,839.0
34.66711000,-84.1749000,840.0
34.66710000,-84.1747100,841.0
34.66706000,-84.1744400,843.0
34.66700000,-84.1743000,847.0
34.66694000,-84.1741800,850.0
34.66674000,-84.1739100,857.0
34.66672000,-84.1738600,858.0
34.66675000,-84.1738100,858.0
34.66681000,-84.1737700,858.0
34.66693000,-84.1737200,857.0
34.66704000,-84.1736500,857.0
34.66710000,-84.1736000,857.0
34.66720000,-84.1735000,858.0
34.66726000,-84.1734400,858.0
34.66733000,-84.1733200,858.0
34.66738000,-84.1731800,859.0
34.66740000,-84.1730700,860.0
34.66739000,-84.1729600,861.0
34.66736000,-84.1728600,862.0
34.66733000,-84.1727600,864.0
34.66729000,-84.1726700,864.0
34.66726000,-84.1725900,864.0
34.66722000,-84.1725200,864.0
34.66710000,-84.1723900,865.0
34.66699000,-84.1722800,865.0
34.66690000,-84.1722200,866.0
34.66685000,-84.1721900,866.0
34.66682000,-84.1721400,867.0
34.66680000,-84.1719900,866.0
34.66676000,-84.1719200,867.0
34.66672000,-84.1718900,867.0
34.66675000,-84.1716800,868.0
34.66680000,-84.1715800,869.0
34.66697000,-84.1714800,869.0
34.66718000,-84.1714500,867.0
34.66730000,-84.1714500,866.0
34.66741000,-84.1713900,866.0
34.66747000,-84.1712900,867.0
34.66754000,-84.1711200,867.0
34.66757000,-84.1710300,867.0
34.66754000,-84.1711200,867.0
34.66747000,-84.1712900,867.0
34.66741000,-84.1713900,866.0
34.66730000,-84.1714500,866.0
34.66718000,-84.1714500,867.0
34.66697000,-84.1714800,869.0
34.66680000,-84.1715800,869.0
34.66675000,-84.1716800,868.0
34.66672000,-84.1718900,867.0
34.66676000,-84.1719200,867.0
34.66680000,-84.1719900,866.0
34.66682000,-84.1721400,867.0
34.66685000,-84.1721900,866.0
34.66690000,-84.1722200,866.0
34.66699000,-84.1722800,865.0
34.66710000,-84.1723900,865.0
34.66722000,-84.1725200,864.0
34.66726000,-84.1725900,864.0
34.66729000,-84.1726700,864.0
34.66733000,-84.1727600,864.0
34.66736000,-84.1728600,862.0
34.66739000,-84.1729600,861.0
34.66740000,-84.1730700,860.0
34.66738000,-84.1731800,859.0
34.66733000,-84.1733200,858.0
34.66726000,-84.1734400,858.0
34.66720000,-84.1735000,858.0
34.66710000,-84.1736000,857.0
34.66704000,-84.1736500,857.0
34.66693000,-84.1737200,857.0
34.66681000,-84.1737700,858.0
34.66675000,-84.1738100,858.0
34.66672000,-84.1738600,858.0
34.66674000,-84.1739100,857.0
34.66694000,-84.1741800,850.0
34.66700000,-84.1743000,847.0
34.66706000,-84.1744400,843.0
34.66710000,-84.1747100,841.0
34.66711000,-84.1749000,840.0
34.66712000,-84.1750000,839.0
