Latitude,Longitude,Elevation
34.63738000,-83.7256500,539.0
34.63748000,-83.7256400,539.0
34.63752000,-83.7256100,539.0
34.63755000,-83.7255700,539.0
34.63758000,-83.7255200,540.0
34.63763000,-83.7255000,540.0
34.63767000,-83.7254900,540.0
34.63772000,-83.7254700,540.0
34.63776000,-83.7254400,541.0
34.63781000,-83.7254200,541.0
34.63785000,-83.7254000,541.0
34.63790000,-83.7253800,542.0
34.63795000,-83.7253700,542.0
34.63801000,-83.7253500,542.0
34.63805000,-83.7253300,542.0
34.63810000,-83.7253100,543.0
34.63815000,-83.7252900,543.0
34.63820000,-83.7252700,543.0
34.63825000,-83.7252600,544.0
34.63831000,-83.7252300,545.0
34.63836000,-83.7252100,546.0
34.63840000,-83.7251700,547.0
34.63844000,-83.7251300,548.0
34.63847000,-83.7250900,549.0
34.63849000,-83.7250400,550.0
34.63848000,-83.7249800,551.0
34.63847000,-83.7249200,553.0
34.63845000,-83.7248700,554.0
34.63843000,-83.7248100,556.0
34.63842000,-83.7247600,557.0
34.63843000,-83.7247100,558.0
34.63843000,-83.7246500,559.0
34.63843000,-83.7245900,560.0
34.63844000,-83.7245300,561.0
34.63844000,-83.7244600,562.0
34.63843000,-83.7243900,564.0
34.63843000,-83.7243300,565.0
34.63844000,-83.7242600,566.0
34.63844000,-83.7242000,567.0
34.63843000,-83.7241300,568.0
34.63843000,-83.7240700,569.0
34.63842000,-83.7240100,569.0
34.63841000,-83.7239500,570.0
34.63840000,-83.7239000,571.0
34.63839000,-83.7238400,571.0
34.63838000,-83.7237800,571.0
34.63837000,-83.7237100,571.0
34.63836000,-83.7236500,571.0
34.63836000,-83.7235800,572.0
34.63835000,-83.7235200,573.0
34.63833000,-83.7234600,573.0
34.63832000,-83.7234000,574.0
34.63830000,-83.7233400,575.0
34.63829000,-83.7232800,577.0
34.63826000,-83.7232200,579.0
34.63824000,-83.7231700,581.0
34.63822000,-83.7231100,582.0
34.63820000,-83.7230500,584.0
34.63818000,-83.7229900,585.0
34.63817000,-83.7229300,587.0
34.63816000,-83.7228800,588.0
34.63814000,-83.7228200,589.0
34.63814000,-83.7227700,590.0
34.63811000,-83.7227000,591.0
34.63810000,-83.7226400,591.0
34.63807000,-83.7225700,592.0
34.63805000,-83.7225200,592.0
34.63804000,-83.7224700,592.0
34.63801000,-83.7224100,592.0
34.63798000,-83.7223500,593.0
34.63798000,-83.7223400,593.0
34.63795000,-83.7222300,594.0
34.63796000,-83.7221800,595.0
34.63798000,-83.7221300,596.0
34.63797000,-83.7220700,597.0
34.63795000,-83.7220100,598.0
34.63794000,-83.7219600,599.0
34.63792000,-83.7219000,600.0
34.63791000,-83.7218500,601.0
34.63789000,-83.7217900,603.0
34.63786000,-83.7217500,604.0
34.63783000,-83.7217000,605.0
34.63778000,-83.7216700,606.0
34.63773000,-83.7216500,607.0
34.63769000,-83.7216500,607.0
34.63763000,-83.7216300,607.0
34.63759000,-83.7216100,608.0
34.63753000,-83.7216000,608.0
34.63748000,-83.7216000,608.0
34.63743000,-83.7215900,608.0
34.63739000,-83.7215600,609.0
34.63735000,-83.7215200,610.0
34.63732000,-83.7214800,611.0
34.63729000,-83.7214400,612.0
34.63725000,-83.7213900,613.0
34.63721000,-83.7213600,614.0
34.63717000,-83.7213300,615.0
34.63713000,-83.7213000,616.0
34.63708000,-83.7212800,617.0
34.63703000,-83.7212500,618.0
34.63698000,-83.7212300,619.0
34.63694000,-83.7212200,619.0
34.63689000,-83.7212000,619.0
34.63684000,-83.7211800,619.0
34.63679000,-83.7211700,619.0
34.63675000,-83.7211500,618.0
34.63671000,-83.7211300,619.0
34.63665000,-83.7211100,619.0
34.63661000,-83.7210900,619.0
34.63641000,-83.7210100,621.0
34.63637000,-83.7210000,621.0
34.63632000,-83.7209800,622.0
34.63628000,-83.7209500,623.0
34.63624000,-83.7209200,624.0
34.63618000,-83.7208800,625.0
34.63615000,-83.7208500,626.0
34.63610000,-83.7208200,627.0
34.63606000,-83.7207800,627.0
34.63602000,-83.7207400,628.0
34.63599000,-83.7207000,629.0
34.63595000,-83.7206700,629.0
34.63592000,-83.7206300,631.0
34.63587000,-83.7205800,631.0
34.63583000,-83.7205300,632.0
34.63579000,-83.7204800,634.0
34.63575000,-83.7204300,635.0
34.63572000,-83.7203800,636.0
34.63569000,-83.7203300,637.0
34.63565000,-83.7202900,637.0
34.63560000,-83.7202500,638.0
34.63556000,-83.7202100,639.0
34.63553000,-83.7201700,640.0
34.63550000,-83.7201300,641.0
34.63546000,-83.7200800,642.0
34.63543000,-83.7200400,643.0
34.63539000,-83.7200000,644.0
34.63535000,-83.7199800,645.0
34.63529000,-83.7199600,645.0
34.63525000,-83.7199500,645.0
34.63520000,-83.7199400,645.0
34.63515000,-83.7199300,645.0
34.63510000,-83.7199200,645.0
34.63506000,-83.7199100,646.0
34.63501000,-83.7199000,646.0
34.63497000,-83.7199100,645.0
34.63492000,-83.7199300,645.0
34.63488000,-83.7199300,645.0
34.63485000,-83.7199300,645.0
34.63472000,-83.7199300,645.0
34.63467000,-83.7199300,645.0
34.63462000,-83.7199200,644.0
34.63458000,-83.7199000,644.0
34.63454000,-83.7198700,644.0
34.63452000,-83.7198200,645.0
34.63450000,-83.7197500,646.0
34.63450000,-83.7196800,647.0
34.63451000,-83.7196100,649.0
34.63452000,-83.7195500,650.0
34.63454000,-83.7195000,650.0
34.63456000,-83.7194500,651.0
34.63459000,-83.7193900,652.0
34.63463000,-83.7193700,652.0
34.63468000,-83.7193500,652.0
34.63472000,-83.7193500,652.0
34.63477000,-83.7193500,652.0
34.63482000,-83.7193600,652.0
34.63487000,-83.7193800,652.0
