Latitude,Longitude,Elevation
34.76035000,-83.4703000,565.0
34.76031000,-83.4702700,565.0
34.76062000,-83.4704100,565.0
34.76090000,-83.4704800,566.0
34.76109000,-83.4705600,565.0
34.76139000,-83.4705100,566.0
34.76170000,-83.4703400,567.0
34.76187000,-83.4703500,568.0
34.76200000,-83.4703600,569.0
34.76216000,-83.4705200,571.0
34.76193000,-83.4707800,570.0
34.76167000,-83.4709000,568.0
34.76134000,-83.4710700,563.0
34.76124000,-83.4711300,561.0
34.76106000,-83.4712300,558.0
34.76096000,-83.4714300,557.0
34.76097000,-83.4716900,557.0
34.76117000,-83.4719600,560.0
34.76132000,-83.4721800,559.0
34.76149000,-83.4723500,558.0
34.76157000,-83.4725100,559.0
34.76168000,-83.4725500,561.0
34.76173000,-83.4726700,563.0
34.76172000,-83.4728000,564.0
34.76168000,-83.4729300,564.0
34.76169000,-83.4730200,565.0
34.76182000,-83.4731900,571.0
34.76192000,-83.4733300,574.0
34.76199000,-83.4735200,577.0
34.76214000,-83.4736500,576.0
34.76244000,-83.4740600,577.0
34.76259000,-83.4741400,576.0
34.76275000,-83.4742200,575.0
34.76291000,-83.4743800,577.0
34.76305000,-83.4745300,577.0
34.76317000,-83.4746000,578.0
34.76329000,-83.4746200,579.0
34.76337000,-83.4746400,580.0
34.76344000,-83.4746500,581.0
34.76353000,-83.4746900,582.0
34.76364000,-83.4747200,584.0
34.76370000,-83.4747200,584.0
34.76383000,-83.4747000,584.0
34.76417000,-83.4746800,586.0
34.76442000,-83.4747700,590.0
34.76467000,-83.4749000,593.0
34.76487000,-83.4750600,593.0
34.76491000,-83.4751200,593.0
34.76514000,-83.4754000,592.0
34.76517000,-83.4754500,593.0
34.76520000,-83.4755000,593.0
34.76522000,-83.4755500,593.0
34.76526000,-83.4756100,593.0
34.76529000,-83.4756600,594.0
34.76533000,-83.4756900,594.0
34.76537000,-83.4757200,594.0
34.76542000,-83.4757300,593.0
34.76547000,-83.4757600,593.0
34.76552000,-83.4757700,593.0
34.76556000,-83.4757900,592.0
34.76562000,-83.4758100,593.0
34.76567000,-83.4758300,594.0
34.76572000,-83.4758300,594.0
34.76579000,-83.4758300,595.0
34.76585000,-83.4758300,596.0
34.76590000,-83.4758300,596.0
34.76595000,-83.4758300,597.0
34.76599000,-83.4758300,598.0
34.76606000,-83.4758100,599.0
34.76613000,-83.4758100,600.0
34.76620000,-83.4758100,601.0
34.76626000,-83.4758100,602.0
34.76631000,-83.4758100,603.0
34.76635000,-83.4758100,604.0
34.76637000,-83.4758100,604.0
34.76664000,-83.4759200,610.0
34.76670000,-83.4759600,610.0
34.76675000,-83.4760100,610.0
34.76680000,-83.4760500,610.0
34.76684000,-83.4760800,610.0
34.76687000,-83.4761200,610.0
34.76691000,-83.4761700,610.0
34.76694000,-83.4762100,611.0
34.76697000,-83.4762700,612.0
34.76701000,-83.4763200,614.0
34.76706000,-83.4763500,615.0
34.76709000,-83.4763900,616.0
34.76714000,-83.4764400,618.0
34.76718000,-83.4764800,619.0
34.76720000,-83.4765300,620.0
34.76723000,-83.4765800,622.0
34.76728000,-83.4766400,624.0
34.76731000,-83.4766900,625.0
34.76735000,-83.4767300,626.0
34.76740000,-83.4767700,626.0
34.76744000,-83.4768000,627.0
34.76748000,-83.4768500,627.0
34.76751000,-83.4769000,627.0
34.76753000,-83.4769300,627.0
34.76765000,-83.4770600,628.0
34.76769000,-83.4771000,629.0
34.76775000,-83.4771300,629.0
34.76780000,-83.4771500,630.0
34.76785000,-83.4771600,632.0
34.76789000,-83.4771700,633.0
34.76792000,-83.4772300,634.0
34.76796000,-83.4772800,636.0
34.76800000,-83.4773100,638.0
34.76804000,-83.4773300,640.0
34.76809000,-83.4773300,641.0
34.76812000,-83.4773300,642.0
34.76840000,-83.4772600,649.0
34.76844000,-83.4772900,651.0
34.76848000,-83.4773200,653.0
34.76853000,-83.4773500,655.0
34.76857000,-83.4773800,656.0
34.76860000,-83.4774300,658.0
34.76863000,-83.4774800,659.0
34.76864000,-83.4775100,659.0
34.76876000,-83.4776800,661.0
34.76879000,-83.4777100,661.0
34.76883000,-83.4777600,662.0
34.76887000,-83.4777900,662.0
34.76891000,-83.4778300,662.0
34.76895000,-83.4778500,662.0
34.76901000,-83.4778800,663.0
34.76905000,-83.4778900,663.0
34.76909000,-83.4779200,663.0
34.76913000,-83.4779600,663.0
34.76918000,-83.4779900,663.0
34.76922000,-83.4780400,663.0
34.76925000,-83.4780700,664.0
34.76929000,-83.4781000,665.0
34.76931000,-83.4781100,666.0
34.76947000,-83.4782800,672.0
34.76953000,-83.4782800,672.0
34.76959000,-83.4782800,673.0
34.76965000,-83.4782900,674.0
34.76971000,-83.4783000,675.0
34.76975000,-83.4783100,676.0
34.76979000,-83.4783400,676.0
34.76983000,-83.4783800,677.0
34.76988000,-83.4783900,678.0
34.76992000,-83.4783600,678.0
34.76996000,-83.4783100,678.0
34.77000000,-83.4782700,678.0
34.77003000,-83.4782400,678.0
34.77007000,-83.4782100,679.0
34.77012000,-83.4781900,679.0
34.77028000,-83.4781800,682.0
34.77033000,-83.4781700,684.0
34.77037000,-83.4781500,685.0
34.77043000,-83.4781500,686.0
34.77049000,-83.4781500,688.0
34.77054000,-83.4781600,690.0
34.77059000,-83.4781700,692.0
34.77063000,-83.4781600,693.0
34.77081000,-83.4781200,698.0
34.77086000,-83.4781400,700.0
34.77091000,-83.4781500,701.0
34.77096000,-83.4781600,703.0
34.77102000,-83.4781800,705.0
34.77105000,-83.4781900,706.0
34.77102000,-83.4781800,705.0
34.77096000,-83.4781600,703.0
34.77091000,-83.4781500,701.0
34.77086000,-83.4781400,700.0
34.77081000,-83.4781200,698.0
34.77063000,-83.4781600,693.0
34.77059000,-83.4781700,692.0
34.77054000,-83.4781600,690.0
34.77049000,-83.4781500,688.0
34.77043000,-83.4781500,686.0
34.77037000,-83.4781500,685.0
34.77033000,-83.4781700,684.0
34.77028000,-83.4781800,682.0
34.77012000,-83.4781900,679.0
34.77007000,-83.4782100,679.0
34.77003000,-83.4782400,678.0
34.77000000,-83.4782700,678.0
34.76996000,-83.4783100,678.0
34.76992000,-83.4783600,678.0
34.76988000,-83.4783900,678.0
34.76983000,-83.4783800,677.0
34.76979000,-83.4783400,676.0
34.76975000,-83.4783100,676.0
34.76971000,-83.4783000,675.0
34.76965000,-83.4782900,674.0
34.76959000,-83.4782800,673.0
34.76953000,-83.4782800,672.0
34.76947000,-83.4782800,672.0
34.76931000,-83.4781100,666.0
34.76929000,-83.4781000,665.0
34.76925000,-83.4780700,664.0
34.76922000,-83.4780400,663.0
34.76918000,-83.4779900,663.0
34.76913000,-83.4779600,663.0
34.76909000,-83.4779200,663.0
34.76905000,-83.4778900,663.0
34.76901000,-83.4778800,663.0
34.76895000,-83.4778500,662.0
34.76891000,-83.4778300,662.0
34.76887000,-83.4777900,662.0
34.76883000,-83.4777600,662.0
34.76879000,-83.4777100,661.0
34.76876000,-83.4776800,661.0
34.76864000,-83.4775100,659.0
34.76863000,-83.4774800,659.0
34.76860000,-83.4774300,658.0
34.76857000,-83.4773800,656.0
34.76853000,-83.4773500,655.0
34.76848000,-83.4773200,653.0
34.76844000,-83.4772900,651.0
34.76840000,-83.4772600,649.0
34.76812000,-83.4773300,642.0
34.76809000,-83.4773300,641.0
34.76804000,-83.4773300,640.0
34.76800000,-83.4773100,638.0
34.76796000,-83.4772800,636.0
34.76792000,-83.4772300,634.0
34.76789000,-83.4771700,633.0
34.76785000,-83.4771600,632.0
34.76780000,-83.4771500,630.0
34.76775000,-83.4771300,629.0
34.76769000,-83.4771000,629.0
34.76765000,-83.4770600,628.0
34.76753000,-83.4769300,627.0
34.76751000,-83.4769000,627.0
34.76748000,-83.4768500,627.0
34.76744000,-83.4768000,627.0
34.76740000,-83.4767700,626.0
34.76735000,-83.4767300,626.0
34.76731000,-83.4766900,625.0
34.76728000,-83.4766400,624.0
34.76723000,-83.4765800,622.0
34.76720000,-83.4765300,620.0
34.76718000,-83.4764800,619.0
34.76714000,-83.4764400,618.0
34.76709000,-83.4763900,616.0
34.76706000,-83.4763500,615.0
34.76701000,-83.4763200,614.0
34.76697000,-83.4762700,612.0
34.76694000,-83.4762100,611.0
34.76691000,-83.4761700,610.0
34.76687000,-83.4761200,610.0
34.76684000,-83.4760800,610.0
34.76680000,-83.4760500,610.0
34.76675000,-83.4760100,610.0
34.76670000,-83.4759600,610.0
34.76664000,-83.4759200,610.0
34.76637000,-83.4758100,604.0
34.76635000,-83.4758100,604.0
34.76631000,-83.4758100,603.0
34.76626000,-83.4758100,602.0
34.76620000,-83.4758100,601.0
34.76613000,-83.4758100,600.0
34.76606000,-83.4758100,599.0
34.76599000,-83.4758300,598.0
34.76595000,-83.4758300,597.0
34.76590000,-83.4758300,596.0
34.76585000,-83.4758300,596.0
34.76579000,-83.4758300,595.0
34.76572000,-83.4758300,594.0
34.76567000,-83.4758300,594.0
34.76562000,-83.4758100,593.0
34.76556000,-83.4757900,592.0
34.76552000,-83.4757700,593.0
34.76547000,-83.4757600,593.0
34.76542000,-83.4757300,593.0
34.76537000,-83.4757200,594.0
34.76533000,-83.4756900,594.0
34.76529000,-83.4756600,594.0
34.76526000,-83.4756100,593.0
34.76522000,-83.4755500,593.0
34.76520000,-83.4755000,593.0
34.76517000,-83.4754500,593.0
34.76514000,-83.4754000,592.0
34.76491000,-83.4751200,593.0
34.76487000,-83.4750600,593.0
34.76467000,-83.4749000,593.0
34.76442000,-83.4747700,590.0
34.76417000,-83.4746800,586.0
34.76383000,-83.4747000,584.0
34.76370000,-83.4747200,584.0
34.76364000,-83.4747200,584.0
34.76353000,-83.4746900,582.0
34.76344000,-83.4746500,581.0
34.76337000,-83.4746400,580.0
34.76329000,-83.4746200,579.0
34.76317000,-83.4746000,578.0
34.76305000,-83.4745300,577.0
34.76291000,-83.4743800,577.0
34.76275000,-83.4742200,575.0
34.76259000,-83.4741400,576.0
34.76244000,-83.4740600,577.0
34.76214000,-83.4736500,576.0
34.76199000,-83.4735200,577.0
34.76192000,-83.4733300,574.0
34.76182000,-83.4731900,571.0
34.76169000,-83.4730200,565.0
34.76168000,-83.4729300,564.0
34.76172000,-83.4728000,564.0
34.76173000,-83.4726700,563.0
34.76168000,-83.4725500,561.0
34.76157000,-83.4725100,559.0
34.76149000,-83.4723500,558.0
34.76132000,-83.4721800,559.0
34.76117000,-83.4719600,560.0
34.76097000,-83.4716900,557.0
34.76096000,-83.4714300,557.0
34.76106000,-83.4712300,558.0
34.76124000,-83.4711300,561.0
34.76134000,-83.4710700,563.0
34.76167000,-83.4709000,568.0
34.76193000,-83.4707800,570.0
34.76216000,-83.4705200,571.0
34.76200000,-83.4703600,569.0
34.76187000,-83.4703500,568.0
34.76170000,-83.4703400,567.0
34.76139000,-83.4705100,566.0
34.76109000,-83.4705600,565.0
34.76090000,-83.4704800,566.0
34.76062000,-83.4704100,565.0
34.76031000,-83.4702700,565.0
