Latitude,Longitude,Elevation
33.96330000,-84.5941600,316.0
33.96329000,-84.5937600,322.0
33.96329000,-84.5936600,323.0
33.96338000,-84.5936000,324.0
33.96344000,-84.5936100,325.0
33.96349000,-84.5936000,326.0
33.96354000,-84.5935900,327.0
33.96359000,-84.5935800,328.0
33.96363000,-84.5935400,329.0
33.96365000,-84.5934800,330.0
33.96365000,-84.5934300,331.0
33.96364000,-84.5933900,331.0
33.96366000,-84.5932000,335.0
33.96368000,-84.5931300,336.0
33.96370000,-84.5930800,338.0
33.96372000,-84.5930300,339.0
33.96375000,-84.5929700,340.0
33.96378000,-84.5929200,342.0
33.96380000,-84.5928600,343.0
33.96383000,-84.5927700,344.0
33.96383000,-84.5927600,344.0
33.96387000,-84.5926500,345.0
33.96390000,-84.5926000,346.0
33.96392000,-84.5925600,346.0
33.96395000,-84.5925100,346.0
33.96399000,-84.5924700,347.0
33.96402000,-84.5924300,348.0
33.96405000,-84.5923900,349.0
33.96408000,-84.5923300,350.0
33.96410000,-84.5922800,351.0
33.96414000,-84.5922500,352.0
33.96418000,-84.5922300,353.0
33.96439000,-84.5921700,358.0
33.96443000,-84.5921600,359.0
33.96448000,-84.5921500,360.0
33.96452000,-84.5921300,361.0
33.96455000,-84.5920900,361.0
33.96458000,-84.5920400,362.0
33.96461000,-84.5920000,363.0
33.96465000,-84.5919700,364.0
33.96469000,-84.5919300,365.0
33.96471000,-84.5918800,366.0
33.96471000,-84.5918400,366.0
33.96477000,-84.5917400,367.0
33.96479000,-84.5916900,368.0
33.96481000,-84.5916400,368.0
33.96485000,-84.5916000,369.0
33.96488000,-84.5915700,369.0
33.96492000,-84.5915300,370.0
33.96496000,-84.5914900,371.0
33.96499000,-84.5914500,371.0
33.96500000,-84.5913900,372.0
33.96500000,-84.5913400,373.0
33.96501000,-84.5912800,373.0
33.96501000,-84.5912200,374.0
33.96502000,-84.5912200,374.0
33.96506000,-84.5911000,375.0
33.96508000,-84.5910400,376.0
33.96512000,-84.5910100,376.0
33.96516000,-84.5910100,376.0
33.96520000,-84.5909600,377.0
33.96523000,-84.5909100,378.0
33.96525000,-84.5908500,378.0
33.96527000,-84.5908000,379.0
33.96529000,-84.5907500,379.0
33.96531000,-84.5906900,379.0
33.96533000,-84.5906400,379.0
33.96534000,-84.5905800,380.0
33.96535000,-84.5905300,380.0
33.96535000,-84.5905200,380.0
33.96536000,-84.5903700,380.0
33.96538000,-84.5903000,380.0
33.96540000,-84.5902500,380.0
33.96542000,-84.5901900,380.0
33.96545000,-84.5901500,381.0
33.96547000,-84.5900900,381.0
33.96548000,-84.5900200,382.0
33.96548000,-84.5899700,382.0
33.96548000,-84.5899500,382.0
33.96549000,-84.5898500,382.0
33.96552000,-84.5897900,383.0
33.96553000,-84.5897300,383.0
33.96555000,-84.5896800,383.0
33.96558000,-84.5896300,384.0
33.96562000,-84.5895900,384.0
33.96566000,-84.5895400,384.0
33.96569000,-84.5894900,384.0
33.96571000,-84.5894300,384.0
33.96572000,-84.5893800,384.0
33.96573000,-84.5893600,384.0
33.96574000,-84.5892500,383.0
33.96576000,-84.5891900,383.0
33.96579000,-84.5891300,384.0
33.96581000,-84.5890800,384.0
33.96583000,-84.5890200,384.0
33.96583000,-84.5889600,384.0
33.96584000,-84.5889000,384.0
33.96584000,-84.5888500,384.0
33.96584000,-84.5888100,384.0
33.96584000,-84.5887100,384.0
33.96587000,-84.5886400,384.0
33.96590000,-84.5885900,384.0
33.96592000,-84.5885400,384.0
33.96594000,-84.5884600,384.0
33.96596000,-84.5883900,384.0
33.96598000,-84.5883400,384.0
33.96601000,-84.5882800,384.0
33.96602000,-84.5882200,383.0
33.96602000,-84.5881700,383.0
33.96602000,-84.5881600,383.0
33.96608000,-84.5880600,384.0
33.96612000,-84.5880300,384.0
33.96616000,-84.5879800,384.0
33.96619000,-84.5879300,384.0
33.96621000,-84.5878900,384.0
33.96624000,-84.5878400,383.0
33.96628000,-84.5878200,384.0
33.96635000,-84.5878500,385.0
33.96644000,-84.5878700,386.0
33.96648000,-84.5878400,387.0
33.96651000,-84.5877900,386.0
33.96655000,-84.5877800,387.0
33.96660000,-84.5877900,387.0
33.96665000,-84.5878000,387.0
33.96679000,-84.5877800,389.0
33.96684000,-84.5877600,389.0
33.96688000,-84.5877200,390.0
33.96693000,-84.5876800,390.0
33.96697000,-84.5876600,391.0
33.96699000,-84.5876400,392.0
33.96712000,-84.5875800,396.0
33.96716000,-84.5875400,397.0
33.96719000,-84.5875000,398.0
33.96723000,-84.5874700,400.0
33.96728000,-84.5874500,401.0
33.96732000,-84.5874300,402.0
