Latitude,Longitude,Elevation
34.34840000,-84.6648000,262.0
34.34845000,-84.6648000,262.0
34.34849000,-84.6647800,262.0
34.34851000,-84.6647300,263.0
34.34854000,-84.6646900,263.0
34.34858000,-84.6646500,264.0
34.34863000,-84.6646300,264.0
34.34867000,-84.6646100,265.0
34.34872000,-84.6646000,265.0
34.34877000,-84.6646000,266.0
34.34882000,-84.6646000,266.0
34.34887000,-84.6646100,267.0
34.34892000,-84.6646300,267.0
34.34895000,-84.6646500,267.0
34.34922000,-84.6647900,268.0
34.34928000,-84.6648300,267.0
34.34933000,-84.6648600,267.0
34.34937000,-84.6648800,267.0
34.34942000,-84.6649000,267.0
34.34947000,-84.6649100,268.0
34.34952000,-84.6649100,268.0
34.34954000,-84.6649100,268.0
34.35005000,-84.6648700,266.0
34.35046000,-84.6648600,264.0
34.35065000,-84.6649000,262.0
34.35071000,-84.6649100,262.0
34.35076000,-84.6649100,262.0
34.35081000,-84.6649000,262.0
34.35085000,-84.6649000,262.0
34.35090000,-84.6649100,261.0
34.35094000,-84.6649200,261.0
34.35098000,-84.6649500,261.0
34.35107000,-84.6650300,260.0
34.35112000,-84.6650400,261.0
34.35117000,-84.6650400,261.0
34.35122000,-84.6650300,261.0
34.35126000,-84.6650400,261.0
34.35131000,-84.6650700,261.0
34.35135000,-84.6650900,262.0
34.35140000,-84.6651100,262.0
34.35145000,-84.6651100,262.0
34.35150000,-84.6651100,262.0
34.35185000,-84.6650100,263.0
34.35214000,-84.6649700,264.0
34.35219000,-84.6649800,264.0
34.35223000,-84.6649800,264.0
34.35228000,-84.6649900,264.0
34.35229000,-84.6649900,264.0
34.35264000,-84.6651300,267.0
34.35271000,-84.6651500,268.0
34.35275000,-84.6651600,268.0
34.35280000,-84.6651700,268.0
34.35285000,-84.6651700,269.0
34.35290000,-84.6651700,270.0
34.35292000,-84.6651600,270.0
34.35308000,-84.6651500,272.0
34.35348000,-84.6650600,276.0
34.35353000,-84.6650500,276.0
34.35358000,-84.6650400,276.0
34.35363000,-84.6650400,277.0
34.35368000,-84.6650200,277.0
34.35372000,-84.6650100,277.0
34.35377000,-84.6649800,277.0
34.35379000,-84.6649300,277.0
34.35381000,-84.6648600,277.0
34.35381000,-84.6648000,277.0
34.35380000,-84.6647500,276.0
34.35379000,-84.6646900,276.0
34.35377000,-84.6646400,276.0
34.35376000,-84.6645800,275.0
34.35374000,-84.6645200,275.0
34.35373000,-84.6644700,274.0
34.35372000,-84.6644100,274.0
34.35372000,-84.6643500,274.0
34.35374000,-84.6641300,275.0
34.35376000,-84.6640700,276.0
34.35377000,-84.6640100,276.0
34.35379000,-84.6639600,277.0
34.35381000,-84.6639100,278.0
34.35384000,-84.6638600,279.0
34.35388000,-84.6638200,280.0
34.35398000,-84.6636900,283.0
34.35402000,-84.6636600,283.0
34.35407000,-84.6636300,283.0
34.35412000,-84.6636200,283.0
34.35417000,-84.6636100,284.0
34.35422000,-84.6636000,284.0
34.35427000,-84.6635800,285.0
34.35431000,-84.6635600,285.0
34.35435000,-84.6635400,286.0
34.35439000,-84.6635100,287.0
34.35452000,-84.6634300,289.0
34.35457000,-84.6634100,289.0
34.35461000,-84.6634000,290.0
34.35469000,-84.6633800,291.0
34.35473000,-84.6633800,291.0
34.35478000,-84.6633700,292.0
34.35483000,-84.6633500,292.0
34.35487000,-84.6633200,293.0
34.35491000,-84.6632900,293.0
34.35494000,-84.6632700,294.0
34.35504000,-84.6631600,296.0
34.35508000,-84.6631300,298.0
34.35513000,-84.6631100,299.0
34.35517000,-84.6630900,300.0
34.35521000,-84.6630600,302.0
34.35524000,-84.6630200,303.0
34.35525000,-84.6629500,304.0
34.35527000,-84.6629000,304.0
34.35529000,-84.6628500,305.0
34.35532000,-84.6628000,306.0
34.35536000,-84.6627700,307.0
34.35539000,-84.6627300,309.0
34.35542000,-84.6626800,310.0
34.35544000,-84.6626300,311.0
34.35546000,-84.6625700,312.0
34.35547000,-84.6625300,313.0
34.35556000,-84.6623500,315.0
34.35559000,-84.6623000,316.0
34.35563000,-84.6622700,316.0
34.35567000,-84.6622500,316.0
34.35572000,-84.6622200,317.0
34.35577000,-84.6622100,317.0
34.35587000,-84.6621800,318.0
34.35592000,-84.6621800,319.0
34.35597000,-84.6621800,320.0
34.35601000,-84.6621700,320.0
34.35606000,-84.6621500,321.0
34.35607000,-84.6620900,321.0
34.35603000,-84.6620600,321.0
34.35598000,-84.6620400,320.0
34.35593000,-84.6620200,320.0
34.35589000,-84.6620000,319.0
34.35584000,-84.6619800,318.0
34.35580000,-84.6619500,318.0
34.35578000,-84.6619100,318.0
34.35577000,-84.6618500,319.0
34.35577000,-84.6618000,319.0
34.35578000,-84.6617400,320.0
34.35579000,-84.6616800,320.0
34.35581000,-84.6616300,321.0
34.35583000,-84.6615800,321.0
34.35585000,-84.6615300,322.0
34.35587000,-84.6614800,322.0
