Latitude,Longitude,Elevation
34.17523000,-84.7535300,294.0
34.17523000,-84.7535200,295.0
34.17526000,-84.7534200,297.0
34.17530000,-84.7533100,299.0
34.17537000,-84.7530200,301.0
34.17562000,-84.7526900,300.0
34.17573000,-84.7522500,296.0
34.17597000,-84.7519100,303.0
34.17606000,-84.7518000,307.0
34.17610000,-84.7516100,309.0
34.17592000,-84.7515500,306.0
34.17615000,-84.7514600,310.0
34.17628000,-84.7514800,311.0
34.17626000,-84.7514800,311.0
34.17647000,-84.7515300,311.0
34.17662000,-84.7514500,313.0
34.17663000,-84.7514500,313.0
34.17672000,-84.7514100,315.0
34.17681000,-84.7514700,315.0
34.17682000,-84.7514700,315.0
34.17704000,-84.7514400,318.0
34.17726000,-84.7515200,317.0
34.17752000,-84.7515200,322.0
34.17753000,-84.7515300,322.0
34.17770000,-84.7516100,324.0
34.17797000,-84.7517300,327.0
34.17828000,-84.7518100,331.0
34.17829000,-84.7518100,331.0
34.17845000,-84.7518200,332.0
34.17845000,-84.7518100,332.0
34.17855000,-84.7518200,332.0
34.17862000,-84.7518000,333.0
34.17859000,-84.7517200,335.0
34.17854000,-84.7516800,335.0
34.17860000,-84.7516800,335.0
34.17865000,-84.7516300,336.0
34.17861000,-84.7516100,337.0
34.17862000,-84.7515300,340.0
34.17848000,-84.7513900,344.0
34.17858000,-84.7513100,347.0
34.17848000,-84.7512000,351.0
34.17853000,-84.7511600,352.0
34.17843000,-84.7510600,355.0
34.17850000,-84.7510500,355.0
34.17864000,-84.7509500,356.0
34.17853000,-84.7509300,358.0
34.17853000,-84.7508500,359.0
34.17855000,-84.7507100,360.0
34.17847000,-84.7506400,361.0
34.17846000,-84.7506400,362.0
34.17839000,-84.7505500,363.0
34.17833000,-84.7504600,364.0
34.17811000,-84.7503900,365.0
34.17800000,-84.7502600,368.0
34.17779000,-84.7500600,372.0
34.17774000,-84.7499100,372.0
34.17773000,-84.7499000,372.0
34.17768000,-84.7497300,371.0
34.17762000,-84.7495100,372.0
34.17762000,-84.7495000,373.0
34.17766000,-84.7493600,376.0
34.17767000,-84.7493600,376.0
34.17774000,-84.7492400,380.0
34.17779000,-84.7490900,383.0
34.17779000,-84.7490800,384.0
34.17783000,-84.7489200,388.0
34.17783000,-84.7489100,388.0
34.17794000,-84.7488000,391.0
34.17796000,-84.7488000,391.0
34.17818000,-84.7487300,393.0
34.17845000,-84.7486600,397.0
34.17868000,-84.7486700,401.0
34.17869000,-84.7486700,401.0
34.17886000,-84.7486600,403.0
34.17904000,-84.7485900,405.0
34.17906000,-84.7485900,405.0
34.17911000,-84.7485800,405.0
34.17909000,-84.7485700,405.0
34.17899000,-84.7484700,408.0
34.17896000,-84.7484000,409.0
34.17888000,-84.7483400,410.0
34.17886000,-84.7483300,410.0
34.17877000,-84.7482500,411.0
34.17876000,-84.7482300,412.0
34.17868000,-84.7480800,414.0
34.17860000,-84.7479200,418.0
34.17859000,-84.7479000,418.0
34.17853000,-84.7478200,421.0
34.17848000,-84.7477400,423.0
34.17868000,-84.7477700,423.0
34.17870000,-84.7477800,423.0
34.17884000,-84.7478200,424.0
34.17897000,-84.7477900,425.0
34.17902000,-84.7477300,426.0
34.17896000,-84.7476200,429.0
34.17874000,-84.7474800,432.0
34.17868000,-84.7474000,434.0
34.17856000,-84.7473300,436.0
34.17846000,-84.7472300,438.0
34.17843000,-84.7472200,438.0
34.17831000,-84.7471600,438.0
34.17830000,-84.7471600,438.0
34.17840000,-84.7470400,441.0
34.17818000,-84.7468600,446.0
34.17817000,-84.7468500,446.0
34.17810000,-84.7467900,448.0
34.17818000,-84.7465900,451.0
34.17829000,-84.7464000,453.0
34.17832000,-84.7462000,455.0
34.17831000,-84.7461800,455.0
34.17839000,-84.7461100,454.0
34.17849000,-84.7459900,452.0
34.17878000,-84.7458700,447.0
34.17889000,-84.7458100,444.0
34.17887000,-84.7456900,444.0
34.17862000,-84.7454600,444.0
34.17848000,-84.7453100,443.0
34.17856000,-84.7452300,439.0
34.17878000,-84.7452400,436.0
34.17879000,-84.7452400,435.0
34.17899000,-84.7451300,428.0
34.17898000,-84.7451400,429.0
34.17880000,-84.7450700,429.0
34.17872000,-84.7449700,426.0
34.17862000,-84.7448200,424.0
34.17858000,-84.7446400,420.0
34.17854000,-84.7443600,415.0
34.17849000,-84.7441500,411.0
34.17839000,-84.7439100,409.0
34.17838000,-84.7439100,409.0
34.17823000,-84.7437300,409.0
34.17804000,-84.7435300,409.0
34.17802000,-84.7435100,408.0
34.17778000,-84.7433000,406.0
34.17773000,-84.7431500,401.0
34.17772000,-84.7431400,402.0
34.17767000,-84.7429400,398.0
34.17768000,-84.7426500,395.0
34.17769000,-84.7424100,392.0
34.17773000,-84.7424000,392.0
34.17774000,-84.7424200,392.0
34.17782000,-84.7425600,391.0
34.17782000,-84.7425800,391.0
34.17787000,-84.7427400,391.0
34.17787000,-84.7427500,391.0
34.17794000,-84.7427800,389.0
34.17798000,-84.7426300,386.0
34.17807000,-84.7421800,382.0
34.17808000,-84.7421800,382.0
34.17823000,-84.7419100,376.0
34.17835000,-84.7416900,371.0
34.17835000,-84.7416800,371.0
34.17849000,-84.7414100,365.0
34.17850000,-84.7414000,365.0
34.17852000,-84.7413200,363.0
34.17851000,-84.7413000,363.0
34.17842000,-84.7411600,361.0
34.17839000,-84.7410800,360.0
34.17866000,-84.7410100,354.0
34.17883000,-84.7411100,354.0
34.17884000,-84.7411100,353.0
34.17896000,-84.7412000,350.0
34.17897000,-84.7412100,350.0
34.17907000,-84.7412700,347.0
34.17908000,-84.7412500,347.0
34.17912000,-84.7411400,346.0
34.17912000,-84.7411300,347.0
34.17909000,-84.7409800,346.0
34.17908000,-84.7409600,346.0
34.17903000,-84.7407700,345.0
34.17902000,-84.7407600,345.0
34.17890000,-84.7405500,341.0
34.17890000,-84.7405400,341.0
34.17875000,-84.7404500,339.0
34.17857000,-84.7403900,336.0
34.17849000,-84.7403900,335.0
34.17832000,-84.7403400,332.0
34.17818000,-84.7403700,334.0
34.17817000,-84.7403700,334.0
34.17800000,-84.7403100,332.0
34.17786000,-84.7402400,331.0
34.17786000,-84.7402300,330.0
34.17768000,-84.7402000,330.0
34.17753000,-84.7401400,328.0
34.17739000,-84.7401700,328.0
34.17722000,-84.7402900,331.0
34.17721000,-84.7403200,331.0
34.17709000,-84.7403900,331.0
34.17706000,-84.7403900,331.0
34.17701000,-84.7403300,328.0
34.17698000,-84.7403100,327.0
34.17693000,-84.7402200,325.0
34.17691000,-84.7402100,324.0
34.17681000,-84.7400600,322.0
34.17680000,-84.7400600,322.0
34.17678000,-84.7399400,321.0
34.17678000,-84.7399200,321.0
34.17678000,-84.7397700,319.0
34.17678000,-84.7397500,318.0
34.17680000,-84.7396700,316.0
34.17681000,-84.7396600,316.0
34.17686000,-84.7395700,313.0
34.17687000,-84.7394600,311.0
34.17686000,-84.7394500,310.0
34.17682000,-84.7393400,310.0
34.17681000,-84.7393300,310.0
34.17673000,-84.7392400,309.0
34.17670000,-84.7391600,308.0
34.17670000,-84.7391400,308.0
34.17673000,-84.7390100,308.0
34.17673000,-84.7390000,308.0
34.17678000,-84.7389400,308.0
34.17679000,-84.7389300,308.0
34.17691000,-84.7388500,307.0
34.17692000,-84.7388400,307.0
34.17712000,-84.7388200,304.0
34.17713000,-84.7388100,304.0
34.17723000,-84.7387500,302.0
34.17731000,-84.7386700,300.0
34.17732000,-84.7386500,299.0
34.17735000,-84.7385000,298.0
34.17735000,-84.7384900,298.0
34.17735000,-84.7384300,298.0
34.17734000,-84.7383800,298.0
34.17727000,-84.7382200,298.0
34.17724000,-84.7381900,299.0
34.17716000,-84.7381100,299.0
34.17714000,-84.7380800,299.0
34.17708000,-84.7380000,298.0
34.17707000,-84.7379800,297.0
34.17704000,-84.7379200,296.0
34.17704000,-84.7378700,295.0
34.17705000,-84.7377900,293.0
34.17707000,-84.7377600,292.0
34.17713000,-84.7376900,291.0
34.17718000,-84.7376600,290.0
34.17718000,-84.7376500,290.0
34.17721000,-84.7376100,289.0
34.17722000,-84.7375500,288.0
34.17722000,-84.7375400,288.0
34.17722000,-84.7375100,288.0
34.17722000,-84.7375000,288.0
34.17726000,-84.7374700,287.0
34.17727000,-84.7374800,287.0
34.17730000,-84.7375100,287.0
34.17730000,-84.7375200,287.0
34.17731000,-84.7375700,288.0
34.17730000,-84.7375900,288.0
34.17729000,-84.7376300,289.0
34.17727000,-84.7376600,289.0
34.17726000,-84.7377200,290.0
34.17725000,-84.7377300,291.0
34.17725000,-84.7377900,292.0
34.17726000,-84.7378200,292.0
34.17733000,-84.7379600,294.0
34.17735000,-84.7379700,293.0
34.17742000,-84.7380200,293.0
34.17744000,-84.7380300,292.0
34.17750000,-84.7380800,292.0
34.17752000,-84.7381100,292.0
34.17758000,-84.7382500,293.0
34.17758000,-84.7382600,293.0
34.17761000,-84.7383500,293.0
34.17761000,-84.7383900,293.0
34.17761000,-84.7384800,293.0
34.17761000,-84.7385200,294.0
34.17760000,-84.7385900,294.0
34.17760000,-84.7386300,294.0
34.17759000,-84.7387000,295.0
34.17759000,-84.7387400,295.0
34.17759000,-84.7387900,295.0
34.17759000,-84.7388100,295.0
34.17762000,-84.7388600,296.0
34.17762000,-84.7388700,296.0
34.17766000,-84.7388800,296.0
34.17768000,-84.7388800,296.0
34.17770000,-84.7388700,296.0
34.17771000,-84.7388700,296.0
34.17773000,-84.7388500,295.0
34.17773000,-84.7388400,295.0
34.17774000,-84.7388000,295.0
34.17774000,-84.7387400,294.0
34.17779000,-84.7386300,293.0
34.17779000,-84.7386200,293.0
34.17782000,-84.7385400,293.0
34.17783000,-84.7385000,293.0
34.17786000,-84.7383300,293.0
34.17786000,-84.7381600,292.0
34.17786000,-84.7381400,291.0
34.17786000,-84.7381000,291.0
34.17788000,-84.7380800,291.0
34.17792000,-84.7380600,291.0
34.17793000,-84.7380600,291.0
34.17798000,-84.7380700,291.0
34.17800000,-84.7381100,292.0
34.17812000,-84.7382400,294.0
34.17835000,-84.7383500,297.0
34.17843000,-84.7384100,298.0
34.17844000,-84.7384100,298.0
34.17853000,-84.7384300,298.0
34.17854000,-84.7384300,298.0
34.17864000,-84.7384500,299.0
34.17868000,-84.7386300,303.0
34.17874000,-84.7386700,304.0
34.17875000,-84.7386700,304.0
34.17876000,-84.7386500,303.0
34.17886000,-84.7386000,301.0
34.17886000,-84.7385900,300.0
34.17907000,-84.7386200,301.0
34.17908000,-84.7386200,301.0
34.17918000,-84.7386500,303.0
34.17918000,-84.7386600,303.0
34.17927000,-84.7388100,308.0
34.17932000,-84.7389500,311.0
34.17932000,-84.7389600,311.0
34.17938000,-84.7390600,313.0
34.17939000,-84.7390600,313.0
34.17945000,-84.7390700,314.0
34.17955000,-84.7389600,311.0
34.17962000,-84.7389200,310.0
34.17971000,-84.7389800,311.0
34.17972000,-84.7389900,311.0
34.17983000,-84.7390700,312.0
34.17985000,-84.7390800,312.0
34.18002000,-84.7391900,314.0
34.18010000,-84.7393400,315.0
34.18015000,-84.7394500,315.0
34.18019000,-84.7395900,316.0
