Latitude,Longitude,Elevation
34.17664000,-84.7370400,278.0
34.17660000,-84.7370700,278.0
34.17656000,-84.7370900,278.0
34.17652000,-84.7371100,278.0
34.17649000,-84.7371700,279.0
34.17652000,-84.7372200,279.0
34.17657000,-84.7372400,280.0
34.17662000,-84.7372500,281.0
34.17666000,-84.7372600,281.0
34.17671000,-84.7372700,282.0
34.17676000,-84.7372700,282.0
34.17681000,-84.7372900,283.0
34.17686000,-84.7372900,283.0
34.17691000,-84.7373000,284.0
34.17692000,-84.7373100,284.0
34.17703000,-84.7373700,286.0
34.17708000,-84.7374000,286.0
34.17715000,-84.7374400,287.0
34.17719000,-84.7374600,287.0
34.17722000,-84.7374900,287.0
34.17726000,-84.7375300,288.0
34.17726000,-84.7375900,288.0
34.17723000,-84.7376300,289.0
34.17718000,-84.7376600,290.0
34.17714000,-84.7376800,291.0
34.17710000,-84.7377100,291.0
34.17706000,-84.7377500,292.0
34.17704000,-84.7378100,294.0
34.17704000,-84.7378600,295.0
34.17705000,-84.7379200,296.0
34.17708000,-84.7379600,297.0
34.17711000,-84.7380100,298.0
34.17715000,-84.7380500,298.0
34.17719000,-84.7380900,298.0
34.17722000,-84.7381200,298.0
34.17726000,-84.7381600,298.0
34.17728000,-84.7382100,298.0
34.17730000,-84.7382700,298.0
34.17731000,-84.7382800,298.0
34.17733000,-84.7383600,298.0
34.17734000,-84.7384200,298.0
34.17736000,-84.7384800,298.0
34.17736000,-84.7385400,298.0
34.17733000,-84.7385900,299.0
34.17731000,-84.7386400,299.0
34.17727000,-84.7386800,301.0
34.17724000,-84.7387200,302.0
34.17721000,-84.7387600,302.0
34.17717000,-84.7387900,303.0
34.17712000,-84.7388100,304.0
34.17708000,-84.7388200,305.0
34.17707000,-84.7388200,305.0
34.17693000,-84.7388500,307.0
34.17689000,-84.7388800,307.0
34.17685000,-84.7389100,308.0
34.17681000,-84.7389400,308.0
34.17677000,-84.7389700,308.0
34.17673000,-84.7390000,308.0
34.17670000,-84.7390500,308.0
34.17668000,-84.7391100,308.0
34.17669000,-84.7391700,308.0
34.17672000,-84.7392100,309.0
34.17675000,-84.7392500,309.0
34.17679000,-84.7392900,309.0
34.17682000,-84.7393300,310.0
34.17685000,-84.7393800,310.0
34.17686000,-84.7394300,310.0
34.17686000,-84.7394900,311.0
34.17685000,-84.7395400,313.0
34.17684000,-84.7396000,314.0
34.17683000,-84.7396500,315.0
34.17681000,-84.7397100,317.0
34.17680000,-84.7397700,318.0
34.17680000,-84.7398300,319.0
34.17680000,-84.7398900,320.0
34.17681000,-84.7399400,321.0
34.17682000,-84.7400000,321.0
34.17684000,-84.7400600,322.0
34.17685000,-84.7401000,323.0
34.17692000,-84.7402300,325.0
