Latitude,Longitude,Elevation
34.17526000,-84.7534500,296.0
34.17534000,-84.7532700,299.0
34.17534000,-84.7532100,300.0
34.17535000,-84.7531500,301.0
34.17537000,-84.7530800,302.0
34.17539000,-84.7530300,302.0
34.17542000,-84.7529900,302.0
34.17545000,-84.7529500,301.0
34.17549000,-84.7529000,301.0
34.17553000,-84.7528500,301.0
34.17556000,-84.7528100,301.0
34.17559000,-84.7527700,301.0
34.17563000,-84.7527200,301.0
34.17566000,-84.7526800,301.0
34.17569000,-84.7526400,301.0
34.17571000,-84.7525900,300.0
34.17572000,-84.7525300,299.0
34.17571000,-84.7524400,298.0
34.17572000,-84.7523800,297.0
34.17573000,-84.7523100,297.0
34.17575000,-84.7522600,297.0
34.17578000,-84.7522000,298.0
34.17581000,-84.7521400,298.0
34.17584000,-84.7521000,299.0
34.17587000,-84.7520500,300.0
34.17590000,-84.7520100,301.0
34.17594000,-84.7519400,302.0
34.17598000,-84.7518800,304.0
34.17601000,-84.7518400,305.0
34.17605000,-84.7517800,307.0
34.17607000,-84.7517400,307.0
34.17610000,-84.7516900,308.0
34.17609000,-84.7516300,308.0
34.17605000,-84.7516000,307.0
34.17600000,-84.7516000,306.0
34.17597000,-84.7515600,306.0
34.17600000,-84.7515100,308.0
34.17604000,-84.7514900,309.0
34.17608000,-84.7514800,309.0
34.17613000,-84.7514800,310.0
34.17618000,-84.7514800,310.0
34.17622000,-84.7514800,310.0
34.17627000,-84.7514800,311.0
34.17630000,-84.7514700,311.0
34.17640000,-84.7515000,311.0
34.17645000,-84.7515000,312.0
34.17650000,-84.7515000,312.0
34.17655000,-84.7514800,312.0
34.17659000,-84.7514400,313.0
34.17663000,-84.7514300,314.0
34.17668000,-84.7514300,314.0
34.17674000,-84.7514500,314.0
34.17679000,-84.7514600,315.0
34.17685000,-84.7514600,316.0
34.17690000,-84.7514600,316.0
34.17695000,-84.7514600,317.0
34.17699000,-84.7514600,317.0
34.17704000,-84.7514700,317.0
34.17710000,-84.7514900,317.0
34.17715000,-84.7515000,317.0
34.17720000,-84.7515100,317.0
34.17725000,-84.7515200,317.0
34.17730000,-84.7515200,318.0
34.17735000,-84.7515300,318.0
34.17740000,-84.7515400,319.0
34.17745000,-84.7515400,320.0
34.17750000,-84.7515500,321.0
34.17755000,-84.7515600,322.0
34.17760000,-84.7515700,323.0
34.17765000,-84.7515900,323.0
34.17770000,-84.7516100,324.0
34.17775000,-84.7516400,324.0
34.17780000,-84.7516500,325.0
34.17785000,-84.7516600,326.0
34.17791000,-84.7516800,327.0
34.17796000,-84.7516900,327.0
34.17801000,-84.7516900,328.0
34.17806000,-84.7517100,329.0
34.17811000,-84.7517300,330.0
34.17816000,-84.7517600,330.0
34.17820000,-84.7517600,331.0
34.17825000,-84.7517900,331.0
34.17830000,-84.7518000,331.0
34.17832000,-84.7518000,331.0
34.17845000,-84.7518000,332.0
34.17850000,-84.7518000,333.0
34.17854000,-84.7517900,333.0
34.17858000,-84.7517600,334.0
34.17855000,-84.7517200,334.0
34.17855000,-84.7516600,335.0
34.17860000,-84.7516600,336.0
34.17865000,-84.7516500,336.0
34.17868000,-84.7516000,337.0
34.17866000,-84.7515500,339.0
34.17862000,-84.7515200,340.0
34.17857000,-84.7515100,340.0
34.17855000,-84.7514600,342.0
34.17859000,-84.7514300,343.0
34.17857000,-84.7513700,345.0
34.17854000,-84.7513400,346.0
34.17850000,-84.7513000,347.0
34.17851000,-84.7512400,349.0
34.17854000,-84.7512100,350.0
34.17856000,-84.7511600,352.0
34.17852000,-84.7511200,353.0
34.17847000,-84.7511100,354.0
34.17843000,-84.7510800,355.0
34.17843000,-84.7510200,356.0
34.17848000,-84.7510100,356.0
34.17852000,-84.7509800,357.0
34.17857000,-84.7509600,357.0
34.17861000,-84.7509400,357.0
34.17864000,-84.7508900,358.0
34.17859000,-84.7508900,358.0
34.17854000,-84.7509000,358.0
34.17850000,-84.7509100,358.0
34.17850000,-84.7508500,360.0
34.17853000,-84.7508100,360.0
34.17854000,-84.7507500,360.0
34.17854000,-84.7507000,360.0
34.17850000,-84.7506600,361.0
34.17846000,-84.7506400,362.0
34.17843000,-84.7506000,362.0
34.17840000,-84.7505500,363.0
34.17837000,-84.7505100,364.0
34.17833000,-84.7504700,364.0
34.17829000,-84.7504500,364.0
34.17824000,-84.7504500,364.0
34.17819000,-84.7504500,364.0
34.17814000,-84.7504300,364.0
34.17810000,-84.7503900,365.0
34.17807000,-84.7503400,366.0
34.17805000,-84.7502800,367.0
34.17801000,-84.7502500,368.0
34.17797000,-84.7502300,369.0
34.17793000,-84.7502100,369.0
34.17788000,-84.7501600,370.0
34.17785000,-84.7501200,370.0
34.17781000,-84.7500700,371.0
34.17777000,-84.7500300,372.0
34.17777000,-84.7500200,372.0
34.17774000,-84.7499000,372.0
34.17773000,-84.7498400,372.0
34.17771000,-84.7497900,372.0
34.17769000,-84.7497400,371.0
34.17766000,-84.7496700,372.0
34.17764000,-84.7496100,372.0
34.17762000,-84.7495500,372.0
34.17762000,-84.7494800,373.0
34.17764000,-84.7494300,374.0
34.17767000,-84.7493700,376.0
34.17769000,-84.7493200,377.0
34.17772000,-84.7492600,379.0
34.17773000,-84.7492100,380.0
34.17775000,-84.7491500,382.0
34.17778000,-84.7491000,383.0
34.17780000,-84.7490500,385.0
34.17782000,-84.7490000,386.0
34.17782000,-84.7489400,387.0
34.17782000,-84.7488800,389.0
34.17786000,-84.7488400,390.0
34.17790000,-84.7488200,391.0
34.17795000,-84.7488000,391.0
34.17800000,-84.7487900,392.0
