Latitude,Longitude,Elevation
32.85236000,-84.7014100,401.0
32.85268000,-84.7017400,400.0
32.85286000,-84.7018400,400.0
32.85291000,-84.7018500,400.0
32.85295000,-84.7018500,400.0
32.85300000,-84.7018300,400.0
32.85304000,-84.7018100,400.0
32.85309000,-84.7017900,400.0
32.85314000,-84.7017900,400.0
32.85317000,-84.7018000,400.0
32.85328000,-84.7018500,401.0
32.85332000,-84.7018900,401.0
32.85336000,-84.7019400,401.0
32.85339000,-84.7019800,401.0
32.85343000,-84.7020300,401.0
32.85345000,-84.7020800,401.0
32.85348000,-84.7021200,401.0
32.85351000,-84.7021500,401.0
32.85361000,-84.7022300,399.0
32.85365000,-84.7022600,399.0
32.85370000,-84.7022700,398.0
32.85374000,-84.7022900,397.0
32.85379000,-84.7023200,396.0
32.85382000,-84.7023500,396.0
32.85384000,-84.7024100,395.0
32.85385000,-84.7024700,394.0
32.85387000,-84.7025200,394.0
32.85390000,-84.7025800,394.0
32.85393000,-84.7026200,394.0
32.85394000,-84.7026200,393.0
32.85407000,-84.7027300,392.0
32.85412000,-84.7027500,392.0
32.85417000,-84.7027700,391.0
32.85421000,-84.7028000,391.0
32.85425000,-84.7028400,391.0
32.85428000,-84.7028800,391.0
32.85433000,-84.7029000,391.0
32.85433000,-84.7029100,391.0
32.85454000,-84.7029700,389.0
32.85459000,-84.7029700,389.0
32.85464000,-84.7029800,388.0
32.85469000,-84.7030200,388.0
32.85472000,-84.7030500,388.0
32.85475000,-84.7031100,389.0
32.85477000,-84.7031600,389.0
32.85478000,-84.7032200,390.0
32.85485000,-84.7033200,392.0
32.85490000,-84.7033700,393.0
32.85493000,-84.7034000,393.0
32.85498000,-84.7034400,394.0
32.85501000,-84.7034900,395.0
32.85504000,-84.7035400,395.0
32.85506000,-84.7035700,395.0
32.85519000,-84.7037800,395.0
32.85523000,-84.7038300,394.0
32.85527000,-84.7038700,394.0
32.85531000,-84.7039100,394.0
32.85535000,-84.7039400,394.0
32.85547000,-84.7039700,394.0
32.85552000,-84.7039700,394.0
32.85557000,-84.7039600,394.0
32.85562000,-84.7039400,395.0
32.85567000,-84.7039200,395.0
32.85571000,-84.7039100,395.0
32.85576000,-84.7038800,395.0
32.85580000,-84.7038600,396.0
32.85586000,-84.7038500,395.0
32.85592000,-84.7038300,394.0
32.85593000,-84.7038300,394.0
32.85616000,-84.7038200,390.0
32.85621000,-84.7038200,389.0
32.85626000,-84.7038200,388.0
32.85631000,-84.7038200,387.0
32.85637000,-84.7038300,385.0
32.85641000,-84.7038400,384.0
32.85646000,-84.7038500,383.0
32.85663000,-84.7038800,381.0
32.85668000,-84.7039000,381.0
32.85673000,-84.7039200,381.0
32.85678000,-84.7039400,382.0
32.85683000,-84.7039700,382.0
32.85686000,-84.7039800,382.0
32.85721000,-84.7040800,383.0
32.85725000,-84.7041000,382.0
32.85730000,-84.7041100,381.0
32.85735000,-84.7041200,381.0
32.85739000,-84.7041200,381.0
32.85740000,-84.7041200,381.0
32.85756000,-84.7041600,379.0
32.85761000,-84.7041600,380.0
32.85766000,-84.7041800,381.0
32.85771000,-84.7042000,381.0
32.85775000,-84.7042200,381.0
32.85780000,-84.7042400,382.0
32.85785000,-84.7042600,382.0
32.85785000,-84.7042700,382.0
32.85809000,-84.7043900,382.0
32.85814000,-84.7044200,382.0
32.85818000,-84.7044500,381.0
32.85823000,-84.7044700,381.0
32.85829000,-84.7044900,380.0
32.85833000,-84.7045000,380.0
