Latitude,Longitude,Elevation
35.01347000,-85.3418100,480.0
35.01353000,-85.3419200,482.0
35.01378000,-85.3420400,483.0
35.01381000,-85.3420600,484.0
35.01386000,-85.3421400,487.0
35.01394000,-85.3421700,487.0
35.01433000,-85.3425200,490.0
35.01450000,-85.3426200,491.0
35.01483000,-85.3428000,491.0
35.01485000,-85.3428600,492.0
35.01498000,-85.3430300,492.0
35.01499000,-85.3431400,493.0
35.01484000,-85.3433700,501.0
35.01478000,-85.3435800,502.0
35.01448000,-85.3439300,509.0
35.01436000,-85.3442100,510.0
35.01396000,-85.3447100,513.0
35.01394000,-85.3447400,513.0
35.01372000,-85.3449400,514.0
35.01309000,-85.3454100,517.0
35.01297000,-85.3455300,516.0
35.01295000,-85.3455900,515.0
35.01274000,-85.3457600,517.0
35.01271000,-85.3458800,514.0
35.01258000,-85.3461100,512.0
35.01245000,-85.3462300,513.0
35.01242000,-85.3464000,508.0
35.01226000,-85.3465400,509.0
35.01208000,-85.3465700,513.0
35.01189000,-85.3465000,520.0
35.01164000,-85.3464800,522.0
35.01147000,-85.3466400,516.0
35.01142000,-85.3466600,516.0
35.01138000,-85.3466500,516.0
35.01122000,-85.3465000,525.0
35.01118000,-85.3464900,526.0
35.01092000,-85.3465600,531.0
35.01081000,-85.3466400,532.0
35.01071000,-85.3466800,535.0
35.01064000,-85.3468500,533.0
35.01057000,-85.3468500,536.0
35.01048000,-85.3469200,536.0
35.01043000,-85.3470800,533.0
35.01019000,-85.3473000,533.0
35.01005000,-85.3473400,535.0
35.00996000,-85.3474100,535.0
35.00978000,-85.3474500,539.0
35.00935000,-85.3477500,546.0
35.00933000,-85.3478100,544.0
35.00924000,-85.3479000,544.0
35.00911000,-85.3479200,549.0
35.00904000,-85.3479500,551.0
35.00894000,-85.3480700,551.0
35.00884000,-85.3480700,554.0
35.00868000,-85.3481900,553.0
35.00862000,-85.3481900,555.0
35.00858000,-85.3481700,557.0
35.00852000,-85.3481300,559.0
35.00835000,-85.3482100,559.0
35.00811000,-85.3481800,562.0
35.00784000,-85.3482600,563.0
35.00773000,-85.3483400,560.0
35.00749000,-85.3483800,564.0
35.00733000,-85.3482800,569.0
35.00718000,-85.3482400,571.0
35.00688000,-85.3482200,575.0
35.00676000,-85.3482800,577.0
35.00659000,-85.3482100,585.0
35.00664000,-85.3481700,586.0
35.00680000,-85.3481400,582.0
35.00696000,-85.3480100,585.0
35.00705000,-85.3479800,586.0
35.00743000,-85.3480100,581.0
35.00762000,-85.3478700,585.0
35.00780000,-85.3478300,584.0
35.00796000,-85.3477300,585.0
35.00824000,-85.3477000,582.0
35.00834000,-85.3476400,584.0
35.00849000,-85.3475000,586.0
35.00862000,-85.3472800,594.0
35.00876000,-85.3471700,593.0
35.00883000,-85.3470500,595.0
35.00905000,-85.3468300,595.0
35.00911000,-85.3466500,598.0
35.00917000,-85.3465500,598.0
35.00926000,-85.3464800,597.0
35.00941000,-85.3462900,600.0
35.00965000,-85.3461100,602.0
35.00972000,-85.3460200,605.0
35.00981000,-85.3459500,605.0
35.00988000,-85.3459400,602.0
35.01009000,-85.3457500,602.0
35.01054000,-85.3454700,595.0
35.01086000,-85.3453300,596.0
35.01090000,-85.3452600,597.0
35.01105000,-85.3451700,596.0
35.01113000,-85.3451300,595.0
35.01118000,-85.3451500,591.0
35.01131000,-85.3451100,587.0
35.01163000,-85.3449700,584.0
35.01172000,-85.3448800,589.0
35.01181000,-85.3448700,590.0
35.01193000,-85.3448000,595.0
35.01255000,-85.3443000,589.0
35.01279000,-85.3438400,585.0
35.01277000,-85.3438400,586.0
35.01274000,-85.3438800,588.0
35.01271000,-85.3439200,589.0
35.01267000,-85.3439600,590.0
35.01265000,-85.3439800,591.0
35.01265000,-85.3439900,591.0
35.01261000,-85.3440200,593.0
35.01259000,-85.3440400,594.0
35.01257000,-85.3440700,595.0
35.01252000,-85.3440800,598.0
35.01248000,-85.3441000,600.0
35.01243000,-85.3441100,602.0
35.01240000,-85.3441400,603.0
35.01236000,-85.3441700,605.0
35.01236000,-85.3441800,605.0
35.01234000,-85.3441600,606.0
35.01236000,-85.3441100,605.0
35.01239000,-85.3440700,604.0
35.01242000,-85.3440300,603.0
35.01245000,-85.3439800,602.0
35.01247000,-85.3439300,602.0
35.01248000,-85.3438800,602.0
35.01244000,-85.3439000,603.0
35.01241000,-85.3439500,604.0
35.01239000,-85.3439900,605.0
35.01236000,-85.3440400,606.0
35.01232000,-85.3440700,607.0
35.01229000,-85.3441100,608.0
35.01228000,-85.3441200,609.0
35.01223000,-85.3441600,611.0
35.01218000,-85.3441600,612.0
35.01214000,-85.3441700,613.0
35.01209000,-85.3441800,614.0
35.01206000,-85.3442100,614.0
35.01201000,-85.3442300,615.0
35.01198000,-85.3442300,615.0
35.01197000,-85.3442400,615.0
35.01192000,-85.3441900,617.0
35.01187000,-85.3441500,618.0
35.01185000,-85.3441300,619.0
35.01180000,-85.3441200,619.0
35.01175000,-85.3441400,620.0
35.01171000,-85.3441600,621.0
35.01167000,-85.3441800,621.0
35.01164000,-85.3441800,622.0
35.01158000,-85.3441800,623.0
35.01153000,-85.3441800,624.0
35.01151000,-85.3442100,624.0
35.01150000,-85.3442500,622.0
35.01147000,-85.3443000,622.0
35.01143000,-85.3443500,621.0
35.01140000,-85.3444000,620.0
35.01136000,-85.3444400,620.0
35.01132000,-85.3444900,620.0
35.01128000,-85.3445200,620.0
35.01124000,-85.3445700,620.0
35.01119000,-85.3446000,620.0
35.01113000,-85.3446000,623.0
35.01108000,-85.3445900,626.0
35.01102000,-85.3446000,629.0
35.01096000,-85.3446000,631.0
35.01090000,-85.3446200,633.0
35.01084000,-85.3446300,636.0
35.01078000,-85.3446500,635.0
35.01071000,-85.3446700,635.0
35.01065000,-85.3446700,636.0
35.01059000,-85.3446800,637.0
35.01054000,-85.3446600,638.0
35.01049000,-85.3446400,638.0
35.01044000,-85.3445900,640.0
35.01039000,-85.3445500,641.0
35.01034000,-85.3445000,643.0
35.01031000,-85.3444400,644.0
35.01027000,-85.3443900,645.0
35.01024000,-85.3443300,645.0
35.01021000,-85.3442700,645.0
35.01017000,-85.3442100,646.0
35.01014000,-85.3441600,646.0
35.01010000,-85.3441000,646.0
35.01010000,-85.3440900,646.0
35.01007000,-85.3440400,646.0
35.01003000,-85.3439800,646.0
35.01001000,-85.3439200,646.0
35.00997000,-85.3438700,646.0
35.00997000,-85.3438000,645.0
35.00998000,-85.3437300,644.0
35.01001000,-85.3436700,643.0
35.01003000,-85.3436000,642.0
35.01007000,-85.3435600,640.0
35.01010000,-85.3435100,638.0
35.01015000,-85.3434800,637.0
35.01021000,-85.3434700,635.0
35.01027000,-85.3434800,635.0
35.01033000,-85.3434700,634.0
35.01039000,-85.3434700,633.0
35.01044000,-85.3434800,633.0
35.01050000,-85.3434700,632.0
35.01056000,-85.3434900,632.0
35.01061000,-85.3435100,631.0
35.01066000,-85.3435400,631.0
35.01071000,-85.3436000,632.0
35.01073000,-85.3436600,634.0
35.01076000,-85.3437200,635.0
35.01079000,-85.3437600,635.0
35.01085000,-85.3437800,635.0
35.01090000,-85.3437800,634.0
35.01096000,-85.3438000,633.0
35.01099000,-85.3438000,632.0
35.01101000,-85.3438100,632.0
35.01107000,-85.3438000,630.0
35.01113000,-85.3438200,629.0
35.01118000,-85.3438300,628.0
35.01124000,-85.3438400,627.0
35.01129000,-85.3438500,626.0
35.01135000,-85.3438600,625.0
35.01141000,-85.3438700,624.0
35.01146000,-85.3438700,623.0
35.01151000,-85.3439100,623.0
35.01155000,-85.3440100,623.0
35.01155000,-85.3440700,623.0
35.01155000,-85.3441200,624.0
35.01158000,-85.3441700,623.0
35.01162000,-85.3441700,622.0
35.01163000,-85.3441700,622.0
35.01173000,-85.3441500,620.0
35.01177000,-85.3441200,620.0
35.01178000,-85.3440700,619.0
35.01179000,-85.3440200,619.0
35.01180000,-85.3439600,618.0
35.01181000,-85.3439600,618.0
35.01198000,-85.3438400,614.0
35.01199000,-85.3438500,614.0
35.01199000,-85.3438400,614.0
35.01204000,-85.3438100,612.0
35.01209000,-85.3437800,611.0
35.01214000,-85.3437500,609.0
35.01219000,-85.3437200,608.0
35.01226000,-85.3437100,606.0
35.01232000,-85.3436900,605.0
35.01238000,-85.3436900,603.0
35.01244000,-85.3436700,602.0
35.01244000,-85.3436800,602.0
35.01252000,-85.3437100,600.0
35.01252000,-85.3437700,600.0
35.01250000,-85.3438200,601.0
35.01247000,-85.3438600,602.0
35.01248000,-85.3439100,602.0
35.01245000,-85.3439600,602.0
35.01243000,-85.3440000,603.0
35.01240000,-85.3440500,604.0
35.01238000,-85.3441000,604.0
35.01235000,-85.3441400,606.0
35.01238000,-85.3441800,604.0
35.01242000,-85.3441400,602.0
35.01245000,-85.3441000,601.0
35.01247000,-85.3441000,601.0
35.01257000,-85.3440600,595.0
35.01261000,-85.3440400,592.0
35.01265000,-85.3440000,591.0
35.01267000,-85.3439500,591.0
35.01271000,-85.3439200,589.0
35.01274000,-85.3438800,588.0
35.01278000,-85.3438500,586.0
35.01280000,-85.3438000,584.0
35.01280000,-85.3437400,584.0
35.01279000,-85.3437300,584.0
35.01278000,-85.3437000,584.0
35.01273000,-85.3436400,587.0
35.01269000,-85.3436200,589.0
35.01268000,-85.3436200,590.0
35.01263000,-85.3435800,591.0
35.01258000,-85.3435500,593.0
35.01252000,-85.3435400,596.0
35.01247000,-85.3435100,597.0
35.01241000,-85.3435000,597.0
35.01236000,-85.3434900,597.0
35.01230000,-85.3434800,598.0
35.01225000,-85.3434600,598.0
35.01219000,-85.3434700,598.0
35.01213000,-85.3434700,599.0
35.01211000,-85.3434700,599.0
35.01207000,-85.3434800,600.0
35.01201000,-85.3434800,600.0
35.01195000,-85.3434800,600.0
35.01190000,-85.3434800,600.0
35.01184000,-85.3434700,598.0
35.01178000,-85.3434900,599.0
35.01173000,-85.3434500,596.0
35.01168000,-85.3434000,592.0
