Latitude,Longitude,Elevation
34.67803000,-83.9994900,978.0
34.67813000,-83.9993900,980.0
34.67815000,-83.9993300,980.0
34.67818000,-83.9992800,981.0
34.67821000,-83.9992400,982.0
34.67825000,-83.9992000,982.0
34.67829000,-83.9991600,983.0
34.67832000,-83.9991200,984.0
34.67836000,-83.9990700,984.0
34.67840000,-83.9990200,983.0
34.67843000,-83.9989600,983.0
34.67845000,-83.9989200,983.0
34.67848000,-83.9988500,982.0
34.67849000,-83.9987900,982.0
34.67851000,-83.9987300,982.0
34.67853000,-83.9986800,981.0
34.67855000,-83.9986100,980.0
34.67857000,-83.9985600,980.0
34.67860000,-83.9985000,980.0
34.67861000,-83.9984400,980.0
34.67862000,-83.9983700,981.0
34.67863000,-83.9982700,982.0
34.67863000,-83.9981900,984.0
34.67863000,-83.9981200,985.0
34.67864000,-83.9980500,987.0
34.67865000,-83.9979700,987.0
34.67865000,-83.9979100,988.0
34.67866000,-83.9978400,988.0
34.67869000,-83.9977500,988.0
34.67870000,-83.9976800,989.0
34.67872000,-83.9976000,989.0
34.67873000,-83.9975400,989.0
34.67875000,-83.9974700,989.0
34.67877000,-83.9974100,989.0
34.67880000,-83.9973500,989.0
34.67882000,-83.9972900,989.0
34.67885000,-83.9972300,989.0
34.67887000,-83.9971800,989.0
34.67890000,-83.9971200,990.0
34.67893000,-83.9970700,991.0
34.67896000,-83.9970300,991.0
34.67899000,-83.9969800,992.0
34.67902000,-83.9969400,992.0
34.67907000,-83.9969000,993.0
34.67911000,-83.9968800,993.0
34.67915000,-83.9968500,994.0
34.67920000,-83.9968500,993.0
34.67925000,-83.9968500,994.0
34.67930000,-83.9968400,994.0
34.67935000,-83.9968300,995.0
34.67939000,-83.9968300,995.0
34.67945000,-83.9968300,995.0
34.67950000,-83.9968400,996.0
34.67955000,-83.9968600,996.0
34.67958000,-83.9969000,994.0
34.67963000,-83.9969300,994.0
34.67967000,-83.9969700,993.0
34.67971000,-83.9970000,992.0
34.67974000,-83.9970600,991.0
34.67976000,-83.9971000,991.0
34.67987000,-83.9972200,990.0
34.67989000,-83.9972700,990.0
34.67993000,-83.9972900,990.0
34.67996000,-83.9973400,990.0
34.68000000,-83.9973800,989.0
34.68004000,-83.9974100,990.0
34.68008000,-83.9974500,990.0
34.68012000,-83.9974800,990.0
34.68015000,-83.9975200,990.0
34.68019000,-83.9975700,991.0
34.68023000,-83.9976100,991.0
34.68026000,-83.9976400,992.0
34.68030000,-83.9976800,992.0
34.68034000,-83.9977300,992.0
34.68038000,-83.9977700,992.0
34.68043000,-83.9978100,993.0
34.68046000,-83.9978500,992.0
34.68050000,-83.9978900,993.0
34.68054000,-83.9979300,993.0
34.68057000,-83.9979800,993.0
34.68062000,-83.9980200,994.0
34.68066000,-83.9980500,995.0
34.68070000,-83.9980800,995.0
34.68076000,-83.9981000,996.0
34.68080000,-83.9981100,997.0
34.68085000,-83.9981100,998.0
34.68089000,-83.9981100,999.0
34.68090000,-83.9981000,999.0
34.68111000,-83.9980500,1003.0
34.68116000,-83.9980500,1003.0
34.68121000,-83.9980500,1003.0
34.68125000,-83.9980400,1003.0
34.68130000,-83.9980100,1004.0
34.68135000,-83.9979900,1004.0
34.68139000,-83.9979600,1005.0
34.68144000,-83.9979400,1006.0
34.68149000,-83.9979300,1006.0
