Latitude,Longitude,Elevation
32.06887000,-84.9143000,194.0
32.06889000,-84.9142400,195.0
32.06889000,-84.9142100,195.0
32.06889000,-84.9141700,195.0
32.06889000,-84.9141100,196.0
32.06890000,-84.9140400,196.0
32.06889000,-84.9139800,196.0
32.06888000,-84.9139200,196.0
32.06888000,-84.9138500,195.0
32.06889000,-84.9137900,194.0
32.06888000,-84.9137300,193.0
32.06888000,-84.9136600,192.0
32.06888000,-84.9136000,191.0
32.06889000,-84.9135500,190.0
32.06893000,-84.9135100,188.0
32.06897000,-84.9134600,186.0
32.06901000,-84.9134200,184.0
32.06902000,-84.9133700,183.0
32.06898000,-84.9133300,182.0
32.06893000,-84.9133000,183.0
32.06888000,-84.9132700,183.0
32.06883000,-84.9132400,183.0
32.06877000,-84.9132400,184.0
32.06871000,-84.9132500,184.0
32.06865000,-84.9132600,185.0
32.06859000,-84.9132600,185.0
32.06853000,-84.9132600,183.0
32.06847000,-84.9132700,182.0
32.06841000,-84.9132700,181.0
32.06835000,-84.9132900,180.0
32.06830000,-84.9133100,179.0
32.06824000,-84.9133300,179.0
32.06820000,-84.9133800,180.0
32.06815000,-84.9134200,180.0
32.06811000,-84.9134500,180.0
32.06807000,-84.9134900,180.0
32.06802000,-84.9135300,180.0
32.06798000,-84.9135700,180.0
32.06793000,-84.9136000,180.0
32.06790000,-84.9136500,181.0
32.06785000,-84.9136900,181.0
32.06782000,-84.9137400,181.0
32.06778000,-84.9137700,181.0
32.06774000,-84.9138200,181.0
32.06770000,-84.9138600,181.0
32.06766000,-84.9139100,181.0
32.06762000,-84.9139500,181.0
32.06760000,-84.9140100,181.0
32.06757000,-84.9140600,181.0
32.06755000,-84.9141300,181.0
32.06751000,-84.9141700,181.0
32.06747000,-84.9142200,180.0
32.06743000,-84.9142500,180.0
32.06739000,-84.9143000,180.0
32.06734000,-84.9143100,179.0
32.06729000,-84.9142800,178.0
32.06726000,-84.9142200,177.0
32.06726000,-84.9141600,176.0
32.06724000,-84.9141000,174.0
32.06723000,-84.9140300,173.0
32.06720000,-84.9139800,171.0
32.06720000,-84.9139100,169.0
32.06722000,-84.9138500,169.0
32.06723000,-84.9137800,167.0
32.06726000,-84.9137200,167.0
32.06732000,-84.9137000,168.0
32.06737000,-84.9136600,169.0
32.06743000,-84.9136400,171.0
32.06747000,-84.9136000,171.0
32.06751000,-84.9135600,172.0
32.06753000,-84.9134900,171.0
32.06756000,-84.9134400,171.0
32.06759000,-84.9133900,171.0
32.06762000,-84.9133400,170.0
32.06765000,-84.9132800,170.0
32.06765000,-84.9132200,169.0
32.06764000,-84.9131500,168.0
32.06763000,-84.9130900,168.0
32.06762000,-84.9130300,167.0
32.06762000,-84.9129700,166.0
32.06760000,-84.9129000,166.0
32.06756000,-84.9128500,165.0
32.06753000,-84.9128000,164.0
32.06748000,-84.9127400,162.0
32.06743000,-84.9127100,160.0
32.06737000,-84.9127100,158.0
32.06731000,-84.9127000,156.0
32.06726000,-84.9126900,154.0
32.06720000,-84.9126700,153.0
32.06715000,-84.9126400,152.0
32.06713000,-84.9125900,152.0
32.06716000,-84.9125600,152.0
32.06718000,-84.9124900,152.0
32.06720000,-84.9124300,153.0
32.06722000,-84.9123600,153.0
32.06722000,-84.9123000,154.0
32.06719000,-84.9122400,154.0
32.06714000,-84.9122100,155.0
32.06709000,-84.9122200,155.0
32.06704000,-84.9122500,154.0
32.06700000,-84.9122900,153.0
32.06696000,-84.9123300,153.0
32.06691000,-84.9123700,152.0
32.06688000,-84.9124100,151.0
32.06684000,-84.9124600,150.0
32.06681000,-84.9125100,149.0
32.06677000,-84.9125600,149.0
