Latitude,Longitude,Elevation
34.97912000,-83.3030000,1120.0
34.97909000,-83.3029600,1121.0
34.97872000,-83.3032400,1129.0
34.97845000,-83.3033900,1129.0
34.97813000,-83.3033400,1133.0
34.97806000,-83.3032500,1135.0
34.97790000,-83.3030800,1140.0
34.97779000,-83.3028500,1144.0
34.97766000,-83.3025700,1150.0
34.97749000,-83.3024200,1155.0
34.97737000,-83.3024600,1158.0
34.97730000,-83.3025000,1160.0
34.97719000,-83.3027300,1159.0
34.97715000,-83.3027600,1159.0
34.97711000,-83.3027900,1160.0
34.97706000,-83.3027900,1161.0
34.97701000,-83.3027700,1162.0
34.97696000,-83.3027600,1163.0
34.97693000,-83.3027300,1165.0
34.97690000,-83.3026800,1166.0
34.97688000,-83.3026100,1168.0
34.97686000,-83.3025500,1169.0
34.97685000,-83.3024800,1170.0
34.97683000,-83.3024000,1171.0
34.97682000,-83.3023200,1172.0
34.97680000,-83.3022700,1174.0
34.97680000,-83.3022600,1174.0
34.97669000,-83.3015100,1181.0
34.97668000,-83.3014500,1181.0
34.97665000,-83.3014100,1182.0
34.97662000,-83.3013600,1183.0
34.97660000,-83.3013300,1184.0
34.97648000,-83.3009200,1190.0
34.97646000,-83.3008700,1191.0
34.97645000,-83.3008100,1191.0
34.97644000,-83.3007500,1191.0
34.97644000,-83.3007000,1191.0
34.97643000,-83.3006400,1190.0
34.97642000,-83.3005800,1190.0
34.97641000,-83.3005100,1190.0
34.97640000,-83.3004500,1189.0
34.97640000,-83.3003700,1188.0
34.97639000,-83.3003200,1187.0
34.97636000,-83.3002800,1187.0
34.97631000,-83.3002900,1189.0
34.97628000,-83.3003400,1191.0
34.97626000,-83.3004100,1193.0
34.97625000,-83.3004800,1195.0
34.97625000,-83.3005400,1196.0
34.97625000,-83.3006000,1197.0
34.97623000,-83.3006600,1198.0
34.97621000,-83.3007100,1199.0
34.97620000,-83.3007700,1200.0
34.97618000,-83.3008300,1201.0
34.97617000,-83.3008800,1202.0
34.97616000,-83.3009400,1202.0
34.97614000,-83.3010200,1202.0
34.97613000,-83.3010700,1203.0
34.97612000,-83.3011400,1203.0
34.97611000,-83.3012000,1204.0
34.97610000,-83.3012600,1204.0
34.97608000,-83.3013500,1205.0
34.97607000,-83.3014100,1205.0
34.97606000,-83.3014800,1206.0
34.97603000,-83.3015300,1208.0
34.97600000,-83.3015800,1209.0
34.97597000,-83.3016400,1211.0
34.97595000,-83.3016900,1211.0
34.97593000,-83.3017400,1212.0
34.97589000,-83.3018200,1213.0
34.97587000,-83.3018800,1213.0
34.97583000,-83.3019200,1214.0
34.97582000,-83.3019400,1214.0
34.97568000,-83.3020600,1216.0
34.97564000,-83.3021000,1216.0
34.97560000,-83.3021300,1217.0
34.97553000,-83.3021700,1217.0
34.97549000,-83.3021900,1217.0
34.97544000,-83.3022000,1218.0
34.97539000,-83.3022200,1218.0
34.97534000,-83.3022400,1219.0
34.97529000,-83.3022600,1219.0
34.97524000,-83.3022700,1220.0
34.97519000,-83.3022900,1221.0
34.97514000,-83.3023000,1222.0
34.97510000,-83.3023200,1222.0
34.97505000,-83.3023300,1223.0
34.97501000,-83.3023200,1224.0
34.97492000,-83.3023000,1226.0
34.97487000,-83.3022900,1227.0
34.97483000,-83.3022600,1228.0
34.97479000,-83.3022300,1229.0
34.97474000,-83.3022100,1230.0
34.97470000,-83.3021800,1231.0
34.97465000,-83.3021400,1231.0
34.97461000,-83.3021100,1232.0
34.97457000,-83.3020800,1232.0
34.97452000,-83.3020500,1232.0
34.97448000,-83.3020300,1233.0
34.97442000,-83.3020000,1233.0
34.97437000,-83.3019900,1233.0
34.97432000,-83.3019700,1234.0
34.97427000,-83.3019700,1234.0
34.97422000,-83.3019700,1235.0
34.97418000,-83.3019900,1236.0
34.97414000,-83.3020200,1236.0
34.97411000,-83.3020300,1236.0
34.97389000,-83.3022000,1240.0
34.97384000,-83.3022200,1242.0
34.97380000,-83.3022300,1242.0
34.97375000,-83.3022300,1243.0
34.97371000,-83.3022300,1244.0
34.97366000,-83.3022300,1245.0
34.97362000,-83.3022300,1246.0
34.97357000,-83.3022300,1247.0
34.97352000,-83.3022300,1247.0
34.97347000,-83.3022300,1248.0
34.97342000,-83.3022300,1248.0
34.97337000,-83.3022400,1248.0
34.97332000,-83.3022400,1249.0
34.97327000,-83.3022400,1249.0
34.97322000,-83.3022600,1249.0
34.97318000,-83.3022900,1249.0
34.97314000,-83.3023200,1250.0
34.97311000,-83.3023800,1250.0
34.97308000,-83.3024300,1251.0
34.97294000,-83.3026200,1256.0
34.97290000,-83.3026800,1257.0
34.97288000,-83.3027300,1258.0
34.97284000,-83.3028000,1260.0
34.97281000,-83.3028600,1261.0
34.97278000,-83.3029100,1261.0
34.97276000,-83.3029900,1262.0
34.97274000,-83.3030500,1263.0
34.97273000,-83.3031100,1263.0
34.97271000,-83.3031700,1264.0
34.97271000,-83.3032300,1264.0
34.97270000,-83.3032900,1265.0
34.97269000,-83.3033500,1265.0
34.97267000,-83.3034000,1265.0
34.97263000,-83.3034200,1266.0
34.97257000,-83.3034000,1266.0
34.97253000,-83.3033800,1266.0
34.97250000,-83.3033400,1266.0
34.97247000,-83.3033000,1266.0
34.97244000,-83.3032600,1267.0
34.97242000,-83.3032400,1267.0
34.97224000,-83.3030500,1270.0
34.97219000,-83.3030200,1271.0
34.97215000,-83.3029900,1273.0
34.97211000,-83.3029700,1274.0
34.97206000,-83.3029600,1275.0
34.97201000,-83.3029500,1276.0
34.97196000,-83.3029300,1278.0
34.97191000,-83.3029200,1278.0
34.97189000,-83.3029100,1278.0
34.97150000,-83.3026300,1279.0
34.97146000,-83.3025900,1279.0
34.97143000,-83.3025600,1280.0
34.97139000,-83.3025100,1280.0
34.97136000,-83.3024700,1281.0
34.97132000,-83.3024300,1281.0
34.97128000,-83.3024000,1282.0
34.97124000,-83.3023700,1282.0
34.97120000,-83.3023500,1282.0
34.97116000,-83.3023100,1282.0
34.97112000,-83.3022700,1282.0
34.97110000,-83.3022200,1283.0
34.97109000,-83.3021600,1283.0
34.97108000,-83.3021100,1283.0
34.97107000,-83.3020500,1284.0
34.97106000,-83.3019900,1284.0
34.97102000,-83.3019600,1285.0
34.97099000,-83.3019800,1286.0
34.97096000,-83.3020100,1287.0
34.97090000,-83.3020600,1288.0
34.97085000,-83.3020900,1289.0
34.97082000,-83.3021000,1290.0
34.97066000,-83.3021100,1294.0
34.97054000,-83.3020700,1298.0
34.97037000,-83.3020000,1301.0
34.97019000,-83.3019800,1301.0
34.97006000,-83.3019500,1301.0
34.97004000,-83.3019100,1303.0
34.97006000,-83.3018700,1305.0
34.97011000,-83.3018600,1306.0
34.97020000,-83.3018000,1308.0
34.97034000,-83.3017400,1310.0
34.97044000,-83.3015400,1315.0
34.97050000,-83.3013100,1319.0
34.97047000,-83.3012800,1321.0
34.97039000,-83.3012700,1324.0
34.97032000,-83.3013300,1325.0
34.97023000,-83.3013600,1326.0
34.97015000,-83.3014000,1326.0
34.97008000,-83.3014000,1327.0
34.97003000,-83.3013800,1328.0
34.97002000,-83.3013200,1330.0
34.97005000,-83.3012700,1332.0
34.97013000,-83.3011700,1334.0
34.97029000,-83.3010400,1335.0
34.97038000,-83.3008800,1335.0
34.97032000,-83.3008400,1338.0
34.97024000,-83.3009000,1339.0
34.96994000,-83.3009700,1343.0
34.96967000,-83.3010800,1342.0
34.96941000,-83.3010100,1347.0
34.96925000,-83.3009300,1351.0
34.96924000,-83.3009100,1352.0
34.96926000,-83.3008900,1353.0
34.96936000,-83.3008300,1356.0
34.96952000,-83.3006900,1360.0
34.96965000,-83.3005400,1363.0
34.96968000,-83.3004700,1364.0
34.96976000,-83.3003300,1365.0
34.96983000,-83.3001400,1368.0
34.96987000,-83.2999200,1371.0
34.96985000,-83.2998000,1375.0
34.96979000,-83.2997700,1378.0
34.96949000,-83.2998800,1383.0
34.96924000,-83.2999100,1385.0
34.96870000,-83.2999400,1388.0
34.96773000,-83.2999200,1398.0
34.96705000,-83.2999400,1408.0
34.96669000,-83.2999500,1408.0
34.96638000,-83.2999500,1410.0
34.96611000,-83.2999700,1417.0
34.96583000,-83.2999700,1423.0
34.96555000,-83.2999500,1426.0
34.96548000,-83.2999900,1425.0
34.96543000,-83.2999700,1424.0
34.96539000,-83.2999500,1423.0
34.96536000,-83.2999000,1421.0
34.96539000,-83.2998500,1421.0
34.96541000,-83.2998000,1421.0
34.96543000,-83.2997900,1421.0
34.96541000,-83.2998000,1421.0
34.96539000,-83.2998500,1421.0
34.96536000,-83.2999000,1421.0
34.96539000,-83.2999500,1423.0
34.96543000,-83.2999700,1424.0
