Latitude,Longitude,Elevation
34.70990000,-83.7892700,624.0
34.70990000,-83.7892800,624.0
34.70996000,-83.7894000,625.0
34.71000000,-83.7895300,628.0
34.71006000,-83.7896400,631.0
34.71010000,-83.7897600,635.0
34.71014000,-83.7899700,643.0
34.71021000,-83.7901300,647.0
34.71035000,-83.7902700,646.0
34.71046000,-83.7903800,644.0
34.71058000,-83.7904500,641.0
34.71071000,-83.7905200,638.0
34.71076000,-83.7905200,637.0
34.71082000,-83.7905500,636.0
34.71087000,-83.7906000,635.0
34.71088000,-83.7906500,635.0
34.71088000,-83.7907000,636.0
34.71086000,-83.7907700,636.0
34.71081000,-83.7908700,638.0
34.71079000,-83.7909900,640.0
34.71077000,-83.7911000,641.0
34.71076000,-83.7911900,641.0
34.71075000,-83.7912700,641.0
34.71078000,-83.7913500,641.0
34.71081000,-83.7914600,641.0
34.71081000,-83.7915700,641.0
34.71085000,-83.7916800,642.0
34.71082000,-83.7917900,642.0
34.71077000,-83.7919300,642.0
34.71072000,-83.7920800,643.0
34.71070000,-83.7922300,644.0
34.71068000,-83.7924100,645.0
34.71068000,-83.7925400,645.0
34.71069000,-83.7926400,646.0
34.71070000,-83.7928000,647.0
34.71074000,-83.7929400,649.0
34.71078000,-83.7930400,651.0
34.71084000,-83.7931300,651.0
34.71093000,-83.7932600,651.0
34.71101000,-83.7934100,652.0
34.71106000,-83.7935100,651.0
34.71109000,-83.7936700,651.0
34.71107000,-83.7937900,651.0
34.71107000,-83.7939200,652.0
34.71105000,-83.7940200,652.0
34.71100000,-83.7941900,654.0
34.71097000,-83.7943200,654.0
34.71098000,-83.7944000,654.0
34.71100000,-83.7944700,655.0
34.71106000,-83.7945200,655.0
34.71112000,-83.7945500,655.0
34.71122000,-83.7945000,657.0
34.71131000,-83.7944800,658.0
34.71141000,-83.7944900,660.0
34.71148000,-83.7945100,660.0
34.71161000,-83.7946000,662.0
34.71172000,-83.7946500,663.0
34.71188000,-83.7947000,664.0
34.71200000,-83.7947200,665.0
34.71209000,-83.7947700,665.0
34.71215000,-83.7948400,664.0
34.71222000,-83.7949100,664.0
34.71231000,-83.7949900,663.0
34.71237000,-83.7950700,663.0
34.71243000,-83.7951700,662.0
34.71247000,-83.7952300,661.0
34.71248000,-83.7952900,660.0
34.71251000,-83.7954300,660.0
34.71257000,-83.7954900,662.0
34.71266000,-83.7955400,663.0
34.71271000,-83.7955800,664.0
34.71276000,-83.7955900,665.0
34.71281000,-83.7956300,666.0
34.71288000,-83.7956900,667.0
34.71293000,-83.7957600,667.0
34.71296000,-83.7958400,666.0
34.71303000,-83.7959900,667.0
34.71307000,-83.7960600,668.0
34.71309000,-83.7961500,668.0
34.71313000,-83.7962700,669.0
34.71314000,-83.7964400,671.0
34.71318000,-83.7966500,672.0
34.71324000,-83.7968200,672.0
34.71329000,-83.7968700,672.0
34.71334000,-83.7969300,671.0
34.71341000,-83.7969800,673.0
34.71348000,-83.7970000,674.0
34.71356000,-83.7969900,674.0
34.71365000,-83.7969900,675.0
34.71386000,-83.7970000,677.0
34.71401000,-83.7970300,678.0
34.71414000,-83.7970400,678.0
34.71435000,-83.7970800,680.0
34.71447000,-83.7971200,681.0
34.71463000,-83.7972700,681.0
34.71481000,-83.7973300,682.0
34.71497000,-83.7973600,682.0
34.71513000,-83.7974000,682.0
34.71522000,-83.7974700,682.0
34.71533000,-83.7975600,681.0
34.71540000,-83.7976800,680.0
34.71543000,-83.7978300,678.0
34.71545000,-83.7979700,678.0
34.71547000,-83.7981900,678.0
34.71548000,-83.7983300,679.0
34.71547000,-83.7985300,681.0
34.71551000,-83.7987300,682.0
34.71555000,-83.7989300,683.0
34.71560000,-83.7991000,684.0
34.71562000,-83.7992700,684.0
34.71572000,-83.7994800,686.0
34.71578000,-83.7996600,686.0
34.71580000,-83.7998100,687.0
34.71590000,-83.8001500,692.0
34.71600000,-83.8003000,692.0
34.71612000,-83.8004300,690.0
34.71626000,-83.8006100,690.0
34.71636000,-83.8008300,692.0
34.71647000,-83.8010000,691.0
34.71657000,-83.8011600,690.0
34.71676000,-83.8014300,689.0
34.71701000,-83.8015900,691.0
34.71710000,-83.8016700,693.0
34.71716000,-83.8018000,693.0
34.71730000,-83.8020000,693.0
34.71747000,-83.8021800,695.0
34.71759000,-83.8023000,700.0
34.71773000,-83.8024300,705.0
34.71781000,-83.8026200,706.0
34.71785000,-83.8027400,707.0
34.71787000,-83.8028700,708.0
34.71785000,-83.8031600,709.0
34.71785000,-83.8033700,711.0
34.71787000,-83.8036500,711.0
34.71794000,-83.8039400,714.0
34.71798000,-83.8041400,713.0
34.71802000,-83.8044300,713.0
34.71804000,-83.8046400,714.0
34.71804000,-83.8048600,714.0
34.71800000,-83.8051200,715.0
34.71796000,-83.8053400,717.0
34.71798000,-83.8056300,722.0
34.71803000,-83.8057600,725.0
34.71809000,-83.8058800,727.0
34.71819000,-83.8060200,728.0
34.71832000,-83.8062900,727.0
