Latitude,Longitude,Elevation
34.09552000,-84.0935200,335.0
34.09564000,-84.0935300,335.0
34.09567000,-84.0935700,335.0
34.09572000,-84.0935800,335.0
34.09576000,-84.0935400,335.0
34.09579000,-84.0935100,335.0
34.09583000,-84.0934800,335.0
34.09587000,-84.0934500,335.0
34.09592000,-84.0934300,334.0
34.09597000,-84.0934300,334.0
34.09601000,-84.0934600,334.0
34.09606000,-84.0934800,334.0
34.09610000,-84.0935000,334.0
34.09615000,-84.0935100,334.0
34.09620000,-84.0935200,334.0
34.09626000,-84.0935300,334.0
34.09631000,-84.0935300,334.0
34.09637000,-84.0935200,334.0
34.09642000,-84.0935100,334.0
34.09647000,-84.0935100,334.0
34.09652000,-84.0935100,334.0
34.09659000,-84.0935100,334.0
34.09665000,-84.0935100,334.0
34.09669000,-84.0935300,334.0
34.09674000,-84.0935300,334.0
34.09679000,-84.0935500,334.0
34.09686000,-84.0935600,334.0
34.09693000,-84.0935700,334.0
34.09698000,-84.0935800,334.0
34.09705000,-84.0936000,334.0
34.09711000,-84.0936000,334.0
34.09717000,-84.0936100,334.0
34.09721000,-84.0936200,334.0
34.09727000,-84.0936300,333.0
34.09732000,-84.0936400,333.0
34.09737000,-84.0936500,332.0
34.09742000,-84.0936500,332.0
34.09748000,-84.0936500,331.0
34.09753000,-84.0936500,331.0
34.09759000,-84.0936500,331.0
34.09764000,-84.0936600,331.0
34.09770000,-84.0936600,331.0
34.09775000,-84.0936700,331.0
34.09781000,-84.0936800,331.0
34.09786000,-84.0937000,331.0
34.09791000,-84.0937200,332.0
34.09796000,-84.0937400,332.0
34.09801000,-84.0937600,332.0
34.09807000,-84.0937800,332.0
34.09814000,-84.0938100,332.0
34.09821000,-84.0938400,332.0
34.09826000,-84.0938500,332.0
34.09831000,-84.0938600,332.0
34.09839000,-84.0938700,331.0
34.09845000,-84.0938700,330.0
34.09850000,-84.0938800,329.0
34.09857000,-84.0939100,328.0
34.09862000,-84.0939100,327.0
34.09868000,-84.0939300,327.0
34.09873000,-84.0939300,326.0
34.09875000,-84.0939300,326.0
34.09892000,-84.0940000,325.0
34.09897000,-84.0940000,325.0
34.09902000,-84.0940400,325.0
34.09906000,-84.0940800,325.0
34.09909000,-84.0941200,325.0
34.09913000,-84.0941600,325.0
34.09916000,-84.0942200,326.0
34.09919000,-84.0942600,326.0
34.09921000,-84.0943100,326.0
34.09924000,-84.0943500,326.0
34.09928000,-84.0944000,326.0
34.09931000,-84.0944500,326.0
34.09933000,-84.0945100,326.0
34.09936000,-84.0945500,327.0
34.09939000,-84.0945900,327.0
34.09943000,-84.0946300,327.0
34.09948000,-84.0946700,328.0
34.09951000,-84.0947100,328.0
34.09954000,-84.0947600,329.0
34.09956000,-84.0948200,329.0
34.09957000,-84.0948800,329.0
34.09958000,-84.0949400,329.0
34.09959000,-84.0950200,329.0
34.09959000,-84.0950900,329.0
34.09960000,-84.0951500,329.0
34.09961000,-84.0952100,330.0
34.09962000,-84.0952700,330.0
34.09964000,-84.0953300,329.0
34.09964000,-84.0953900,329.0
34.09966000,-84.0954400,329.0
34.09969000,-84.0954900,328.0
34.09972000,-84.0955300,328.0
34.09975000,-84.0955800,328.0
34.09978000,-84.0956300,328.0
34.09981000,-84.0956800,328.0
34.09984000,-84.0957200,328.0
34.09985000,-84.0957800,328.0
34.09987000,-84.0958500,328.0
34.09989000,-84.0959100,328.0
34.09989000,-84.0959700,328.0
34.09989000,-84.0960300,329.0
34.09989000,-84.0960900,329.0
34.09989000,-84.0961500,329.0
34.09988000,-84.0962100,329.0
34.09987000,-84.0962600,329.0
34.09985000,-84.0963200,329.0
34.09984000,-84.0963800,329.0
34.09983000,-84.0964300,328.0
34.09982000,-84.0965000,328.0
34.09982000,-84.0965600,328.0
34.09983000,-84.0966300,328.0
34.09984000,-84.0966800,328.0
34.09984000,-84.0967400,328.0
34.09985000,-84.0967900,328.0
34.09987000,-84.0968500,328.0
34.09988000,-84.0969200,327.0
34.09989000,-84.0969700,327.0
34.09991000,-84.0970400,326.0
34.09993000,-84.0970800,326.0
34.10002000,-84.0973300,324.0
34.10005000,-84.0973800,323.0
34.10009000,-84.0974300,323.0
34.10012000,-84.0974700,322.0
34.10017000,-84.0975100,321.0
34.10020000,-84.0975400,321.0
34.10025000,-84.0975700,320.0
34.10029000,-84.0975900,320.0
34.10035000,-84.0976200,320.0
34.10040000,-84.0976300,319.0
34.10045000,-84.0976500,319.0
34.10050000,-84.0976700,319.0
34.10055000,-84.0976700,319.0
34.10060000,-84.0976800,319.0
34.10065000,-84.0977000,319.0
34.10069000,-84.0977200,319.0
34.10074000,-84.0977500,320.0
34.10079000,-84.0977600,320.0
34.10085000,-84.0978100,321.0
34.10089000,-84.0978400,321.0
34.10095000,-84.0978700,321.0
34.10099000,-84.0979100,321.0
34.10103000,-84.0979400,321.0
34.10107000,-84.0979700,322.0
34.10112000,-84.0980000,322.0
34.10117000,-84.0980500,323.0
34.10120000,-84.0980900,323.0
34.10124000,-84.0981300,323.0
34.10128000,-84.0982100,323.0
34.10132000,-84.0982600,323.0
34.10135000,-84.0983100,323.0
34.10135000,-84.0983700,323.0
34.10134000,-84.0984300,323.0
34.10131000,-84.0984800,322.0
34.10129000,-84.0985300,322.0
34.10126000,-84.0985700,322.0
34.10124000,-84.0986300,321.0
34.10122000,-84.0986800,322.0
34.10120000,-84.0987400,322.0
34.10118000,-84.0987900,322.0
34.10116000,-84.0988500,322.0
34.10114000,-84.0989000,322.0
34.10112000,-84.0989500,321.0
34.10109000,-84.0990200,321.0
34.10107000,-84.0990700,320.0
34.10107000,-84.0991500,320.0
34.10107000,-84.0992100,320.0
34.10106000,-84.0992700,319.0
34.10105000,-84.0993300,319.0
34.10105000,-84.0994100,318.0
34.10104000,-84.0994900,317.0
34.10104000,-84.0995500,317.0
34.10105000,-84.0996200,317.0
34.10106000,-84.0996800,316.0
34.10107000,-84.0997400,316.0
34.10107000,-84.0997900,316.0
34.10107000,-84.0998500,316.0
34.10107000,-84.0999100,315.0
34.10107000,-84.0999700,315.0
34.10109000,-84.1000400,315.0
34.10110000,-84.1001200,315.0
34.10112000,-84.1001700,315.0
34.10115000,-84.1002300,315.0
34.10118000,-84.1002900,314.0
34.10120000,-84.1003500,314.0
34.10123000,-84.1004000,314.0
34.10126000,-84.1004400,313.0
34.10129000,-84.1005000,313.0
34.10132000,-84.1005500,312.0
34.10136000,-84.1005800,312.0
34.10140000,-84.1006400,311.0
34.10144000,-84.1006900,311.0
34.10147000,-84.1007500,310.0
34.10151000,-84.1008200,310.0
34.10153000,-84.1008800,310.0
34.10156000,-84.1009300,310.0
34.10158000,-84.1009900,310.0
34.10161000,-84.1010600,311.0
34.10163000,-84.1011200,311.0
34.10166000,-84.1011800,312.0
34.10168000,-84.1012500,312.0
34.10170000,-84.1012900,312.0
34.10178000,-84.1015200,313.0
34.10178000,-84.1016000,313.0
34.10176000,-84.1016600,313.0
34.10175000,-84.1017300,314.0
34.10175000,-84.1017900,314.0
34.10173000,-84.1018600,314.0
34.10173000,-84.1019300,315.0
34.10172000,-84.1020000,315.0
34.10174000,-84.1020600,314.0
34.10177000,-84.1021100,314.0
34.10180000,-84.1021700,313.0
34.10184000,-84.1022100,312.0
34.10189000,-84.1022500,311.0
34.10193000,-84.1023100,310.0
34.10195000,-84.1023600,309.0
34.10198000,-84.1024100,308.0
34.10201000,-84.1024700,307.0
34.10202000,-84.1025200,306.0
34.10202000,-84.1025800,305.0
34.10203000,-84.1026400,303.0
34.10203000,-84.1027200,302.0
34.10203000,-84.1027900,301.0
34.10203000,-84.1028500,300.0
34.10202000,-84.1029200,299.0
34.10202000,-84.1029800,297.0
34.10202000,-84.1030400,296.0
34.10202000,-84.1031000,296.0
34.10202000,-84.1032000,296.0
34.10203000,-84.1032800,296.0
34.10203000,-84.1033400,296.0
34.10204000,-84.1034000,295.0
34.10207000,-84.1034700,295.0
34.10210000,-84.1035200,294.0
34.10214000,-84.1036000,293.0
34.10218000,-84.1036600,291.0
34.10221000,-84.1037200,291.0
34.10225000,-84.1037700,290.0
34.10229000,-84.1038100,290.0
34.10233000,-84.1038400,289.0
34.10237000,-84.1038600,289.0
34.10242000,-84.1038800,288.0
34.10247000,-84.1038800,288.0
34.10252000,-84.1038800,287.0
34.10257000,-84.1038900,287.0
34.10262000,-84.1039100,286.0
34.10267000,-84.1039300,286.0
34.10270000,-84.1039800,285.0
34.10270000,-84.1040400,285.0
34.10268000,-84.1041000,286.0
34.10267000,-84.1041500,286.0
34.10265000,-84.1042000,286.0
34.10263000,-84.1042600,286.0
34.10260000,-84.1043100,286.0
34.10256000,-84.1043400,287.0
34.10252000,-84.1043700,287.0
34.10248000,-84.1044200,287.0
34.10245000,-84.1044700,287.0
34.10242000,-84.1045200,288.0
34.10238000,-84.1045500,288.0
34.10233000,-84.1045800,289.0
34.10228000,-84.1046100,289.0
34.10225000,-84.1046700,289.0
34.10222000,-84.1047200,289.0
34.10219000,-84.1047800,288.0
34.10218000,-84.1048500,288.0
34.10216000,-84.1049000,287.0
34.10213000,-84.1049500,287.0
34.10210000,-84.1050000,286.0
34.10207000,-84.1050500,286.0
34.10205000,-84.1051000,286.0
34.10201000,-84.1051300,285.0
34.10196000,-84.1051600,285.0
34.10193000,-84.1052100,284.0
34.10189000,-84.1052400,284.0
34.10184000,-84.1052700,284.0
34.10180000,-84.1053100,284.0
34.10176000,-84.1053500,284.0
34.10171000,-84.1053800,283.0
34.10167000,-84.1054300,283.0
34.10163000,-84.1054500,283.0
34.10158000,-84.1054800,283.0
34.10153000,-84.1055200,282.0
34.10150000,-84.1055600,282.0
34.10144000,-84.1055900,282.0
34.10139000,-84.1056200,282.0
34.10135000,-84.1056400,283.0
34.10130000,-84.1056700,283.0
34.10126000,-84.1057000,283.0
34.10121000,-84.1057200,283.0
34.10117000,-84.1057400,283.0
34.10113000,-84.1057600,283.0
34.10109000,-84.1057800,283.0
34.10104000,-84.1058100,283.0
34.10100000,-84.1058400,283.0
34.10096000,-84.1058700,283.0
34.10092000,-84.1059100,283.0
34.10088000,-84.1059400,283.0
34.10083000,-84.1059700,284.0
34.10079000,-84.1060000,284.0
34.10074000,-84.1060000,285.0
34.10069000,-84.1060400,285.0
34.10065000,-84.1060600,285.0
34.10060000,-84.1061100,285.0
34.10055000,-84.1061300,286.0
34.10050000,-84.1061700,286.0
34.10046000,-84.1062000,286.0
34.10042000,-84.1062200,286.0
34.10036000,-84.1062400,287.0
34.10031000,-84.1062900,287.0
34.10026000,-84.1063200,288.0
34.10022000,-84.1063600,288.0
34.10017000,-84.1064100,288.0
34.10014000,-84.1064500,288.0
34.10010000,-84.1065000,288.0
34.10005000,-84.1065400,288.0
34.10000000,-84.1066000,287.0
34.09996000,-84.1066300,287.0
34.09992000,-84.1066700,287.0
34.09988000,-84.1067200,287.0
34.09983000,-84.1067600,286.0
34.09979000,-84.1067700,286.0
34.09976000,-84.1067100,286.0
34.09975000,-84.1066500,287.0
34.09974000,-84.1065900,287.0
34.09973000,-84.1065400,287.0
34.09971000,-84.1064000,289.0
34.09971000,-84.1063500,289.0
34.09970000,-84.1062800,290.0
34.09970000,-84.1062200,290.0
34.09969000,-84.1061600,290.0
34.09966000,-84.1060900,291.0
34.09963000,-84.1060400,292.0
34.09961000,-84.1059900,292.0
34.09959000,-84.1059300,292.0
34.09959000,-84.1058600,292.0
34.09957000,-84.1058000,293.0
34.09956000,-84.1057500,293.0
34.09954000,-84.1056600,293.0
34.09950000,-84.1055900,293.0
34.09947000,-84.1055400,294.0
34.09943000,-84.1054600,294.0
34.09940000,-84.1054100,295.0
34.09936000,-84.1053500,295.0
34.09931000,-84.1052800,295.0
34.09928000,-84.1052400,295.0
34.09922000,-84.1051600,294.0
34.09919000,-84.1051000,293.0
34.09917000,-84.1050300,293.0
34.09914000,-84.1049700,293.0
34.09913000,-84.1049100,293.0
34.09912000,-84.1048400,294.0
34.09910000,-84.1047800,294.0
34.09908000,-84.1047200,294.0
34.09905000,-84.1046700,294.0
34.09903000,-84.1046100,295.0
34.09901000,-84.1045600,295.0
34.09900000,-84.1044900,296.0
34.09899000,-84.1044300,296.0
34.09899000,-84.1043700,296.0
34.09900000,-84.1043200,297.0
34.09904000,-84.1042700,297.0
34.09907000,-84.1042200,298.0
34.09910000,-84.1041700,299.0
34.09913000,-84.1041200,299.0
34.09914000,-84.1040700,300.0
34.09916000,-84.1040100,301.0
34.09917000,-84.1039400,301.0
34.09915000,-84.1038800,301.0
34.09913000,-84.1038300,301.0
34.09910000,-84.1037800,301.0
34.09911000,-84.1037200,301.0
34.09913000,-84.1036600,301.0
34.09916000,-84.1036200,301.0
34.09918000,-84.1035600,301.0
34.09919000,-84.1035000,300.0
34.09917000,-84.1034200,300.0
34.09916000,-84.1033600,300.0
